"","namePlayerBREF","urlPlayerBioBREF"
"1","Bobby Simmons","https://www.basketball-reference.com/players/s/simmobo01.html"
"2","Brendan Haywood","https://www.basketball-reference.com/players/h/haywobr01.html"
"3","Brian Scalabrine","https://www.basketball-reference.com/players/s/scalabr01.html"
"4","DeSagana Diop","https://www.basketball-reference.com/players/d/diopde01.html"
"5","Earl Watson","https://www.basketball-reference.com/players/w/watsoea01.html"
"6","Eddie Griffin","https://www.basketball-reference.com/players/g/griffed01.html"
"7","Eddy Curry","https://www.basketball-reference.com/players/c/curryed01.html"
"8","Gerald Wallace","https://www.basketball-reference.com/players/w/wallage01.html"
"9","Gilbert Arenas","https://www.basketball-reference.com/players/a/arenagi01.html"
"10","Jamaal Tinsley","https://www.basketball-reference.com/players/t/tinslja01.html"
"11","Jarron Collins","https://www.basketball-reference.com/players/c/collija03.html"
"12","Jason Collins","https://www.basketball-reference.com/players/c/collija04.html"
"13","Jason Richardson","https://www.basketball-reference.com/players/r/richaja01.html"
"14","Joe Johnson","https://www.basketball-reference.com/players/j/johnsjo02.html"
"15","Kwame Brown","https://www.basketball-reference.com/players/b/brownkw01.html"
"16","Loren Woods","https://www.basketball-reference.com/players/w/woodslo01.html"
"17","Mehmet Okur","https://www.basketball-reference.com/players/o/okurme01.html"
"18","Pau Gasol","https://www.basketball-reference.com/players/g/gasolpa01.html"
"19","Raul Lopez","https://www.basketball-reference.com/players/l/lopezra01.html"
"20","Richard Jefferson","https://www.basketball-reference.com/players/j/jefferi01.html"
"21","Rodney White","https://www.basketball-reference.com/players/w/whitero02.html"
"22","Samuel Dalembert","https://www.basketball-reference.com/players/d/dalemsa01.html"
"23","Shane Battier","https://www.basketball-reference.com/players/b/battish01.html"
"24","Steven Hunter","https://www.basketball-reference.com/players/h/huntest01.html"
"25","Tony Parker","https://www.basketball-reference.com/players/p/parketo01.html"
"26","Trenton Hassell","https://www.basketball-reference.com/players/h/hassetr01.html"
"27","Troy Murphy","https://www.basketball-reference.com/players/m/murphtr01.html"
"28","Tyson Chandler","https://www.basketball-reference.com/players/c/chandty01.html"
"29","Zach Randolph","https://www.basketball-reference.com/players/r/randoza01.html"
