"","Player","BREF","G","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"1","Alan Henderson","https://www.basketball-reference.com/players/h/hendeal01.html",292,28.177397260274,4.64246575342466,10.0482876712329,0.46138698630137,0,0.0517123287671233,0.146232876712329,4.61883561643836,9.99657534246575,0.462890410958904,0.462140410958904,2.725,4.16404109589041,0.650965753424658,2.71164383561644,3.38493150684932,6.13767123287671,0.860958904109589,0.786643835616438,0.500342465753425,1.57842465753425,2.49897260273973,12.0157534246575
"2","Antonio McDyess","https://www.basketball-reference.com/players/m/mcdyean01.html",362,32.9232044198895,6.85939226519337,13.9624309392265,0.494903314917127,0.0204419889502762,0.150828729281768,0.0502872928176796,6.85939226519337,13.8234806629834,0.498024861878453,0.495516574585635,3.3975138121547,5.02348066298343,0.679193370165746,2.73701657458564,5.40165745856354,8.14723756906077,1.45552486187845,0.987569060773481,1.74088397790055,2.3878453038674,3.61077348066298,17.1348066298343
"3","Bob Sura","https://www.basketball-reference.com/players/s/surabo01.html",339,24.9985250737463,3.3811209439528,8.10560471976401,0.417648967551622,0.773746312684366,2.33982300884956,0.310569321533923,2.61474926253687,5.71238938053097,0.455592920353982,0.460893805309735,2.40176991150442,3.36017699115044,0.718946902654867,1.04542772861357,2.69498525073746,3.72566371681416,3.56784660766962,0.986430678466077,0.189085545722714,1.84100294985251,2.25781710914454,9.96224188790561
"4","Brent Barry","https://www.basketball-reference.com/players/b/barrybr01.html",362,32.6765193370166,3.89198895027624,8.01685082872928,0.484453038674033,1.84889502762431,4.3171270718232,0.43096408839779,2.00220994475138,3.73812154696133,0.544696132596685,0.601116022099447,1.72790055248619,2.11325966850829,0.81860773480663,0.571270718232044,3.64502762430939,4.21988950276243,4.61270718232044,1.45110497237569,0.327624309392265,1.8707182320442,2.38646408839779,11.3527624309392
"5","Cory Alexander","https://www.basketball-reference.com/players/a/alexaco01.html",236,20.4542372881356,2.68135593220339,6.56271186440678,0.40725,1.08177966101695,3.00847457627119,0.354533898305085,1.63347457627119,3.56271186440678,0.449300847457627,0.489076271186441,1.23347457627119,1.58728813559322,0.765533898305085,0.31271186440678,1.80847457627119,2.06186440677966,3.36059322033898,1.10127118644068,0.178813559322034,1.85974576271186,1.78559322033898,7.68347457627119
"6","Damon Stoudamire","https://www.basketball-reference.com/players/s/stoudda01.html",293,40.459385665529,6.63720136518771,16.1098976109215,0.410631399317406,1.68464163822526,4.91535836177474,0.337723549488055,4.95255972696246,11.1668941979522,0.441726962457338,0.462153583617747,3.59112627986348,4.32935153583618,0.819051194539249,1.08600682593857,3.03447098976109,4.12047781569966,8.61194539249147,1.51706484641638,0.17542662116041,3.40716723549488,2.14744027303754,18.4911262798635
"7","Eric Snow","https://www.basketball-reference.com/players/s/snower01.html",357,36.1700280112045,3.82268907563025,8.86442577030812,0.431518207282913,0.0599439775910364,0.37703081232493,0.187644257703081,3.76274509803922,8.48739495798319,0.442641456582633,0.436316526610644,2.82408963585434,3.52408963585434,0.792324929971989,0.66078431372549,2.78823529411765,3.42605042016807,7.01064425770308,1.51708683473389,0.1,2.28207282913165,2.76386554621849,10.5834733893557
"8","Fred Hoiberg","https://www.basketball-reference.com/players/h/hoibefr01.html",326,21.7315950920245,2.00950920245399,4.67085889570552,0.42489263803681,0.747239263803681,1.93895705521472,0.342205521472393,1.25276073619632,2.75613496932515,0.461429447852761,0.492947852760736,1.2861963190184,1.52331288343558,0.84971472392638,0.246932515337423,2.91840490797546,3.18957055214724,2.03773006134969,0.92239263803681,0.122699386503067,0.679754601226994,1.52883435582822,6.0558282208589
"9","Gary Trent","https://www.basketball-reference.com/players/t/trentga01.html",164,26.7384146341463,5.13048780487805,10.725,0.478981707317073,0.0579268292682927,0.172560975609756,0.220646341463415,5.07256097560976,10.494512195122,0.482908536585366,0.481798780487805,2.72439024390244,4.13963414634146,0.65144512195122,2.40792682926829,4.20609756097561,6.5890243902439,1.46585365853659,0.631707317073171,0.494512195121951,1.71036585365854,2.87378048780488,13.0036585365854
"10","Greg Ostertag","https://www.basketball-reference.com/players/o/ostergr01.html",350,21.5308571428571,1.94657142857143,4.01342857142857,0.4871,0,0.022,0.115714285714286,1.94657142857143,3.96828571428571,0.488662857142857,0.487331428571429,1.392,2.30485714285714,0.596271428571429,2.13457142857143,4.08028571428571,6.238,0.344285714285714,0.294857142857143,2.09085714285714,0.976,2.706,5.31657142857143
"11","Jerry Stackhouse","https://www.basketball-reference.com/players/s/stackje01.html",350,37.0862857142857,7.38857142857143,18.2422857142857,0.404685714285714,1.24914285714286,4.07542857142857,0.301382857142857,6.13942857142857,14.1451428571429,0.433314285714286,0.43836,6.96571428571429,8.30228571428571,0.842737142857143,1.07142857142857,2.64057142857143,3.712,4.60685714285714,1.072,0.502285714285714,3.49542857142857,2.06,23.0274285714286
