"","namePlayerBREF","urlPlayerBioBREF"
"1","Abdel Nader","https://www.basketball-reference.com/players/n/naderab01.html"
"2","Ben Simmons","https://www.basketball-reference.com/players/s/simmobe01.html"
"3","Brandon Ingram","https://www.basketball-reference.com/players/i/ingrabr01.html"
"4","Buddy Hield","https://www.basketball-reference.com/players/h/hieldbu01.html"
"5","Caris LeVert","https://www.basketball-reference.com/players/l/leverca01.html"
"6","Cheick Diallo","https://www.basketball-reference.com/players/d/diallch01.html"
"7","DeAndre' Bembry","https://www.basketball-reference.com/players/b/bembrde01.html"
"8","Dejounte Murray","https://www.basketball-reference.com/players/m/murrade01.html"
"9","Denzel Valentine","https://www.basketball-reference.com/players/v/valende01.html"
"10","Domantas Sabonis","https://www.basketball-reference.com/players/s/sabondo01.html"
"11","Dragan Bender","https://www.basketball-reference.com/players/b/bendedr01.html"
"12","Furkan Korkmaz","https://www.basketball-reference.com/players/k/korkmfu01.html"
"13","Isaiah Whitehead","https://www.basketball-reference.com/players/w/whiteis01.html"
"14","Ivica Zubac","https://www.basketball-reference.com/players/z/zubaciv01.html"
"15","Jake Layman","https://www.basketball-reference.com/players/l/laymaja01.html"
"16","Jakob Poltl","https://www.basketball-reference.com/players/p/poeltja01.html"
"17","Jamal Murray","https://www.basketball-reference.com/players/m/murraja01.html"
"18","Jaylen Brown","https://www.basketball-reference.com/players/b/brownja02.html"
"19","Juan Hernangomez","https://www.basketball-reference.com/players/h/hernaju01.html"
"20","Kris Dunn","https://www.basketball-reference.com/players/d/dunnkr01.html"
"21","Malcolm Brogdon","https://www.basketball-reference.com/players/b/brogdma01.html"
"22","Malik Beasley","https://www.basketball-reference.com/players/b/beaslma01.html"
"23","Marquese Chriss","https://www.basketball-reference.com/players/c/chrisma01.html"
"24","Pascal Siakam","https://www.basketball-reference.com/players/s/siakapa01.html"
"25","Patrick McCaw","https://www.basketball-reference.com/players/m/mccawpa01.html"
"26","Skal Labissiere","https://www.basketball-reference.com/players/l/labissk01.html"
"27","Thon Maker","https://www.basketball-reference.com/players/m/makerth01.html"
"28","Timothe Luwawu-Cabarrot","https://www.basketball-reference.com/players/l/luwawti01.html"
"29","Tyler Ulis","https://www.basketball-reference.com/players/u/ulisty01.html"
