"","Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"510","405","Julius Randle","PF","25","NYK","64","64","2080","463","1006",".460","64","231",".277","399","775",".515",".492","258","352",".733","151","471","622","198","51","22","193","178","1248"
"511","406","Josh Reaves","SG","22","DAL","2","0","1","0","1",".000","0","0","","0","1",".000",".000","0","0","","0","0","0","0","0","0","0","0","0"
"512","407","Cam Reddish","SF","20","ATL","58","34","1551","213","554",".384","83","250",".332","130","304",".428",".459","101","126",".802","35","181","216","87","62","28","96","132","610"
"513","408","J.J. Redick","SG","35","NOP","54","35","1425","251","558",".450","156","345",".452","95","213",".446",".590","147","163",".902","9","131","140","108","19","9","65","86","805"
"514","409","Naz Reid","C","20","MIN","30","11","495","100","243",".412","32","97",".330","68","146",".466",".477","37","53",".698","34","90","124","35","19","22","22","83","269"
"515","410","Josh Richardson","SG","26","PHI","48","46","1474","246","574",".429","70","214",".327","176","360",".489",".490","101","128",".789","37","125","162","148","45","34","91","120","663"
"516","411","Austin Rivers","SG","27","HOU","60","4","1402","182","432",".421","83","232",".358","99","200",".495",".517","60","90",".667","25","117","142","96","42","10","35","112","507"
"517","412","Duncan Robinson","SF","25","MIA","65","60","1949","286","613",".467","243","543",".448","43","70",".614",".665","48","53",".906","9","203","212","91","35","15","60","179","863"
"518","413","Glenn Robinson III","SF","26","TOT","60","52","1743","281","578",".486","74","191",".387","207","387",".535",".550","72","83",".867","78","182","260","96","53","16","53","97","708"
"519","413","Glenn Robinson III","SF","26","GSW","48","48","1516","244","507",".481","68","170",".400","176","337",".522",".548","63","74",".851","66","160","226","85","45","14","50","82","619"
"520","413","Glenn Robinson III","SF","26","PHI","12","4","227","37","71",".521","6","21",".286","31","50",".620",".563","9","9","1.000","12","22","34","11","8","2","3","15","89"
"521","414","Jerome Robinson","SG","22","TOT","55","4","748","75","216",".347","31","104",".298","44","112",".393",".419","20","29",".690","9","97","106","65","22","14","34","83","201"
"522","414","Jerome Robinson","SG","22","LAC","42","1","476","46","136",".338","19","67",".284","27","69",".391",".408","11","19",".579","5","55","60","46","13","8","26","55","122"
"523","414","Jerome Robinson","SG","22","WAS","13","3","272","29","80",".363","12","37",".324","17","43",".395",".438","9","10",".900","4","42","46","19","9","6","8","28","79"
"524","415","Justin Robinson","PG","22","WAS","9","0","49","5","12",".417","3","5",".600","2","7",".286",".542","0","0","","1","4","5","7","0","1","3","2","13"
