"","pk","Player","Yr","Yrs","allstar","allstar.pred","PC1","PC2"
"1",1,"Kevin Garnett",1995,21,15,13.8712645402198,13.2309010001483,3.86449184801174
"2",2,"Michael Finley",1995,15,2,3.23307126816315,6.45579420825251,-1.83055462289563
"3",3,"Rasheed Wallace",1995,16,4,2.67513603492695,5.97487004596236,1.62425785680925
"4",4,"Jerry Stackhouse",1995,18,2,2.47304686276147,5.78837135906125,-3.54954810690159
"5",5,"Damon Stoudamire",1995,13,0,1.77678104200459,5.07053101800864,-4.63870018038174
"6",6,"Antonio McDyess",1995,15,1,1.37113937742113,4.5707961337614,4.79156275329064
"7",7,"Joe Smith",1995,16,0,0.469646357880839,2.96822708950087,2.128776855918
"8",8,"Kurt Thomas",1995,18,0,0.313980205260808,2.52507392958789,3.03403797976987
"9",9,"Brent Barry",1995,14,0,0.244188272585681,2.28510035158917,-1.90678100265698
"10",10,"Theo Ratliff",1995,16,1,0.0343977711166232,1.20203805513801,5.40559490728208
"11",11,"Eric Snow",1995,13,0,0.0145040086848829,1.03317505440483,-2.05545130866369
"12",12,"Bryant Reeves",1995,6,0,-0.0391809701766588,0.360339651148626,3.24457831687758
"13",13,"Corliss Williamson",1995,12,0,-0.0403533971057208,0.338103684448066,2.36812113478681
"14",14,"Gary Trent",1995,9,0,-0.0630206237254246,-0.398069096375922,3.08204110701926
"15",15,"Bob Sura",1995,10,0,-0.0642011388693974,-0.503760222897214,-1.72905704733972
"16",16,"Alan Henderson",1995,12,0,-0.0648002961314412,-0.57958539441896,2.55729728905208
"17",17,"Travis Best",1995,10,0,-0.0652768692083402,-0.925344752524725,-2.55363578824231
"18",18,"Eric Williams",1995,12,0,-0.0585803865762755,-1.60154525723992,-0.83290684809566
"19",19,"Greg Ostertag",1995,11,0,-0.043207849844275,-2.44901770387599,4.6882509280179
"20",20,"Jason Caffey",1995,8,0,-0.0385387370223583,-2.68371380299365,3.19705303305164
"21",21,"Fred Hoiberg",1995,10,0,-0.0356796064467938,-2.82831989779668,-2.24232194326347
"22",22,"Andrew DeClercq",1995,10,0,-0.0310569401929671,-3.06672998659317,4.11516038209095
"23",23,"Tyus Edney",1995,4,0,-0.0264813350459832,-3.31182734063856,-3.23161200609949
"24",24,"Cory Alexander",1995,7,0,-0.0178870801622083,-3.81092952675115,-3.26394283420476
"25",25,"Cherokee Parks",1995,9,0,-0.00775516021938627,-4.50055710841669,2.54380185385183
"26",26,"Chris Carr",1995,6,0,-0.00688382304788204,-4.56676311862326,-2.35376460854292
"27",27,"Don Reid",1995,8,0,-0.00104498594565561,-5.04527852686092,3.87063549324164
"28",28,"Mark Davis",1995,5,0,-0.000977374692797683,-5.05120241274758,0.109729269668864
"29",29,"Shawn Respert",1995,4,0,0.0062790357050424,-5.73966012390262,-2.11719729992814
"30",30,"Ed O'Bannon",1995,2,0,0.0144387214124582,-6.62370412713493,-2.57792601127723
"31",1,"Kobe Bryant",1996,20,18,13.9121151854285,13.2556257359491,-2.61497035126194
"32",2,"Allen Iverson",1996,14,11,10.0198045132649,10.9276705167208,-4.31893387869399
"33",3,"Ray Allen",1996,18,10,6.66349949763477,8.872348433759,-4.10863625370293
"34",4,"Steve Nash",1996,18,8,5.00765591000661,7.78054515227658,-4.19068961733913
"35",5,"Shareef Abdur-Rahim",1996,12,1,4.1422626516298,7.16397907511632,1.36449707477154
"36",6,"Stephon Marbury",1996,13,2,4.02298078420567,7.07522436868107,-4.1363192227947
"37",7,"Antoine Walker",1996,12,3,3.48699999079586,6.6615765242479,-0.62320565619997
"38",8,"Jermaine O'Neal",1996,18,6,2.63902612842243,5.94210420532588,4.02411331395976
"39",9,"Peja Stojakovic",1996,13,3,2.05853273105053,5.37775537605084,-2.30845533602164
"40",10,"Marcus Camby",1996,17,0,0.948914296599846,3.9418058998829,5.06198052617022
"41",11,"Zydrunas Ilgauskas",1996,13,2,0.839326001846089,3.75153280423424,3.59387730056959
"42",12,"Kerry Kittles",1996,8,0,0.158834682387424,1.93498277555637,-2.42827291592769
"43",13,"Derek Fisher",1996,18,0,0.000183893739881702,0.893729530195475,-3.81388951279178
"44",14,"Erick Dampier",1996,16,0,-0.0326558221343269,0.473881573368647,6.1276865500881
"45",15,"Lorenzen Wright",1996,13,0,-0.0616367874554925,-0.305900461005847,3.54709657774133
"46",16,"Jeff McInnis",1996,11,0,-0.0654884472943426,-0.775595127193206,-2.79434814314514
"47",17,"Jerome Williams",1996,9,0,-0.0645614483855743,-1.06883252344099,3.79177019001291
"48",18,"Othella Harrington",1996,12,0,-0.0591717472811492,-1.56153092599882,3.20351470222956
"49",19,"Shandon Anderson",1996,10,0,-0.0586752864367699,-1.59520888542036,-0.212532015092986
"50",20,"Malik Rose",1996,13,0,-0.0564788649998523,-1.73536095660256,1.26569168734395
"51",21,"Tony Delk",1996,10,0,-0.0538624967604536,-1.88909049815504,-2.70210146589016
"52",22,"Vitaly Potapenko",1996,11,0,-0.0481856511827432,-2.19529245668118,3.1947315945824
"53",23,"Jamie Feick",1996,5,0,-0.0307609222568871,-3.0822657700403,2.10444736965038
"54",24,"John Wallace",1996,7,0,-0.0187067920382524,-3.76054594765174,0.0452092876502503
"55",25,"Samaki Walker",1996,10,0,-0.0165658141017193,-3.89361418318821,2.88083090234639
"56",26,"Moochie Norris",1996,9,0,-0.0140288998008791,-4.05788125865171,-2.46377001768774
"57",27,"Walter McCarty",1996,10,0,-0.0070777113455216,-4.55192459654519,-1.34729960960016
"58",28,"Travis Knight",1996,7,0,0.00630433164405941,-5.74224052106902,0.768840695837564
"59",29,"Randy Livingston",1996,11,0,0.0103326115813225,-6.16712297930544,-2.83923749979487
"60",30,"Todd Fuller",1996,5,0,0.0197728928254004,-7.2375326580365,0.909007656201107
"61",1,"Tim Duncan",1997,19,15,13.4475552045826,12.9750942580534,5.81850434584606
"62",2,"Tracy McGrady",1997,15,7,8.29163467831626,9.8855036870032,-1.77240204040131
"63",3,"Chauncey Billups",1997,17,5,2.61377870410195,5.91905369456619,-4.76620881679907
"64",4,"Stephen Jackson",1997,14,0,1.32618159710442,4.51004572932064,-3.20951791878359
"65",5,"Keith Van Horn",1997,9,0,0.808249672072259,3.69487016891097,-0.134253172202021
"66",6,"Derek Anderson",1997,11,0,0.100541487239339,1.63945136507439,-3.39932222777961
"67",7,"Ron Mercer",1997,8,0,0.0101822741977433,0.99294193906042,-1.66942851594916
"68",8,"Tim Thomas",1997,13,0,-0.00595126141551661,0.827888980969367,-1.06496944210355
"69",9,"Brevin Knight",1997,12,0,-0.0535633393518359,0.0238111888762655,-2.76072183361312
"70",10,"Bobby Jackson",1997,12,0,-0.0567338228466099,-0.0820214996400059,-2.5325068175988
"71",11,"Danny Fortson",1997,10,0,-0.0644773846736526,-0.535652337632842,3.41350990543713
"72",12,"Maurice Taylor",1997,9,0,-0.0653691354463727,-0.702677282509001,1.82353492861379
"73",13,"Antonio Daniels",1997,13,0,-0.0654946949883731,-0.797410888121752,-2.31449416940637
"74",14,"Mark Blount",1997,9,0,-0.0654922083048624,-0.810350459352716,2.9175641359848
"75",15,"Alvin Williams",1997,9,0,-0.0654699868675162,-0.839558210687516,-2.5866774002448
