"","namePlayerBREF","urlPlayerBioBREF"
"1","Alex Len","https://www.basketball-reference.com/players/l/lenal01.html"
"2","Allen Crabbe","https://www.basketball-reference.com/players/c/crabbal01.html"
"3","Andre Roberson","https://www.basketball-reference.com/players/r/roberan03.html"
"4","Ben McLemore","https://www.basketball-reference.com/players/m/mclembe01.html"
"5","CJ McCollum","https://www.basketball-reference.com/players/m/mccolcj01.html"
"6","Cody Zeller","https://www.basketball-reference.com/players/z/zelleco01.html"
"7","Dennis Schroder","https://www.basketball-reference.com/players/s/schrode01.html"
"8","Giannis Antetokounmpo","https://www.basketball-reference.com/players/a/antetgi01.html"
"9","Gorgui Dieng","https://www.basketball-reference.com/players/d/dienggo01.html"
"10","Isaiah Canaan","https://www.basketball-reference.com/players/c/canaais01.html"
"11","James Ennis","https://www.basketball-reference.com/players/e/ennisja01.html"
"12","Kelly Olynyk","https://www.basketball-reference.com/players/o/olynyke01.html"
"13","Kentavious Caldwell-Pope","https://www.basketball-reference.com/players/c/caldwke01.html"
"14","Mason Plumlee","https://www.basketball-reference.com/players/p/plumlma01.html"
"15","Michael Carter-Williams","https://www.basketball-reference.com/players/c/cartemi01.html"
"16","Mike Muscala","https://www.basketball-reference.com/players/m/muscami01.html"
"17","Nerlens Noel","https://www.basketball-reference.com/players/n/noelne01.html"
"18","Otto Porter","https://www.basketball-reference.com/players/p/porteot01.html"
"19","Raul Neto","https://www.basketball-reference.com/players/n/netora01.html"
"20","Reggie Bullock","https://www.basketball-reference.com/players/b/bullore01.html"
"21","Rudy Gobert","https://www.basketball-reference.com/players/g/goberru01.html"
"22","Ryan Kelly","https://www.basketball-reference.com/players/k/kellyry01.html"
"23","Shabazz Muhammad","https://www.basketball-reference.com/players/m/muhamsh01.html"
"24","Shane Larkin","https://www.basketball-reference.com/players/l/larkish01.html"
"25","Solomon Hill","https://www.basketball-reference.com/players/h/hillso01.html"
"26","Steven Adams","https://www.basketball-reference.com/players/a/adamsst01.html"
"27","Tim Hardaway Jr.","https://www.basketball-reference.com/players/h/hardati02.html"
"28","Tony Snell","https://www.basketball-reference.com/players/s/snellto01.html"
"29","Trey Burke","https://www.basketball-reference.com/players/b/burketr01.html"
"30","Victor Oladipo","https://www.basketball-reference.com/players/o/oladivi01.html"
