"","pk","Player","Yr","Yrs","allstar","allstar.pred","PC1","PC2"
"1",1,"Zion Williamson",2019,1,0,0.626902537465714,7.96223917881618,1.60766720262783
"2",2,"Ja Morant",2019,1,0,0.203973030219133,4.52938263523701,-2.9875954526067
"3",3,"Brandon Clarke",2019,1,0,0.0455829618282876,2.51568095536245,4.52859128801872
"4",4,"Eric Paschall",2019,1,0,0.00819542908473297,1.50728630641839,0.14825981704378
"5",5,"Rui Hachimura",2019,1,0,0.00807651510717056,1.50266083329776,0.102162028497647
"6",6,"RJ Barrett",2019,1,0,0.00150582661685406,1.21537801263954,-2.78101083331802
"7",7,"P.J. Washington",2019,1,0,-0.000115631532207311,1.13216388870034,-0.625814101762666
"8",8,"Jaxson Hayes",2019,1,0,-0.0126791989866659,-0.116009379478059,6.89321033080721
"9",9,"De'Andre Hunter",2019,1,0,-0.0128573118675747,-0.175382556406445,-2.96662674458381
"10",10,"Coby White",2019,1,0,-0.0132935465279905,-0.401814478310166,-3.90620318994216
"11",11,"Tyler Herro",2019,1,0,-0.0133591713718967,-0.705181250933578,-3.47662362701451
"12",12,"Darius Garland",2019,1,0,-0.012406139616867,-1.24280257923949,-5.44378740381568
"13",13,"Kevin Porter Jr.",2019,1,0,-0.0118732809138298,-1.4227142840533,-1.39274733246012
"14",14,"Cam Reddish",2019,1,0,-0.0117610213358078,-1.45764494139438,-3.05890102155346
"15",15,"Jarrett Culver",2019,1,0,-0.00887805621956158,-2.22758475967688,-0.317963534184231
"16",16,"Cameron Johnson",2019,1,0,-0.0058918396648291,-2.99184844452273,-0.822340740019122
"17",17,"Jalen McDaniels",2019,1,0,-0.00407947660227224,-3.50683825530867,1.07317249798396
"18",18,"Cody Martin",2019,1,0,-0.00332182675967869,-3.74284548035405,1.33298333828826
"19",19,"Jordan Poole",2019,1,0,-0.00261736418690425,-3.97643198350298,-4.15074412590144
"20",20,"Matisse Thybulle",2019,1,0,-0.00214691821792118,-4.1411877291934,0.46009457323447
"21",21,"Bruno Fernando",2019,1,0,-0.00180817748762421,-4.26468083461056,4.71896679279529
"22",22,"Sekou Doumbouya",2019,1,0,-0.000390371512034582,-4.83254518378522,-0.620638620854861
"23",23,"Grant Williams",2019,1,0,-0.000292989854620562,-4.8749028421989,1.79499035482952
"24",24,"Darius Bazley",2019,1,0,6.15880150015291e-05,-5.03305378873224,0.452478732716026
"25",25,"Nassir Little",2019,1,0,0.00176319930422139,-5.88130204743207,2.40804605115212
"26",26,"Goga Bitadze",2019,1,0,0.00180258760621554,-5.90265643503629,3.6820363044855
"27",27,"Nickeil Alexander-Walker",2019,1,0,0.0027597827846767,-6.4428544226504,-1.89373437889348
"28",28,"Ty Jerome",2019,1,0,0.00366712273143355,-6.98554171769714,-1.21312758640133
"29",29,"Romeo Langford",2019,1,0,0.0047458074250375,-7.6543074307639,0.897665987319972
"30",30,"Carsen Edwards",2019,1,0,0.00518165641608831,-7.9270823756011,-1.58554875302859
"31",1,"Luka Doncic",2018,2,1,1.16353940754646,11.3081091483113,-3.78263200548639
"32",2,"Trae Young",2018,2,1,0.733818149501599,8.69562480227965,-7.01304134736484
"33",3,"Deandre Ayton",2018,2,0,0.586022896357054,7.66712735891441,5.77096936653765
"34",4,"Shai Gilgeous-Alexander",2018,2,0,0.117828301677813,3.61920755720831,-1.41069955711711
"35",5,"Jaren Jackson Jr.",2018,2,0,0.105656036234848,3.4664010193963,0.139615527937144
"36",6,"Marvin Bagley III",2018,2,0,0.10444007837239,3.45063097855943,2.45482870134831
"37",7,"Collin Sexton",2018,2,0,0.0965241824429364,3.34546305555903,-4.41799607912691
"38",8,"Wendell Carter Jr.",2018,2,0,0.0684942964674077,2.92966561666593,3.53527692297211
"39",9,"Devonte' Graham",2018,2,0,-0.0105704417651054,0.297122127898417,-5.10561637466785
"40",10,"Mikal Bridges",2018,2,0,-0.0111708952531958,0.207174524699797,-0.206828342880027
"41",11,"Kevin Huerter",2018,2,0,-0.0123338966709742,-0.0210271590168859,-3.0255662432534
"42",12,"Miles Bridges",2018,2,0,-0.0126955874968255,-0.121101937139486,-0.0702153490934385
"43",13,"Donte DiVincenzo",2018,2,0,-0.0129076370165063,-1.03393684925143,0.865693764671165
"44",14,"Jalen Brunson",2018,2,0,-0.0119184517945756,-1.408420678626,-0.487980971333317
"45",15,"Josh Okogie",2018,2,0,-0.0118728361657945,-1.42285459936639,-0.660280279802647
"46",16,"Mo Bamba",2018,2,0,-0.0105672263902765,-1.79518521406693,3.88210858775133
"47",17,"Troy Brown Jr.",2018,2,0,-0.00996559472242538,-1.95219806608086,0.124991674319089
"48",18,"Bruce Brown",2018,2,0,-0.00975829297508939,-2.00527714906207,-0.181023747157796
"49",19,"Landry Shamet",2018,2,0,-0.00937206417508109,-2.10328271141025,-2.09050419722945
"50",20,"De'Anthony Melton",2018,2,0,-0.00935353106683132,-2.10796185822128,-1.25763174338343
"51",21,"Kevin Knox",2018,2,0,-0.00851657875750685,-2.3182122511734,-2.55524087089588
"52",22,"Omari Spellman",2018,2,0,-0.00765408559055476,-2.53499181938514,0.449551934299502
"53",23,"Aaron Holiday",2018,2,0,-0.00594571534765082,-2.97739159435909,-2.11900433842352
"54",24,"Rodions Kurucs",2018,2,0,-0.00589757019707295,-2.99031079775188,0.805080699583118
"55",25,"Chandler Hutchison",2018,2,0,-0.00478281060949372,-3.2996673265132,1.62100993212339
"56",26,"Anfernee Simons",2018,2,0,-0.0021199700221412,-4.15085614629817,-1.33591054720321
"57",27,"Hamidou Diallo",2018,2,0,-6.65607596088413e-05,-4.97517478780409,2.36730270844272
"58",28,"Elie Okobo",2018,2,0,0.000173533822189181,-5.0842932003027,-1.02125671134326
"59",29,"Sviatoslav Mykhailiuk",2018,2,0,0.000810534791892997,-5.38809604286134,-1.85869995495616
"60",30,"Jevon Carter",2018,2,0,0.000820906068345534,-5.39321758552704,-1.92847642117807
"61",1,"Donovan Mitchell",2017,3,1,0.668199202691938,8.25194666014929,-4.89054357364067
"62",2,"John Collins",2017,3,0,0.534891109855034,7.28537582505016,3.8680182256114
"63",3,"Jayson Tatum",2017,3,1,0.394657704288423,6.17465540327415,-1.72153567990892
"64",4,"Bam Adebayo",2017,3,1,0.279043949552218,5.20288338950089,5.10818725614989
"65",5,"De'Aaron Fox",2017,3,0,0.278674338842742,5.19968070025344,-3.40916106261702
"66",6,"Jarrett Allen",2017,3,0,0.197790660742213,4.47072980597177,7.09222890499829
"67",7,"Lauri Markkanen",2017,3,0,0.186538278560715,4.36207337378642,-1.61178750027202
"68",8,"Kyle Kuzma",2017,3,0,0.127538964248331,3.73525408174512,-1.46216549514586
"69",9,"Lonzo Ball",2017,3,0,0.0835915820932629,3.16307268861838,-2.60712015176823
"70",10,"Thomas Bryant",2017,3,0,0.0167677302122277,1.80472798771711,4.87868812601662
"71",11,"Dennis Smith Jr.",2017,3,0,-8.23941728752553e-05,1.13393174496355,-3.58685459954247
"72",12,"Jonathan Isaac",2017,3,0,-0.00623777469600312,0.739929331495391,0.597857373646166
"73",13,"Josh Jackson",2017,3,0,-0.0073318492489763,0.648942465530131,-1.45169245306592
"74",14,"Markelle Fultz",2017,3,0,-0.00933510357515138,0.451225953713201,-0.719541647754513
"75",15,"Derrick White",2017,3,0,-0.00933753458260071,0.450952942679734,-0.171367709864418
"76",16,"Dillon Brooks",2017,3,0,-0.0117254322559827,0.110249654060874,-2.80232618739749
"77",17,"Josh Hart",2017,3,0,-0.012841840025651,-0.169830438639176,0.0734155447745701
"78",18,"Monte Morris",2017,3,0,-0.0132428189892152,-0.361815360789505,-0.704744543843248
"79",19,"OG Anunoby",2017,3,0,-0.0133696910296913,-0.686971262280304,1.68144189086351
"80",20,"Luke Kennard",2017,3,0,-0.013122335598566,-0.916203953687374,-1.8013466436428
"81",21,"Damyean Dotson",2017,3,0,-0.00623427401718857,-2.90061044624437,-0.8048214510477
"82",22,"Zach Collins",2017,3,0,-0.00620193977472643,-2.90915999196087,1.60792964590779
"83",23,"Justin Jackson",2017,3,0,-0.00607963588520249,-2.9416221361144,0.217495152636339
"84",24,"Malik Monk",2017,3,0,-0.00587878501860808,-2.99535705351895,-2.22177366549932
"85",25,"Frank Ntilikina",2017,3,0,-0.00413714293123549,-3.48945340881757,-2.78774259820734
"86",26,"Sterling Brown",2017,3,0,-0.0027628192979184,-3.92696734205407,0.330660806770908
"87",27,"Wesley Iwundu",2017,3,0,-0.001602890133685,-4.34164338606876,0.223527728768881
"88",28,"Terrance Ferguson",2017,3,0,-0.00148938237052111,-4.38491107165631,-0.00721905410447063
"89",29,"Dwayne Bacon",2017,3,0,0.000421084912868963,-5.19986979835575,-0.698384364129677
"90",30,"Semi Ojeleye",2017,3,0,0.00215310885809464,-6.09591097182626,0.778720458882894
"91",1,"Ben Simmons",2016,3,2,1.16505452341919,11.3169691317608,2.6111865800643
"92",2,"Domantas Sabonis",2016,4,1,0.354843378337872,5.84565609100909,2.57688721217636
"93",3,"Brandon Ingram",2016,4,1,0.29115788849453,5.30736155768773,-1.9223546615406
"94",4,"Pascal Siakam",2016,4,1,0.232132762922764,4.78895482362321,1.86712161390111
"95",5,"Jamal Murray",2016,4,0,0.221362182945693,4.69095792302707,-3.38700894623653
"96",6,"Buddy Hield",2016,4,0,0.178933888264944,4.28707475895062,-3.29515615542848
"97",7,"Malcolm Brogdon",2016,4,0,0.148108296029566,3.9670313013234,-2.14765518769971
"98",8,"Jaylen Brown",2016,4,0,0.0553353181881317,2.7026772761978,-0.177203677161337
"99",9,"Caris LeVert",2016,4,0,0.0232903476837444,1.99550003066623,-1.95591832561183
"100",10,"Taurean Prince",2016,4,0,0.00257332506579369,1.2670108488477,-2.6287840422417
"101",11,"Ivica Zubac",2016,4,0,-0.00476751500616546,0.849337558977481,6.54437763168079
"102",12,"Jakob Poltl",2016,4,0,-0.00785433355901438,0.601843714804723,7.3853480732001
"103",13,"Kris Dunn",2016,4,0,-0.00933220836120217,0.451551033137,-1.84239103081661
"104",14,"Dejounte Murray",2016,3,0,-0.0112876251603401,0.188068313316781,0.34529191608798
"105",15,"Marquese Chriss",2016,4,0,-0.0133052440634913,-0.773299356311214,2.01155322690292
"106",16,"Skal Labissiere",2016,4,0,-0.0107323148044481,-1.75105104828437,2.12674952092146
"107",17,"Cheick Diallo",2016,4,0,-0.0106382051891272,-1.77628077153169,5.41161979552766
"108",18,"Malik Beasley",2016,4,0,-0.00975241278786391,-2.0067759706153,-0.964293426966574
"109",19,"Denzel Valentine",2016,3,0,-0.00938429708333987,-2.10018748326207,-1.67868637876429
"110",20,"DeAndre' Bembry",2016,4,0,-0.00849447564149439,-2.3237458160431,1.13360768026286
"111",21,"Tyler Ulis",2016,3,0,-0.00699499860595819,-2.70270617534389,-2.56423883256004
"112",22,"Dragan Bender",2016,4,0,-0.00619332561502002,-2.9114404694854,0.22796604655733
"113",23,"Juan Hernangomez",2016,4,0,-0.00519334415773749,-3.18330427986058,1.1082606309668
"114",24,"Thon Maker",2016,4,0,-0.00491618909881726,-3.26151869900136,1.9708030508381
"115",25,"Isaiah Whitehead",2016,2,0,-0.00467717358780731,-3.33013088410957,-1.71718965520351
"116",26,"Furkan Korkmaz",2016,3,0,-0.00348070295186655,-3.69213557810991,-0.834595530062124
"117",27,"Jake Layman",2016,4,0,-0.000818327723769025,-4.65179490784226,1.09627162870069
"118",28,"Patrick McCaw",2016,4,0,-0.000600431418540215,-4.74274617374654,0.0456020882257906
"119",29,"Timothe Luwawu-Cabarrot",2016,4,0,-0.000322701315957408,-4.86192935059469,-0.912348133501084
"120",30,"Abdel Nader",2016,3,0,0.00113672682910945,-5.55178582489053,0.403519670051667
"121",1,"Karl-Anthony Towns",2015,5,2,2.0288199035096,16.4636530736086,2.83006640127409
"122",2,"Devin Booker",2015,5,0,0.819273957170352,9.2458255992672,-5.38572044547977
"123",3,"Kristaps Porzingis",2015,4,1,0.570278388751419,7.55110745244958,-0.389456351565237
"124",4,"D'Angelo Russell",2015,5,1,0.521611669694477,7.18398452350543,-5.91111619129612
"125",5,"Myles Turner",2015,5,0,0.377981928121996,6.03747440076208,2.51645891171746
"126",6,"Montrezl Harrell",2015,5,0,0.323175347038506,5.5800897161434,6.92880251961912
"127",7,"Larry Nance Jr.",2015,5,0,0.177249462324966,4.27026593003675,4.45231305341567
"128",8,"Willie Cauley-Stein",2015,5,0,0.171067251265351,4.20799218714671,4.75529557683613
"129",9,"Kelly Oubre Jr.",2015,5,0,0.114731559030073,3.58115698903272,-1.27211233417129
"130",10,"Josh Richardson",2015,5,0,0.0928678457046366,3.29531207594635,-2.43655715466423
"131",11,"Bobby Portis",2015,5,0,0.0726550097092967,2.99654490768224,0.499293254301733
"132",12,"Rondae Hollis-Jefferson",2015,5,0,0.0336116737831383,2.25637063058604,1.63913069434506
"133",13,"Richaun Holmes",2015,5,0,0.0266108345057189,2.08414155307744,5.86534193035793
"134",14,"Jahlil Okafor",2015,5,0,0.0159681311252582,1.77953924695639,3.5030100156234
"135",15,"Justise Winslow",2015,5,0,0.00186086117019704,1.23280684854773,-0.658679745189678
"136",16,"Delon Wright",2015,5,0,-0.00356073356355682,0.930595213509684,0.188420546349576
"137",17,"Frank Kaminsky",2015,5,0,-0.00450177705436125,0.867823454299366,-0.332845582748364
"138",18,"Terry Rozier",2015,5,0,-0.00533183690775815,0.808851258170049,-2.35525454623119
"139",19,"Emmanuel Mudiay",2015,5,0,-0.0100873923707731,0.361467145497194,-3.20545413998099
"140",20,"Willy Hernangomez",2015,4,0,-0.0127986620290184,-0.154770778264582,4.35491424785308
"141",21,"Cedi Osman",2015,3,0,-0.0133818349962437,-0.660790186744911,-1.0241037428739
"142",22,"Trey Lyles",2015,5,0,-0.0133765847280917,-0.673062214134892,0.989684723033708
"143",23,"Norman Powell",2015,5,0,-0.0133503085732817,-0.718659706372636,-0.127069842715824
"144",24,"Tyus Jones",2015,5,0,-0.0109925293535448,-1.68021613404865,-0.92436713250457
"145",25,"Kevon Looney",2015,5,0,-0.0106916304061851,-1.76198125257912,6.28206258675967
"146",26,"Stanley Johnson",2015,5,0,-0.010234107528325,-1.88275708964363,-1.46200249293806
"147",27,"Mario Hezonja",2015,5,0,-0.00998076157196853,-1.94830293804987,-0.773479860314924
"148",28,"Jerian Grant",2015,4,0,-0.00908510061655495,-2.17557562406555,-0.890260359513023
"149",29,"Sam Dekker",2015,4,0,-0.00600314774110618,-2.96202340705161,2.8661917919379
"150",30,"Pat Connaughton",2015,5,0,-0.00592859722037033,-2.98197686092726,1.29636596136697
