"","namePlayerBREF","urlPlayerBioBREF"
"1","Brian Cardinal","https://www.basketball-reference.com/players/c/cardibr01.html"
"2","Darius Miles","https://www.basketball-reference.com/players/m/milesda01.html"
"3","DerMarr Johnson","https://www.basketball-reference.com/players/j/johnsde03.html"
"4","Eddie House","https://www.basketball-reference.com/players/h/houseed01.html"
"5","Eduardo Najera","https://www.basketball-reference.com/players/n/najered01.html"
"6","Jamaal Magloire","https://www.basketball-reference.com/players/m/magloja01.html"
"7","Jamal Crawford","https://www.basketball-reference.com/players/c/crawfja01.html"
"8","Jason Hart","https://www.basketball-reference.com/players/h/hartja01.html"
"9","Joel Przybilla","https://www.basketball-reference.com/players/p/przybjo01.html"
"10","Kenyon Martin","https://www.basketball-reference.com/players/m/martike01.html"
"11","Michael Redd","https://www.basketball-reference.com/players/r/reddmi01.html"
"12","Mike Miller","https://www.basketball-reference.com/players/m/millemi01.html"
"13","Morris Peterson","https://www.basketball-reference.com/players/p/petermo01.html"
"14","Quentin Richardson","https://www.basketball-reference.com/players/r/richaqu01.html"
"15","Speedy Claxton","https://www.basketball-reference.com/players/c/claxtsp01.html"
"16","Stromile Swift","https://www.basketball-reference.com/players/s/swiftst01.html"
