"","Player","BREF","G","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"1","Amir Johnson","https://www.basketball-reference.com/players/j/johnsam01.html",369,26.9048780487805,3.95067750677507,6.96287262872629,0.566281842818428,0.145528455284553,0.3710027100271,0.301059620596206,3.80975609756098,6.61273712737127,0.57759620596206,0.57489701897019,1.35447154471545,1.90162601626016,0.690121951219512,2.40677506775068,4.17723577235772,6.62222222222222,1.39024390243902,0.710840108401084,1.12439024390244,1.40135501355014,3.44661246612466,9.36016260162602
"2","Andray Blatche","https://www.basketball-reference.com/players/b/blatcan01.html",326,25.2598159509202,5.1101226993865,10.8733128834356,0.47180981595092,0.122085889570552,0.439263803680982,0.236150306748466,4.98803680981595,10.4671779141104,0.482039877300613,0.477226993865031,2.23834355828221,3.06165644171779,0.729527607361963,2.05521472392638,4.07177914110429,6.10736196319018,1.64846625766871,1.08220858895706,0.724539877300614,1.90153374233129,2.40613496932515,12.5782208588957
"3","Andrew Bogut","https://www.basketball-reference.com/players/b/bogutan01.html",314,33.840127388535,5.86464968152866,11.1726114649682,0.52606050955414,0,0.0665605095541401,0.0420382165605096,5.86464968152866,11.1477707006369,0.52831847133758,0.526270700636943,1.93089171974522,3.36783439490446,0.562277070063694,2.97484076433121,6.98248407643312,10.0041401273885,2.31528662420382,0.69140127388535,1.7296178343949,2.11592356687898,3.3124203821656,13.6226114649682
"4","Andrew Bynum","https://www.basketball-reference.com/players/b/bynuman01.html",207,28.424154589372,5.21739130434783,9.32270531400966,0.561768115942029,0,0.0289855072463768,0.0579710144927536,5.21739130434783,9.29371980676328,0.563850241545894,0.561768115942029,2.74589371980676,3.90917874396135,0.697251207729469,2.4487922705314,5.91497584541063,8.36376811594203,1.15555555555556,0.341545893719807,1.62415458937198,1.84444444444444,2.6231884057971,13.2202898550725
"5","Brandon Bass","https://www.basketball-reference.com/players/b/bassbr01.html",380,27.0518421052632,4.25210526315789,8.60736842105263,0.494597368421053,0.0215789473684211,0.107894736842105,0.132494736842105,4.23052631578947,8.49973684210526,0.4976,0.496107894736842,2.17526315789474,2.64657894736842,0.8277,1.74789473684211,3.77342105263158,5.47842105263158,1.03078947368421,0.473947368421053,0.730789473684211,1.11868421052632,2.13052631578947,10.7178947368421
"6","C.J. Miles","https://www.basketball-reference.com/players/m/milescj01.html",326,22.8046012269939,3.98220858895706,9.58466257668712,0.417730061349693,2.04631901840491,5.44938650306749,0.380457055214724,1.93588957055215,4.13527607361963,0.466432515337423,0.526720858895706,1.44141104294479,1.70030674846626,0.837748466257669,0.378527607361963,2.38343558282209,2.74631901840491,0.928220858895705,0.790490797546012,0.360736196319018,0.907361963190184,2.03773006134969,11.491717791411
"7","Channing Frye","https://www.basketball-reference.com/players/f/fryech01.html",379,27.9110817941953,3.82532981530343,9.01635883905013,0.42544327176781,1.92110817941953,4.93324538258575,0.389308707124011,1.90422163588391,4.06174142480211,0.463411609498681,0.534928759894459,0.981530343007916,1.18311345646438,0.845398416886544,0.793139841688654,4.55197889182058,5.36543535620053,1.29630606860158,0.681266490765172,0.853298153034301,0.979947229551451,3.01160949868074,10.5931398416887
"8","Charlie Villanueva","https://www.basketball-reference.com/players/v/villach01.html",352,25.9042613636364,5.18238636363636,11.5164772727273,0.448866477272727,0.967613636363636,2.88920454545455,0.3309375,4.19318181818182,8.62727272727273,0.487980113636364,0.4913125,1.76448863636364,2.23210227272727,0.788659090909091,1.78068181818182,4.18892045454545,5.95852272727273,1.12272727272727,0.579829545454545,0.635511363636364,1.33181818181818,2.87102272727273,13.0517045454545
"9","Chris Paul","https://www.basketball-reference.com/players/p/paulch01.html",343,37.2740524781341,7.10437317784257,14.5737609329446,0.484486880466472,1.05655976676385,2.77959183673469,0.377892128279883,6.04781341107872,11.7985422740525,0.508979591836735,0.520740524781341,4.50262390670554,5.21166180758017,0.862387755102041,0.682798833819242,3.66064139941691,4.32069970845481,10.4883381924198,2.53906705539359,0.113119533527697,2.47376093294461,2.47696793002915,19.7314868804665
"10","Danny Granger","https://www.basketball-reference.com/players/g/grangda01.html",350,35.4582857142857,7.20885714285714,16.6485714285714,0.432948571428571,2.24542857142857,5.84657142857143,0.388245714285714,4.94571428571428,10.8054285714286,0.457248571428571,0.500677142857143,4.96285714285714,5.78171428571429,0.859085714285714,1.08171428571429,4.36771428571429,5.44942857142857,2.39857142857143,1.15685714285714,0.948,2.30714285714286,2.96457142857143,21.6277142857143
"11","David Lee","https://www.basketball-reference.com/players/l/leeda02.html",371,36.4180592991914,7.45390835579515,14.1943396226415,0.526407008086253,0,0.0584905660377358,0.0655229110512129,7.45390835579515,14.1358490566038,0.528800539083558,0.526603773584906,3.23315363881402,4.14420485175202,0.786832884097035,2.95741239892183,7.98274932614555,10.8970350404313,3.04959568733154,0.942048517520216,0.378706199460916,2.32264150943396,3.10431266846361,18.177628032345
"12","Deron Williams","https://www.basketball-reference.com/players/w/willide01.html",344,37.3186046511628,6.75058139534884,14.3552325581395,0.47109011627907,1.2875,3.70406976744186,0.353098837209302,5.46308139534884,10.6331395348837,0.511639534883721,0.515668604651163,4.77296511627907,5.73662790697674,0.827290697674419,0.534883720930233,2.97005813953488,3.52877906976744,10.378488372093,1.17848837209302,0.243604651162791,3.41220930232558,2.55872093023256,19.5273255813953
"13","Francisco Garcia","https://www.basketball-reference.com/players/g/garcifr01.html",306,24.3035947712418,3.5859477124183,7.98464052287582,0.445313725490196,1.17843137254902,3.10326797385621,0.377872549019608,2.42875816993464,4.91535947712418,0.489352941176471,0.51818954248366,1.57679738562092,1.90980392156863,0.824470588235294,0.661111111111111,2.25849673202614,2.8937908496732,1.56013071895425,0.922875816993464,0.713398692810458,1.22352941176471,2.5859477124183,9.92254901960784
"14","Gerald Green","https://www.basketball-reference.com/players/g/greenge01.html",316,22.7607594936709,4.1623417721519,9.86518987341772,0.415167721518987,1.68291139240506,4.58829113924051,0.35520253164557,2.47943037974684,5.23196202531646,0.466167721518987,0.497420886075949,1.47341772151899,1.8,0.810085443037975,0.480696202531646,2.29113924050633,2.79082278481013,1.10474683544304,0.650316455696203,0.367088607594937,1.29525316455696,2.02594936708861,11.4246835443038
"15","Hakim Warrick","https://www.basketball-reference.com/players/w/warriha01.html",363,23.4413223140496,4.0870523415978,8.23498622589532,0.497520661157025,0.0639118457300275,0.248484848484848,0.15703305785124,4.04573002754821,7.98650137741047,0.506465564738292,0.500738292011019,2.94104683195592,4.05371900826446,0.730666666666667,1.64738292011019,3.066391184573,4.69283746556474,0.767768595041322,0.467493112947658,0.354269972451791,1.33911845730028,2.12148760330579,11.203305785124
"16","Ian Mahinmi","https://www.basketball-reference.com/players/m/mahinia01.html",306,16.406862745098,1.74248366013072,3.53366013071895,0.49106862745098,0.0235294117647059,0.142483660130719,0.0447320261437908,1.71895424836601,3.36601307189542,0.504539215686274,0.494114379084967,1.30065359477124,2.02745098039216,0.645542483660131,1.58758169934641,2.43660130718954,4.01176470588235,0.569281045751634,0.559477124183007,0.766013071895425,1.0578431372549,2.73823529411765,4.7702614379085
"17","Jarrett Jack","https://www.basketball-reference.com/players/j/jackja01.html",316,29.745253164557,4.56139240506329,10.470253164557,0.43246835443038,0.808544303797468,2.36803797468354,0.33526582278481,3.75284810126582,8.12721518987342,0.459164556962025,0.470882911392405,2.28987341772152,2.63924050632911,0.860800632911392,0.303164556962025,2.93101265822785,3.25949367088608,5.27436708860759,0.816139240506329,0.200316455696203,2.17341772151899,1.85316455696203,12.1857594936709
"18","Jason Maxiell","https://www.basketball-reference.com/players/m/maxieja01.html",358,19.9203910614525,2.54469273743017,4.89441340782123,0.522111731843575,0,0,0,2.54469273743017,4.8731843575419,0.523351955307263,0.522111731843575,1.28212290502793,2.17737430167598,0.564067039106145,1.96508379888268,2.70865921787709,4.65782122905028,0.465642458100559,0.394692737430168,0.741340782122905,0.855027932960894,2.10027932960894,6.36564245810056
"19","Linas Kleiza","https://www.basketball-reference.com/players/k/kleizli01.html",328,22.2121951219512,3.47134146341463,7.91067073170732,0.439207317073171,1.14207317073171,3.29939024390244,0.340832317073171,2.37835365853659,4.62317073170732,0.508003048780488,0.511323170731707,1.70182926829268,2.18567073170732,0.767948170731707,1.04634146341463,2.95579268292683,3.9780487804878,0.886890243902439,0.475,0.185060975609756,1.15213414634146,2.28689024390244,9.75975609756098
"20","Lou Williams","https://www.basketball-reference.com/players/w/willilo02.html",295,28.2674576271186,6.31898305084746,14.7735593220339,0.426542372881356,1.91796610169492,5.2735593220339,0.362237288135593,4.40881355932203,9.52677966101695,0.464538983050847,0.491586440677966,5.21525423728814,5.95322033898305,0.875298305084746,0.441016949152542,2.26271186440678,2.74881355932203,4.76779661016949,0.911186440677966,0.190169491525424,2.54881355932203,1.21389830508475,19.7589830508475
"21","Luther Head","https://www.basketball-reference.com/players/h/headlu01.html",287,23.4149825783972,2.99094076655052,7.16271777003484,0.41620905923345,1.39616724738676,3.58919860627178,0.382296167247387,1.58710801393728,3.57108013937282,0.44618118466899,0.510790940766551,0.927177700348432,1.20313588850174,0.777731707317073,0.30383275261324,2.23623693379791,2.54006968641115,2.22822299651568,0.816724738675958,0.0923344947735192,1.28919860627178,1.50104529616725,8.31637630662021
"22","Marcin Gortat","https://www.basketball-reference.com/players/g/gortama01.html",365,31.1147945205479,5.62520547945205,10.2079452054795,0.551369863013699,0,0,0.221917808219178,5.62520547945205,10.1506849315068,0.552684931506849,0.551369863013699,1.85178082191781,2.74,0.681350684931507,2.5227397260274,6.80301369863014,9.32575342465753,1.29780821917808,0.612602739726027,1.43068493150685,1.47397260273973,2.35452054794521,13.0838356164384
"23","Martell Webster","https://www.basketball-reference.com/players/w/webstma02.html",329,26.148632218845,3.23890577507599,7.5258358662614,0.428629179331307,1.52218844984802,3.86231003039514,0.390118541033435,1.70607902735562,3.63920972644377,0.469218844984802,0.528422492401216,1.64133738601824,2.04528875379939,0.818474164133739,0.670212765957447,2.70243161094225,3.34893617021277,1.21914893617021,0.56565349544073,0.303343465045593,0.942249240121581,1.99696048632219,9.63191489361702
"24","Marvin Williams","https://www.basketball-reference.com/players/w/willima02.html",351,32.3997150997151,4.45754985754986,9.82877492877493,0.453660968660969,0.419373219373219,1.26894586894587,0.261122507122507,4.03817663817664,8.55982905982906,0.477304843304843,0.47617094017094,3.13646723646724,3.81509971509972,0.821509971509971,1.37692307692308,4.04928774928775,5.42621082621083,1.47293447293447,0.807407407407407,0.499145299145299,1.31339031339031,2.30797720797721,12.434188034188
"25","Monta Ellis","https://www.basketball-reference.com/players/e/ellismo01.html",308,38.8272727272727,8.62662337662338,18.5301948051948,0.468233766233766,0.948701298701299,2.86688311688312,0.30775,7.66980519480519,15.6821428571429,0.489483766233766,0.492448051948052,4.09188311688312,5.20487012987013,0.78037987012987,0.827272727272727,3.225,4.04448051948052,5.01168831168831,1.80941558441558,0.320779220779221,2.97597402597403,2.55616883116883,22.2545454545455
