"","namePlayerBREF","urlPlayerBioBREF"
"1","Aaron Brooks","https://www.basketball-reference.com/players/b/brookaa01.html"
"2","Aaron Gray","https://www.basketball-reference.com/players/g/grayaa01.html"
"3","Al Horford","https://www.basketball-reference.com/players/h/horfoal01.html"
"4","Al Thornton","https://www.basketball-reference.com/players/t/thornal01.html"
"5","Arron Afflalo","https://www.basketball-reference.com/players/a/afflaar01.html"
"6","Brandan Wright","https://www.basketball-reference.com/players/w/wrighbr03.html"
"7","Carl Landry","https://www.basketball-reference.com/players/l/landrca01.html"
"8","Corey Brewer","https://www.basketball-reference.com/players/b/breweco01.html"
"9","Daequan Cook","https://www.basketball-reference.com/players/c/cookda02.html"
"10","Dominic McGuire","https://www.basketball-reference.com/players/m/mcguido01.html"
"11","Glen Davis","https://www.basketball-reference.com/players/d/davisgl01.html"
"12","Jared Dudley","https://www.basketball-reference.com/players/d/dudleja01.html"
"13","Jason Smith","https://www.basketball-reference.com/players/s/smithja02.html"
"14","Jeff Green","https://www.basketball-reference.com/players/g/greenje02.html"
"15","Joakim Noah","https://www.basketball-reference.com/players/n/noahjo01.html"
"16","Josh McRoberts","https://www.basketball-reference.com/players/m/mcrobjo01.html"
"17","Julian Wright","https://www.basketball-reference.com/players/w/wrighju01.html"
"18","Kevin Durant","https://www.basketball-reference.com/players/d/duranke01.html"
"19","Marc Gasol","https://www.basketball-reference.com/players/g/gasolma01.html"
"20","Marco Belinelli","https://www.basketball-reference.com/players/b/belinma01.html"
"21","Mike Conley","https://www.basketball-reference.com/players/c/conlemi01.html"
"22","Nick Young","https://www.basketball-reference.com/players/y/youngni01.html"
"23","Ramon Sessions","https://www.basketball-reference.com/players/s/sessira01.html"
"24","Rodney Stuckey","https://www.basketball-reference.com/players/s/stuckro01.html"
"25","Rudy Fernandez","https://www.basketball-reference.com/players/f/fernaru01.html"
"26","Spencer Hawes","https://www.basketball-reference.com/players/h/hawessp01.html"
"27","Thaddeus Young","https://www.basketball-reference.com/players/y/youngth01.html"
"28","Tiago Splitter","https://www.basketball-reference.com/players/s/splitti01.html"
"29","Wilson Chandler","https://www.basketball-reference.com/players/c/chandwi01.html"
"30","Yi Jianlian","https://www.basketball-reference.com/players/j/jianlyi01.html"
