"","namePlayerBREF","urlPlayerBioBREF"
"1","Al Harrington","https://www.basketball-reference.com/players/h/harrial01.html"
"2","Antawn Jamison","https://www.basketball-reference.com/players/j/jamisan01.html"
"3","Bonzi Wells","https://www.basketball-reference.com/players/w/wellsbo01.html"
"4","Cuttino Mobley","https://www.basketball-reference.com/players/m/moblecu01.html"
"5","Dirk Nowitzki","https://www.basketball-reference.com/players/n/nowitdi01.html"
"6","Greg Buckner","https://www.basketball-reference.com/players/b/buckngr01.html"
"7","Jason Williams","https://www.basketball-reference.com/players/w/willija02.html"
"8","Keon Clark","https://www.basketball-reference.com/players/c/clarkke01.html"
"9","Larry Hughes","https://www.basketball-reference.com/players/h/hughela01.html"
"10","Maceo Baston","https://www.basketball-reference.com/players/b/bastoma01.html"
"11","Matt Harpring","https://www.basketball-reference.com/players/h/harprma01.html"
"12","Michael Dickerson","https://www.basketball-reference.com/players/d/dickemi01.html"
"13","Mike Bibby","https://www.basketball-reference.com/players/b/bibbymi01.html"
"14","Pat Garrity","https://www.basketball-reference.com/players/g/garripa01.html"
"15","Paul Pierce","https://www.basketball-reference.com/players/p/piercpa01.html"
"16","Raef LaFrentz","https://www.basketball-reference.com/players/l/lafrera01.html"
"17","Rafer Alston","https://www.basketball-reference.com/players/a/alstora01.html"
"18","Rashard Lewis","https://www.basketball-reference.com/players/l/lewisra02.html"
"19","Ricky Davis","https://www.basketball-reference.com/players/d/davisri01.html"
"20","Robert Traylor","https://www.basketball-reference.com/players/t/traylro01.html"
"21","Ruben Patterson","https://www.basketball-reference.com/players/p/patteru01.html"
"22","Ryan Bowen","https://www.basketball-reference.com/players/b/bowenry01.html"
"23","Shammond Williams","https://www.basketball-reference.com/players/w/willish01.html"
"24","Tyronn Lue","https://www.basketball-reference.com/players/l/luety01.html"
"25","Vince Carter","https://www.basketball-reference.com/players/c/cartevi01.html"
