"","namePlayerBREF","urlPlayerBioBREF"
"1","Allen Iverson","https://www.basketball-reference.com/players/i/iversal01.html"
"2","Antoine Walker","https://www.basketball-reference.com/players/w/walkean02.html"
"3","Brian Evans","https://www.basketball-reference.com/players/e/evansbr01.html"
"4","Derek Fisher","https://www.basketball-reference.com/players/f/fishede01.html"
"5","Erick Dampier","https://www.basketball-reference.com/players/d/dampier01.html"
"6","Jermaine O'Neal","https://www.basketball-reference.com/players/o/onealje01.html"
"7","Jerome Williams","https://www.basketball-reference.com/players/w/willije01.html"
"8","Kerry Kittles","https://www.basketball-reference.com/players/k/kittlke01.html"
"9","Kobe Bryant","https://www.basketball-reference.com/players/b/bryanko01.html"
"10","Marcus Camby","https://www.basketball-reference.com/players/c/cambyma01.html"
"11","Moochie Norris","https://www.basketball-reference.com/players/n/norrimo01.html"
"12","Ray Allen","https://www.basketball-reference.com/players/a/allenra02.html"
"13","Shandon Anderson","https://www.basketball-reference.com/players/a/andersh01.html"
"14","Shareef Abdur-Rahim","https://www.basketball-reference.com/players/a/abdursh01.html"
"15","Stephon Marbury","https://www.basketball-reference.com/players/m/marbust01.html"
"16","Steve Nash","https://www.basketball-reference.com/players/n/nashst01.html"
"17","Tony Delk","https://www.basketball-reference.com/players/d/delkto01.html"
"18","Walter McCarty","https://www.basketball-reference.com/players/m/mccarwa01.html"
"19","Zydrunas Ilgauskas","https://www.basketball-reference.com/players/i/ilgauzy01.html"
