,pk,Player,Yr,Yrs,allstar,PC1,College,rank,Class,Pos,School,G,MP,TRB,AST,STL,BLK,TOV,PF,PTS,FG.,X2P.,X3P.,FT.,PPG,RPG,APG,SPG,BPG,Year
1,1,DeMarcus Cousins,2010,9,4,10.15935319,Kentucky,Top 3,FR,F,Kentucky,38,893,374,38,37,67,78,122,575,0.558,0.565,0.167,0.604,15.1,9.8,1,1,1.8,2010
2,2,Paul George,2010,10,6,8.380655378,Fresno State,Top 3,SO,F,Fresno State,29,962,210,88,64,24,94,84,487,0.424,0.485,0.353,0.909,16.8,7.2,3,2.2,0.8,2010
3,3,John Wall,2010,9,5,7.681599301,Kentucky,Top 3,FR,G,Kentucky,37,1288,159,241,66,19,149,72,616,0.461,0.509,0.325,0.754,16.6,4.3,6.5,1.8,0.5,2010
4,4,Eric Bledsoe,2010,10,0,5.137558318,Kentucky,Top 5,FR,G,Kentucky,37,1122,114,107,52,12,112,82,419,0.462,0.516,0.383,0.667,11.3,3.1,2.9,1.4,0.3,2010
5,5,Gordon Hayward,2010,10,1,4.670152377,Butler,Top 5,SO,F,Butler,37,1239,305,62,40,30,85,78,572,0.464,0.592,0.294,0.829,15.5,8.2,1.7,1.1,0.8,2010
6,6,Greg Monroe,2010,9,0,4.376347516,Georgetown,Top 10,SO,C,Georgetown,34,1164,328,128,42,52,112,87,549,0.525,0.545,0.259,0.66,16.1,9.6,3.8,1.2,1.5,2010
7,7,Hassan Whiteside,2010,8,0,4.313209772,Marshall,Top 10,FR,C,Marshall,34,889,303,10,19,182,64,82,447,0.524,0.522,0.6,0.588,13.1,8.9,0.3,0.6,5.4,2010
8,8,Derrick Favors,2010,10,0,2.631203351,Georgia Tech,Top 10,FR,F,Georgia Tech,36,989,303,37,32,74,90,94,448,0.611,0.613,0,0.629,12.4,8.4,1,0.9,2.1,2010
9,9,Evan Turner,2010,10,0,0.995372,Ohio State,Top 10,JR,G,Ohio State,31,1108,284,185,54,28,136,86,632,0.519,0.54,0.364,0.754,20.4,9.2,6,1.7,0.9,2010
10,10,Avery Bradley,2010,10,0,0.164240097,Texas,Top 10,FR,G,Texas,34,1003,98,71,44,18,52,80,396,0.432,0.457,0.375,0.545,11.6,2.9,2.1,1.3,0.5,2010
11,11,Al-Farouq Aminu,2010,10,0,-0.844040523,Wake Forest,Lottery,SO,F,Wake Forest,31,970,332,41,44,44,99,91,491,0.447,0.484,0.273,0.698,15.8,10.7,1.3,1.4,1.4,2010
12,12,Ed Davis,2010,10,0,-1.288193755,UNC,Lottery,SO,F,North Carolina,23,641,220,22,10,64,46,42,309,0.578,0.578,0,0.659,13.4,9.6,1,0.4,2.8,2010
13,13,Greivis Vasquez,2010,7,0,-1.390195844,Maryland,Lottery,SR,G,Maryland,33,1120,153,208,56,12,111,69,647,0.429,0.47,0.359,0.857,19.6,4.6,6.3,1.7,0.4,2010
14,14,Lance Stephenson,2010,9,0,-1.414956917,Cincinnati,Lottery,FR,F,Cincinnati,34,960,182,84,31,6,81,66,419,0.44,0.495,0.219,0.664,12.3,5.4,2.5,0.9,0.2,2010
15,15,Patrick Patterson,2010,10,0,-1.650049053,Kentucky,Non-Lottery,JR,F,Kentucky,38,1255,283,36,27,51,41,61,544,0.575,0.626,0.348,0.692,14.3,7.4,0.9,0.7,1.3,2010
16,16,Trevor Booker,2010,8,0,-2.020633714,Clemson,Non-Lottery,SR,F,Clemson,32,984,268,81,43,45,62,63,486,0.521,0.547,0.265,0.591,15.2,8.4,2.5,1.3,1.4,2010
17,17,Jordan Crawford,2010,6,0,-2.032967796,Xavier,Non-Lottery,SO,G,Xavier,35,1147,166,101,47,7,85,57,718,0.462,0.501,0.391,0.773,20.5,4.7,2.9,1.3,0.2,2010
18,19,Wesley Johnson,2010,9,0,-2.929035031,Syracuse,Non-Lottery,JR,F,Syracuse,35,1224,299,78,58,64,81,72,577,0.502,0.54,0.415,0.772,16.5,8.5,2.2,1.7,1.8,2010
19,20,Larry Sanders,2010,6,0,-3.725696473,Virginia Commonwealth,Non-Lottery,JR,F,Virginia Commonwealth,35,941,319,34,26,90,58,103,503,0.534,0.547,0.25,0.641,14.4,9.1,1,0.7,2.6,2010
20,21,Landry Fields,2010,5,0,-3.771734241,Stanford,Non-Lottery,SR,G,Stanford,32,1161,280,89,51,25,83,65,704,0.49,0.521,0.337,0.696,22,8.8,2.8,1.6,0.8,2010
21,23,Ekpe Udoh,2010,7,0,-5.144006127,Baylor,Non-Lottery,JR,C,Baylor,36,1264,351,97,29,133,87,87,500,0.49,0.505,0.269,0.685,13.9,9.8,2.7,0.8,3.7,2010
22,24,Quincy Pondexter,2010,7,0,-5.27981961,Washington,Non-Lottery,SR,F,Washington,36,1162,265,63,46,21,68,90,695,0.528,0.55,0.353,0.827,19.3,7.4,1.8,1.3,0.6,2010
23,25,Cole Aldrich,2010,8,0,-5.400730471,Kansas,Non-Lottery,JR,C,Kansas,36,963,354,31,27,125,56,92,406,0.562,0.562,0,0.679,11.3,9.8,0.9,0.8,3.5,2010
24,26,Jeremy Evans,2010,7,0,-5.800012398,Western Kentucky,Non-Lottery,SR,F,Western Kentucky,34,901,235,25,28,61,36,98,341,0.649,0.673,0.25,0.688,10,6.9,0.7,0.8,1.8,2010
25,27,James Anderson,2010,5,0,-5.856089138,Oklahoma State,Non-Lottery,JR,G,Oklahoma State,33,1124,192,80,46,20,78,88,735,0.457,0.549,0.341,0.81,22.3,5.8,2.4,1.4,0.6,2010
26,27,James Anderson,2010,5,0,-5.856089138,Oklahoma State,Non-Lottery,SO,F,Brigham Young,29,106,28,3,2,5,5,31,34,0.48,0.48,0,0.667,1.2,1,0.1,0.1,0.2,2010
27,28,Luke Babbitt,2010,8,0,-6.263464452,Nevada,Non-Lottery,SO,F,Nevada,34,1260,303,72,35,27,81,87,743,0.5,0.521,0.416,0.917,21.9,8.9,2.1,1,0.8,2010
28,29,Xavier Henry,2010,5,0,-7.011169729,Kansas,Non-Lottery,FR,G,Kansas,36,990,157,53,54,18,69,66,483,0.458,0.492,0.418,0.783,13.4,4.4,1.5,1.5,0.5,2010
29,30,Elliot Williams,2010,4,0,-7.806034964,Memphis,Non-Lottery,SO,G,Memphis,34,1133,135,128,45,4,100,69,610,0.459,0.527,0.366,0.758,17.9,4,3.8,1.3,0.1,2010
