,pk,Player,Yr,Yrs,allstar,PC1,College,rank,Class,Pos,School,G,MP,TRB,AST,STL,BLK,TOV,PF,PTS,FG.,X2P.,X3P.,FT.,PPG,RPG,APG,SPG,BPG,Year
1,1,Karl-Anthony Towns,2015,5,2,16.46365307,Kentucky,Top 3,FR,F,Kentucky,39,822,261,44,18,88,53,115,401,0.566,0.577,0.25,0.813,10.3,6.7,1.1,0.5,2.3,2015
2,2,Devin Booker,2015,5,0,9.245825599,Kentucky,Top 3,FR,G,Kentucky,38,816,76,42,17,2,37,58,381,0.47,0.527,0.411,0.828,10,2,1.1,0.4,0.1,2015
3,4,D'Angelo Russell,2015,5,1,7.183984524,Ohio State,Top 5,FR,G,Ohio State,35,1188,198,175,55,11,102,74,675,0.449,0.479,0.411,0.756,19.3,5.7,5,1.6,0.3,2015
4,5,Myles Turner,2015,5,0,6.037474401,Texas,Top 5,FR,F,Texas,34,755,222,20,10,89,47,82,345,0.455,0.513,0.274,0.839,10.1,6.5,0.6,0.3,2.6,2015
5,6,Montrezl Harrell,2015,5,0,5.580089716,Louisville,Top 10,JR,F,Louisville,35,1229,321,49,33,42,69,74,549,0.566,0.602,0.243,0.597,15.7,9.2,1.4,0.9,1.2,2015
6,7,Larry Nance Jr.,2015,5,0,4.27026593,Wyoming,Top 10,SR,F,Wyoming,31,1082,224,76,37,37,70,69,498,0.514,0.538,0.333,0.786,16.1,7.2,2.5,1.2,1.2,2015
7,8,Willie Cauley-Stein,2015,5,0,4.207992187,Kentucky,Top 10,JR,F,Kentucky,39,1012,251,38,47,67,48,78,349,0.572,0.572,0,0.617,8.9,6.4,1,1.2,1.7,2015
8,9,Kelly Oubre Jr.,2015,5,0,3.581156989,Kansas,Top 10,FR,G,Kansas,36,756,179,28,41,13,43,71,333,0.444,0.497,0.358,0.718,9.3,5,0.8,1.1,0.4,2015
9,10,Josh Richardson,2015,5,0,3.295312076,Tennessee,Top 10,SR,G,Tennessee,32,1162,143,115,67,16,85,79,513,0.461,0.509,0.359,0.798,16,4.5,3.6,2.1,0.5,2015
10,11,Bobby Portis,2015,5,0,2.996544908,Arkansas,Lottery,SO,F,Arkansas,36,1076,321,42,39,50,56,78,629,0.536,0.541,0.467,0.737,17.5,8.9,1.2,1.1,1.4,2015
11,12,Rondae Hollis-Jefferson,2015,5,0,2.256370631,Arizona,Lottery,SO,F,Arizona,38,1090,260,59,44,32,59,94,427,0.502,0.537,0.207,0.707,11.2,6.8,1.6,1.2,0.8,2015
12,13,Richaun Holmes,2015,5,0,2.084141553,Bowling Green,Lottery,SR,F,Bowling Green State,31,892,248,26,22,83,60,77,457,0.563,0.588,0.419,0.712,14.7,8,0.8,0.7,2.7,2015
13,14,Jahlil Okafor,2015,5,0,1.779539247,Duke,Lottery,FR,C,Duke,38,1143,322,49,29,54,95,81,657,0.664,0.664,0,0.51,17.3,8.5,1.3,0.8,1.4,2015
14,15,Justise Winslow,2015,5,0,1.232806849,Duke,Non-Lottery,FR,F,Duke,39,1135,252,82,52,34,71,108,492,0.486,0.516,0.418,0.641,12.6,6.5,2.1,1.3,0.9,2015
15,16,Delon Wright,2015,5,0,0.930595214,Utah,Non-Lottery,SR,G,Utah,35,1165,173,178,73,34,68,49,509,0.509,0.554,0.356,0.836,14.5,4.9,5.1,2.1,1,2015
16,17,Frank Kaminsky,2015,5,0,0.867823454,Wisconsin,Non-Lottery,SR,C,Wisconsin,39,1311,320,103,33,57,63,65,732,0.547,0.581,0.416,0.78,18.8,8.2,2.6,0.8,1.5,2015
17,18,Terry Rozier,2015,5,0,0.808851258,Louisville,Non-Lottery,SO,G,Louisville,36,1260,200,108,72,6,79,62,615,0.411,0.456,0.306,0.79,17.1,5.6,3,2,0.2,2015
18,22,Trey Lyles,2015,5,0,-0.673062214,Kentucky,Non-Lottery,FR,F,Kentucky,36,828,188,38,19,16,41,57,313,0.488,0.536,0.138,0.735,8.7,5.2,1.1,0.5,0.4,2015
19,23,Norman Powell,2015,5,0,-0.718659706,UCLA,Non-Lottery,SR,G,UCLA,36,1244,169,75,66,16,80,91,591,0.456,0.503,0.319,0.751,16.4,4.7,2.1,1.8,0.4,2015
20,24,Tyus Jones,2015,5,0,-1.680216134,Duke,Non-Lottery,FR,G,Duke,39,1322,137,217,59,3,76,46,461,0.417,0.44,0.379,0.889,11.8,3.5,5.6,1.5,0.1,2015
21,25,Kevon Looney,2015,5,0,-1.761981253,UCLA,Non-Lottery,FR,F,UCLA,36,1113,331,51,46,32,45,104,416,0.47,0.481,0.415,0.626,11.6,9.2,1.4,1.3,0.9,2015
22,26,Stanley Johnson,2015,5,0,-1.88275709,Arizona,Non-Lottery,FR,F,Arizona,38,1081,247,63,57,15,82,100,523,0.446,0.478,0.371,0.742,13.8,6.5,1.7,1.5,0.4,2015
23,28,Jerian Grant,2015,4,0,-2.175575624,Notre Dame,Non-Lottery,SR,G,Notre Dame,38,1408,115,253,63,19,82,75,628,0.478,0.572,0.316,0.78,16.5,3,6.7,1.7,0.5,2015
24,29,Sam Dekker,2015,4,0,-2.962023407,Wisconsin,Non-Lottery,JR,F,Wisconsin,40,1239,220,49,21,18,36,42,556,0.525,0.639,0.331,0.708,13.9,5.5,1.2,0.5,0.5,2015
25,30,Pat Connaughton,2015,5,0,-2.981976861,Notre Dame,Non-Lottery,SR,G,Notre Dame,38,1351,282,57,27,36,44,75,475,0.466,0.537,0.423,0.781,12.5,7.4,1.5,0.7,0.9,2015
