,pk,Player,Yr,Yrs,allstar,PC1,College,rank,Class,Pos,School,G,MP,TRB,AST,STL,BLK,TOV,PF,PTS,FG.,X2P.,X3P.,FT.,PPG,RPG,APG,SPG,BPG,Year
1,1,Russell Westbrook,2008,12,9,14.34578879,UCLA,Top 3,SO,G,UCLA,39,1318,153,167,63,7,96,93,497,0.465,0.497,0.338,0.713,12.7,3.9,4.3,1.6,0.2,2008
2,2,Kevin Love,2008,12,5,8.609996509,UCLA,Top 3,FR,C,UCLA,39,1156,415,75,27,56,78,73,681,0.559,0.611,0.354,0.767,17.5,10.6,1.9,0.7,1.4,2008
3,3,Brook Lopez,2008,12,1,5.887053707,Stanford,Top 3,SO,F,Stanford,27,831,221,37,16,56,58,66,521,0.468,0.475,0,0.789,19.3,8.2,1.4,0.6,2.1,2008
4,4,DeAndre Jordan,2008,12,1,5.754545,Texas A&M,Top 5,FR,C,Texas A&M,35,703,210,15,7,44,57,67,278,0.617,0.617,0,0.437,7.9,6,0.4,0.2,1.3,2008
5,5,Derrick Rose,2008,11,3,5.563065408,Memphis,Top 5,FR,G,Memphis,40,1168,181,189,48,15,107,68,597,0.477,0.521,0.337,0.712,14.9,4.5,4.7,1.2,0.4,2008
6,10,Eric Gordon,2008,12,0,3.017092488,Indiana,Top 10,FR,G,Indiana,32,1110,104,78,42,20,115,69,669,0.433,0.525,0.337,0.834,20.9,3.3,2.4,1.3,0.6,2008
7,11,George Hill,2008,12,0,2.471794274,IUPUI,Lottery,JR,G,IUPUI,32,1179,216,137,57,13,94,89,688,0.545,0.58,0.45,0.812,21.5,6.8,4.3,1.8,0.4,2008
9,12,Ryan Anderson,2008,12,0,1.855993135,California,Lottery,SO,F,University of California,33,1082,328,47,12,18,74,71,697,0.49,0.53,0.41,0.869,21.1,9.9,1.4,0.4,0.5,2008
10,13,Roy Hibbert,2008,9,2,1.448199052,Georgetown,Lottery,SR,C,Georgetown,34,894,216,63,18,75,57,92,454,0.609,0.605,1,0.646,13.4,6.4,1.9,0.5,2.2,2008
11,14,O.J. Mayo,2008,8,0,1.433762662,USC,Lottery,FR,G,Southern California,33,1216,150,109,51,13,117,80,684,0.442,0.464,0.409,0.803,20.7,4.5,3.3,1.5,0.4,2008
12,15,Robin Lopez,2008,12,0,0.645526412,Stanford,Non-Lottery,SO,C,Stanford,36,883,204,22,18,83,63,94,367,0.534,0.533,1,0.652,10.2,5.7,0.6,0.5,2.3,2008
13,16,Michael Beasley,2008,11,0,0.319452091,Kansas State,Non-Lottery,FR,F,Kansas State,33,1041,408,38,42,54,95,85,866,0.532,0.562,0.379,0.774,26.2,12.4,1.2,1.3,1.6,2008
14,17,JaVale McGee,2008,12,0,-0.039011268,Nevada,Non-Lottery,SO,F,Nevada,33,902,242,20,26,92,80,82,466,0.529,0.556,0.333,0.525,14.1,7.3,0.6,0.8,2.8,2008
15,18,Mario Chalmers,2008,9,0,-0.057578422,Kansas,Non-Lottery,JR,G,Kansas,39,1170,120,169,97,23,75,99,498,0.516,0.562,0.468,0.746,12.8,3.1,4.3,2.5,0.6,2008
16,19,D.J. Augustin,2008,12,0,-0.14388415,Texas,Non-Lottery,SO,G,Texas,38,1417,112,219,47,0,105,61,731,0.439,0.471,0.381,0.783,19.2,2.9,5.8,1.2,0,2008
17,20,Courtney Lee,2008,12,0,-0.251481937,Western Kentucky,Non-Lottery,SR,G,Western Kentucky,36,1079,175,75,65,28,84,87,735,0.477,0.515,0.397,0.822,20.4,4.9,2.1,1.8,0.8,2008
18,21,Jason Thompson,2008,8,0,-0.267297807,Rider University,Non-Lottery,SR,C,Rider,34,1177,412,93,36,91,99,100,694,0.56,0.578,0.324,0.581,20.4,12.1,2.7,1.1,2.7,2008
19,22,J.J. Hickson,2008,8,0,-0.757618107,NC State,Non-Lottery,FR,F,North Carolina State,31,890,262,31,22,47,83,60,458,0.591,0.593,0,0.677,14.8,8.5,1,0.7,1.5,2008
20,23,Jerryd Bayless,2008,11,0,-2.259270534,Arizona,Non-Lottery,FR,G,Arizona,30,1072,82,121,29,3,89,66,592,0.458,0.489,0.407,0.839,19.7,2.7,4,1,0.1,2008
21,24,Luc Mbah a Moute,2008,11,0,-2.262235794,UCLA,Non-Lottery,JR,F,UCLA,33,958,198,51,34,15,62,55,290,0.478,0.509,0.2,0.689,8.8,6,1.5,1,0.5,2008
22,25,Marreese Speights,2008,10,0,-2.498721632,Florida,Non-Lottery,SO,C,Florida,36,874,290,34,15,49,62,82,522,0.624,0.624,0,0.692,14.5,8.1,0.9,0.4,1.4,2008
23,26,Kosta Koufos,2008,11,0,-2.617323615,Ohio State,Non-Lottery,FR,F,Ohio State,37,1003,247,19,16,67,55,81,534,0.508,0.535,0.349,0.68,14.4,6.7,0.5,0.4,1.8,2008
24,28,Brandon Rush,2008,9,0,-3.27720205,Kansas,Non-Lottery,JR,G,Kansas,38,1127,195,81,32,32,69,60,507,0.435,0.448,0.419,0.779,13.3,5.1,2.1,0.8,0.8,2008
25,29,Darrell Arthur,2008,9,0,-3.666735723,Kansas,Non-Lottery,SO,F,Kansas,40,989,250,33,20,53,75,118,510,0.543,0.555,0.167,0.702,12.8,6.3,0.8,0.5,1.3,2008
26,30,Chris Douglas-Roberts,2008,6,0,-4.952836398,Memphis,Non-Lottery,JR,G,Memphis,40,1147,165,71,49,18,83,68,724,0.541,0.578,0.413,0.712,18.1,4.1,1.8,1.2,0.5,2008
