"","Player","BREF","G","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"1","Brandon Rush","https://www.basketball-reference.com/players/r/rushbr01.html",291,26.7670103092784,3.40068728522337,7.81993127147766,0.441639175257732,1.33780068728522,3.29037800687285,0.408920962199313,2.08591065292096,4.52955326460481,0.463505154639175,0.528333333333333,0.858419243986254,1.21099656357388,0.712429553264605,0.496563573883162,3.12302405498282,3.59381443298969,1.153264604811,0.575945017182131,0.670446735395189,1.03161512027491,1.58247422680412,9.06872852233677
"2","Brook Lopez","https://www.basketball-reference.com/players/l/lopezbr01.html",311,30.7585209003215,7.5540192926045,14.9019292604502,0.507762057877813,0.434083601286174,1.32958199356913,0.140157556270096,7.11993569131833,13.6199356913183,0.524980707395498,0.521742765273312,3.91993569131833,4.98520900321543,0.793536977491961,2.52958199356913,4.33311897106109,6.81607717041801,1.44951768488746,0.569774919614148,1.82379421221865,2.00610932475884,2.64823151125402,19.5086816720257
"3","Chris Douglas-Roberts","https://www.basketball-reference.com/players/d/douglch01.html",210,20.3595238095238,2.7147619047619,6.13666666666667,0.441109523809524,0.380952380952381,1.17761904761905,0.293385714285714,2.31047619047619,4.93,0.4728,0.476280952380952,1.58333333333333,1.89142857142857,0.824619047619048,0.398095238095238,1.79142857142857,2.18952380952381,1.18190476190476,0.613333333333333,0.27047619047619,0.93,1.30238095238095,7.37285714285714
"4","Courtney Lee","https://www.basketball-reference.com/players/l/leeco01.html",311,30.3279742765273,4.01768488745981,8.78585209003215,0.454340836012862,1.23022508038585,3.15144694533762,0.390485530546624,2.7620578778135,5.62443729903537,0.489424437299035,0.524385852090032,1.28713826366559,1.47009646302251,0.867491961414791,0.47427652733119,2.42636655948553,2.86720257234727,2.02282958199357,1.09260450160772,0.309967845659164,0.956270096463023,1.64565916398714,10.4861736334405
"5","D.J. Augustin","https://www.basketball-reference.com/players/a/augusdj01.html",311,23.9237942122186,3.26688102893891,7.59389067524116,0.427951768488746,1.41254019292605,3.64501607717042,0.389083601286174,1.83922829581994,3.93858520900322,0.463897106109325,0.521967845659164,2.22315112540193,2.61704180064309,0.852202572347267,0.34887459807074,1.71832797427653,2.05144694533762,4.12186495176849,0.60096463022508,0.0090032154340836,1.4951768488746,1.32154340836013,10.1713826366559
"6","Danilo Gallinari","https://www.basketball-reference.com/players/g/gallida01.html",260,32.2911538461538,5.61923076923077,12.8365384615385,0.437992307692308,2.21038461538462,5.56384615384615,0.394392307692308,3.40076923076923,7.27269230769231,0.471046153846154,0.523788461538462,5.41692307692308,6.06538461538462,0.89455,0.717692307692308,4.745,5.48692307692308,2.30423076923077,0.688076923076923,0.27,1.385,1.55346153846154,18.8607692307692
"7","Darrell Arthur","https://www.basketball-reference.com/players/a/arthuda01.html",335,18.6370149253731,3.03014925373134,6.76029850746269,0.442689552238806,0.293432835820896,0.943582089552239,0.246388059701493,2.71611940298507,5.81671641791045,0.462268656716418,0.465307462686567,0.866268656716418,1.06985074626866,0.786785074626866,1.11462686567164,2.40805970149254,3.5465671641791,0.921194029850746,0.665074626865672,0.654328358208955,0.895223880597015,2.5865671641791,7.15492537313433
"8","DeAndre Jordan","https://www.basketball-reference.com/players/j/jordade01.html",399,33.2804511278195,4.65789473684211,6.79298245614035,0.689929824561404,0,0,0.0513784461152882,4.65789473684211,6.79298245614035,0.691348370927318,0.690135338345865,2.52982456140351,5.50751879699248,0.462310776942356,4.06491228070175,10.1696741854637,14.2756892230576,1.09348370927318,0.764411027568922,1.92857142857143,1.47719298245614,2.82481203007519,11.8456140350877
"9","Derrick Rose","https://www.basketball-reference.com/players/r/rosede01.html",289,36.6245674740484,8.01730103806228,17.4173010380623,0.460785467128028,0.802768166089965,2.56989619377163,0.281204152249135,7.2280276816609,14.8754325259516,0.483899653979239,0.48236678200692,3.98512110726644,4.89723183391003,0.806858131487889,0.958131487889273,2.8522491349481,3.83737024221453,6.75813148788927,0.832179930795848,0.403114186851211,2.94532871972318,1.44809688581315,20.8214532871972
"10","Eric Gordon","https://www.basketball-reference.com/players/g/gordoer01.html",247,34.787044534413,6.03481781376518,13.5894736842105,0.443481781376518,1.70566801619433,4.6995951417004,0.362696356275304,4.32914979757085,8.90242914979757,0.48697975708502,0.507781376518219,4.22186234817814,5.19514170040486,0.813627530364372,0.512550607287449,2.02672064777328,2.53927125506073,3.31983805668016,1.1246963562753,0.293117408906883,2.42712550607287,1.9336032388664,18.0234817813765
"11","George Hill","https://www.basketball-reference.com/players/h/hillge01.html",318,32.6710691823899,4.81006289308176,10.5987421383648,0.452132075471698,1.62169811320755,4.2374213836478,0.380632075471698,3.18836477987421,6.32767295597484,0.499430817610063,0.529223270440252,2.19748427672956,2.74685534591195,0.795229559748428,0.655031446540881,3.13616352201258,3.79119496855346,4.11100628930818,1.04716981132075,0.261320754716981,1.44937106918239,2.10345911949686,13.4522012578616
"12","J.J. Hickson","https://www.basketball-reference.com/players/h/hicksjj01.html",276,23.9960144927536,4.22608695652174,8.08659420289855,0.518347826086957,0,0.0318840579710145,0,4.22608695652174,8.06159420289855,0.521253623188406,0.518347826086957,1.98369565217391,3.41920289855072,0.579760869565217,2.64239130434783,5.33623188405797,8.00760869565217,1.0518115942029,0.573188405797101,0.593840579710145,1.53949275362319,2.04855072463768,10.4289855072464
