"","pk","Player","Yr","Yrs","allstar","PC1","College","rank","Class","Pos","School","G","MP","TRB","AST","STL","BLK","TOV","PF","PTS","FG.","X2P.","X3P.","FT.","PPG","RPG","APG","SPG","BPG","Year"
"18",19,"Maurice Harkless",2012,8,0,-2.52461046863369,"St. John's","Non-Lottery","FR","G","St. John's (NY)",32,1155,276,47,51,45,80,74,497,0.452,0.506,0.215,0.676,15.5,8.6,1.5,1.6,1.4,2012
"19",21,"Kyle O'Quinn",2012,8,0,-2.86276560249933,"Norfolk State","Non-Lottery","SR","C","Norfolk State",36,1125,372,51,25,97,95,117,572,0.573,0.61,0.188,0.696,15.9,10.3,1.4,0.7,2.7,2012
"20",22,"Tony Wroten",2012,4,0,-3.49937828783081,"Washington","Non-Lottery","FR","G","Washington",35,1062,176,130,66,13,132,93,559,0.443,0.483,0.161,0.583,16,5,3.7,1.9,0.4,2012
"21",23,"Tyler Zeller",2012,7,0,-3.60680920464733,"UNC","Non-Lottery","SR","F","North Carolina",38,1070,365,36,34,58,73,102,621,0.553,0.553,0,0.808,16.3,9.6,0.9,0.9,1.5,2012
"22",24,"Mike Scott",2012,8,0,-3.85944998383543,"Virginia","Non-Lottery","SR","F","Virginia",32,999,265,37,21,15,67,56,575,0.563,0.577,0.3,0.808,18,8.3,1.2,0.7,0.5,2012
"23",25,"Meyers Leonard",2012,8,0,-4.22088984085406,"Illinois","Non-Lottery","SO","C","Illinois",32,1018,262,43,15,60,68,94,434,0.584,0.604,0.091,0.732,13.6,8.2,1.3,0.5,1.9,2012
"24",26,"Quincy Acy",2012,7,0,-5.46092638808082,"Baylor","Non-Lottery","SR","F","Baylor",38,1130,282,38,35,70,71,117,455,0.577,0.576,0.6,0.782,12,7.4,1,0.9,1.8,2012
"25",27,"Darius Miller",2012,5,0,-5.5895482067597,"Kentucky","Non-Lottery","SR","G","Kentucky",40,1043,110,82,33,13,58,87,397,0.474,0.569,0.376,0.797,9.9,2.8,2.1,0.8,0.3,2012
"26",28,"Thomas Robinson",2012,5,0,-5.66624147507065,"Kansas","Non-Lottery","JR","F","Kansas",39,1242,463,72,42,34,104,107,692,0.505,0.505,0.5,0.682,17.7,11.9,1.8,1.1,0.9,2012
"27",29,"Andrew Nicholson",2012,5,0,-5.87248541493464,"St. Bonaventure","Non-Lottery","SR","F","St. Bonaventure",32,962,269,33,21,63,80,90,591,0.571,0.593,0.434,0.776,18.5,8.4,1,0.7,2,2012
"28",30,"Kendall Marshall",2012,4,0,-6.0537245104602,"UNC","Non-Lottery","SO","G","North Carolina",36,1189,94,351,43,6,101,56,293,0.467,0.527,0.354,0.696,8.1,2.6,9.8,1.2,0.2,2012
