"","pk","Player","Yr","Yrs","allstar","PC1","College","rank","Class","Pos","School","G","MP","TRB","AST","STL","BLK","TOV","PF","PTS","FG.","X2P.","X3P.","FT.","PPG","RPG","APG","SPG","BPG","Year"
"1",1,"Anthony Davis",2012,8,7,11.12229091588,"Kentucky","Top 3","FR","F","Kentucky",40,1281,415,50,54,186,41,78,567,0.623,0.653,0.15,0.709,14.2,10.4,1.3,1.4,4.7,2012
"2",2,"Damian Lillard",2012,8,5,9.66206214037253,"Weber State","Top 3","JR","G","Weber State",32,1105,161,128,47,7,74,62,784,0.467,0.517,0.409,0.887,24.5,5,4,1.5,0.2,2012
"3",3,"Andre Drummond",2012,8,2,7.22387677077975,"UConn","Top 3","FR","C","Connecticut",34,967,257,15,28,92,52,75,340,0.538,0.541,0,0.295,10,7.6,0.4,0.8,2.7,2012
"4",4,"Bradley Beal",2012,8,2,6.28213262964142,"Florida","Top 5","FR","G","Florida",37,1267,249,83,51,31,79,76,546,0.445,0.541,0.339,0.769,14.8,6.7,2.2,1.4,0.8,2012
"5",5,"Khris Middleton",2012,8,2,4.02538025001189,"Texas A&M","Top 5","JR","F","Texas A&M",20,575,99,45,19,5,43,37,263,0.415,0.485,0.26,0.75,13.2,5,2.3,1,0.3,2012
"6",6,"Draymond Green",2012,8,3,3.46756005877964,"Michigan State","Top 10","SR","F","Michigan State",37,1229,394,141,54,35,112,105,601,0.449,0.473,0.388,0.723,16.2,10.6,3.8,1.5,0.9,2012
"7",7,"Harrison Barnes",2012,8,0,2.06957510144986,"UNC","Top 10","SO","F","North Carolina",38,1111,198,43,41,13,74,68,648,0.44,0.469,0.358,0.723,17.1,5.2,1.1,1.1,0.3,2012
"8",9,"Will Barton",2012,8,0,0.660900542466921,"Memphis","Top 10","SO","G","Memphis",35,1236,279,102,50,25,75,74,631,0.509,0.559,0.346,0.749,18,8,2.9,1.4,0.7,2012
"9",10,"Jae Crowder",2012,8,0,-0.577919742142313,"Marquette","Top 10","SR","F","Marquette",35,1153,294,73,88,35,44,93,614,0.498,0.602,0.345,0.735,17.5,8.4,2.1,2.5,1,2012
"10",11,"Jeremy Lamb",2012,8,0,-0.634961083354159,"UConn","Lottery","SO","G","Connecticut",34,1266,166,58,42,21,68,57,603,0.478,0.601,0.336,0.81,17.7,4.9,1.7,1.2,0.6,2012
"11",12,"Jared Sullinger",2012,5,0,-0.867574358974161,"Ohio State","Lottery","SO","F","Ohio State",37,1123,340,46,43,39,71,109,647,0.519,0.531,0.4,0.768,17.5,9.2,1.2,1.2,1.1,2012
"12",13,"Terrence Ross",2012,8,0,-1.02298989191899,"Washington","Lottery","SO","G","Washington",35,1088,225,49,44,33,70,99,574,0.457,0.518,0.371,0.766,16.4,6.4,1.4,1.3,0.9,2012
"13",14,"Terrence Jones",2012,6,0,-1.43074373530142,"Kentucky","Lottery","SO","F","Kentucky",38,1115,272,51,49,68,62,91,469,0.5,0.528,0.327,0.627,12.3,7.2,1.3,1.3,1.8,2012
"14",15,"Dion Waiters",2012,8,0,-1.52011057606111,"Syracuse","Non-Lottery","SO","G","Syracuse",37,891,85,92,67,12,48,69,467,0.476,0.529,0.363,0.729,12.6,2.3,2.5,1.8,0.3,2012
"15",16,"Michael Kidd-Gilchrist",2012,8,0,-1.5838079042075,"Kentucky","Non-Lottery","FR","F","Kentucky",40,1245,297,75,39,37,87,97,476,0.491,0.535,0.255,0.745,11.9,7.4,1.9,1,0.9,2012
"16",17,"John Henson",2012,8,0,-1.78078688448477,"UNC","Non-Lottery","JR","F","North Carolina",35,1019,348,44,20,101,45,55,479,0.5,0.5,0,0.511,13.7,9.9,1.3,0.6,2.9,2012
"17",18,"Austin Rivers",2012,8,0,-2.48974335205894,"Duke","Non-Lottery","FR","G","Duke",34,1129,115,71,33,1,79,76,527,0.433,0.477,0.365,0.658,15.5,3.4,2.1,1,0,2012
