"","namePlayerBREF","urlPlayerBioBREF"
"1","Brandon Rush","https://www.basketball-reference.com/players/r/rushbr01.html"
"2","Brook Lopez","https://www.basketball-reference.com/players/l/lopezbr01.html"
"3","Chris Douglas-Roberts","https://www.basketball-reference.com/players/d/douglch01.html"
"4","Courtney Lee","https://www.basketball-reference.com/players/l/leeco01.html"
"5","D.J. Augustin","https://www.basketball-reference.com/players/a/augusdj01.html"
"6","Danilo Gallinari","https://www.basketball-reference.com/players/g/gallida01.html"
"7","Darrell Arthur","https://www.basketball-reference.com/players/a/arthuda01.html"
"8","DeAndre Jordan","https://www.basketball-reference.com/players/j/jordade01.html"
"9","Derrick Rose","https://www.basketball-reference.com/players/r/rosede01.html"
"10","Eric Gordon","https://www.basketball-reference.com/players/g/gordoer01.html"
"11","George Hill","https://www.basketball-reference.com/players/h/hillge01.html"
"12","J.J. Hickson","https://www.basketball-reference.com/players/h/hicksjj01.html"
"13","Jason Thompson","https://www.basketball-reference.com/players/t/thompja02.html"
"14","JaVale McGee","https://www.basketball-reference.com/players/m/mcgeeja01.html"
"15","Jerryd Bayless","https://www.basketball-reference.com/players/b/bayleje01.html"
"16","Kevin Love","https://www.basketball-reference.com/players/l/loveke01.html"
"17","Kosta Koufos","https://www.basketball-reference.com/players/k/koufoko01.html"
"18","Luc Mbah a Moute","https://www.basketball-reference.com/players/m/mbahalu01.html"
"19","Mario Chalmers","https://www.basketball-reference.com/players/c/chalmma01.html"
"20","Marreese Speights","https://www.basketball-reference.com/players/s/speigma01.html"
"21","Michael Beasley","https://www.basketball-reference.com/players/b/beaslmi01.html"
"22","Nicolas Batum","https://www.basketball-reference.com/players/b/batumni01.html"
"23","O.J. Mayo","https://www.basketball-reference.com/players/m/mayooj01.html"
"24","Robin Lopez","https://www.basketball-reference.com/players/l/lopezro01.html"
"25","Roy Hibbert","https://www.basketball-reference.com/players/h/hibbero01.html"
"26","Russell Westbrook","https://www.basketball-reference.com/players/w/westbru01.html"
"27","Ryan Anderson","https://www.basketball-reference.com/players/a/anderry01.html"
"28","Serge Ibaka","https://www.basketball-reference.com/players/i/ibakase01.html"
