,pk,Player,Yr,Yrs,allstar,PC1,College,rank,Class,Pos,School,G,MP,TRB,AST,STL,BLK,TOV,PF,PTS,FG.,X2P.,X3P.,FT.,PPG,RPG,APG,SPG,BPG,Year
1,1,Michael Redd,2000,12,1,5.243319644,Ohio State,Top 3,JR,G,Ohio State,30,1004,196,62,37,6,62,56,518,0.436,0.474,0.315,0.776,17.3,6.5,2.1,1.2,0.2,2000
2,2,Jamal Crawford,2000,19,0,4.285237292,Michigan,Top 3,FR,G,Michigan,17,577,47,76,19,16,53,19,283,0.412,0.468,0.327,0.784,16.6,2.8,4.5,1.1,0.9,2000
3,3,Kenyon Martin,2000,15,1,3.301880228,Cincinnati,Top 3,SR,C,Cincinnati,31,909,300,42,43,107,56,71,585,0.568,0.573,0.286,0.684,18.9,9.7,1.4,1.4,3.5,2000
4,5,Mike Miller,2000,17,0,2.717965771,Florida,Top 5,SO,F,Florida,37,1058,243,91,46,15,71,70,521,0.476,0.559,0.338,0.729,14.1,6.6,2.5,1.2,0.4,2000
5,6,Desmond Mason,2000,10,0,1.062131856,Oklahoma State,Top 10,SR,F,Oklahoma State,34,1202,225,52,41,33,60,69,611,0.499,0.536,0.43,0.767,18,6.6,1.5,1.2,1,2000
6,7,Morris Peterson,2000,11,0,0.464248577,Michigan State,Top 10,SR,F,Michigan State,39,1136,235,49,46,11,84,79,657,0.465,0.494,0.425,0.773,16.8,6,1.3,1.2,0.3,2000
7,8,Quentin Richardson,2000,13,0,0.09806229,DePaul,Top 10,SO,F,DePaul,33,1150,325,72,35,9,77,75,561,0.432,0.464,0.384,0.706,17,9.8,2.2,1.1,0.3,2000
8,9,Jamaal Magloire,2000,12,1,-0.277010177,Kentucky,Top 10,SR,C,Kentucky,33,978,300,18,17,57,95,91,435,0.5,0.5,0,0.685,13.2,9.1,0.5,0.5,1.7,2000
9,10,Speedy Claxton,2000,7,0,-0.509503582,Hofstra,Top 10,SR,G,Hofstra,31,1089,168,186,102,5,101,71,706,0.47,0.5,0.381,0.764,22.8,5.4,6,3.3,0.2,2000
10,12,Stromile Swift,2000,9,0,-1.347438479,LSU,Lottery,SO,F,Louisiana State,34,1013,279,32,50,95,80,88,550,0.608,0.634,0.28,0.617,16.2,8.2,0.9,1.5,2.8,2000
11,15,Joel Przybilla,2000,13,0,-2.438698881,Minnesota,Non-Lottery,SO,C,Minnesota,21,638,176,50,17,81,77,61,299,0.613,0.613,0,0.495,14.2,8.4,2.4,0.8,3.9,2000
12,16,Chris Mihm,2000,8,0,-2.62294995,Texas,Non-Lottery,JR,C,Texas,33,1014,346,22,11,90,81,90,583,0.523,0.525,0.467,0.707,17.7,10.5,0.7,0.3,2.7,2000
13,17,Keyon Dooling,2000,13,0,-2.78821896,Missouri,Non-Lottery,SO,G,Missouri,31,983,84,113,44,17,79,56,473,0.389,0.424,0.347,0.743,15.3,2.7,3.6,1.4,0.5,2000
14,18,Eddie House,2000,11,0,-2.894045766,Arizona State,Non-Lottery,SR,G,Arizona State,32,1189,175,111,74,2,72,66,736,0.422,0.449,0.365,0.835,23,5.5,3.5,2.3,0.1,2000
15,19,Marcus Fizer,2000,6,0,-3.045392208,Iowa State,Non-Lottery,JR,F,Iowa State,37,1243,285,41,29,39,77,103,844,0.582,0.6,0.357,0.732,22.8,7.7,1.1,0.8,1.1,2000
16,20,Eduardo Najera,2000,12,0,-3.063238895,Oklahoma,Non-Lottery,SR,F,Oklahoma,34,1162,314,72,59,25,82,97,625,0.455,0.5,0.22,0.688,18.4,9.2,2.1,1.7,0.7,2000
17,22,Etan Thomas,2000,9,0,-3.339745238,Syracuse,Non-Lottery,SR,C,Syracuse,29,940,269,16,22,107,59,92,395,0.602,0.602,0,0.678,13.6,9.3,0.6,0.8,3.7,2000
18,23,Brian Cardinal,2000,12,0,-3.404408917,Purdue,Non-Lottery,SR,F,Purdue,32,943,203,71,65,10,74,86,446,0.411,0.455,0.339,0.769,13.9,6.3,2.2,2,0.3,2000
19,24,Courtney Alexander,2000,3,0,-3.868410174,Fresno State,Non-Lottery,SR,G,Fresno State,27,974,128,94,37,4,67,61,669,0.447,0.499,0.331,0.781,24.8,4.7,3.5,1.4,0.1,2000
20,25,Jason Hart,2000,9,0,-3.926804539,Syracuse,Non-Lottery,SR,G,Syracuse,32,1083,96,208,59,3,111,78,382,0.411,0.46,0.33,0.734,11.9,3,6.5,1.8,0.1,2000
21,26,DerMarr Johnson,2000,7,0,-4.377206993,Cincinnati,Non-Lottery,FR,G,Cincinnati,32,879,123,45,31,30,46,64,402,0.478,0.575,0.371,0.737,12.6,3.8,1.4,1,0.9,2000
22,27,Donnell Harvey,2000,5,0,-4.626172765,Florida,Non-Lottery,FR,C,Florida,37,746,258,37,27,31,60,101,374,0.507,0.509,0,0.61,10.1,7,1,0.7,0.8,2000
23,28,Jake Voskuhl,2000,9,0,-4.631005377,UConn,Non-Lottery,SR,C,Connecticut,34,778,219,39,18,47,62,93,289,0.571,0.571,0,0.683,8.5,6.4,1.1,0.5,1.4,2000
24,30,Mark Madsen,2000,9,0,-6.546753412,Stanford,Non-Lottery,SR,F,Stanford,23,628,214,25,13,21,34,52,281,0.587,0.587,0,0.575,12.2,9.3,1.1,0.6,0.9,2000
