"","Player","BREF","G","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"1","Boris Diaw","https://www.basketball-reference.com/players/d/diawbo01.html",326,34.3374233128834,5.02055214723926,10.1493865030675,0.499067484662577,0.907055214723926,2.42699386503068,0.370058282208589,4.15674846625767,7.74754601226994,0.540564417177914,0.542616564417178,1.20920245398773,1.73834355828221,0.706776073619632,1.4659509202454,3.79079754601227,5.20674846625767,4.08466257668712,0.779754601226994,0.654601226993865,2.38496932515337,2.50705521472393,12.2573619631902
"2","Carlos Delfino","https://www.basketball-reference.com/players/d/delfica01.html",327,27.5902140672783,3.62874617737003,9.04464831804281,0.400938837920489,1.85963302752294,4.96330275229358,0.371694189602446,1.77461773700306,4.08134556574924,0.438544342507645,0.50285626911315,1.0651376146789,1.38073394495413,0.792186544342508,0.563608562691132,3.68990825688073,4.25351681957186,2.20489296636086,1.14525993883792,0.17737003058104,1.1960244648318,1.8348623853211,10.1611620795107
"3","Carmelo Anthony","https://www.basketball-reference.com/players/a/anthoca01.html",357,36.8140056022409,9.53809523809524,20.23081232493,0.470991596638655,0.75266106442577,2.3,0.309266106442577,8.80392156862745,17.93081232493,0.490532212885154,0.488817927170868,6.66582633053221,8.27198879551821,0.804733893557423,1.95378151260504,4.36554621848739,6.31932773109244,3.27731092436975,1.2,0.443977591036415,3.10672268907563,3.11848739495798,26.4089635854342
"4","Chris Bosh","https://www.basketball-reference.com/players/b/boshch01.html",353,37.6371104815864,7.98385269121813,15.9348441926346,0.499804532577904,0.121529745042493,0.403682719546742,0.268589235127479,7.84334277620397,15.5305949008499,0.505127478753541,0.503810198300283,6.73314447592068,8.31303116147309,0.811705382436261,2.78215297450425,7.10793201133144,9.89008498583569,2.51898016997167,0.742209631728045,1.07847025495751,2.3586402266289,2.52181303116147,22.8226628895184
"5","Chris Kaman","https://www.basketball-reference.com/players/k/kamanch01.html",242,32.3202479338843,6.33842975206612,13.1367768595041,0.482190082644628,0,0.0545454545454545,0,6.33842975206612,13.0822314049587,0.483512396694215,0.482190082644628,2.50165289256198,3.33595041322314,0.750822314049587,2.35909090909091,6.92148760330578,9.30537190082645,1.72727272727273,0.523140495867769,1.72603305785124,2.6900826446281,2.75495867768595,15.1640495867769
"6","Dahntay Jones","https://www.basketball-reference.com/players/j/jonesda02.html",303,19.0957095709571,2.57029702970297,5.58283828382838,0.463,0.121452145214521,0.354125412541254,0.374485148514851,2.47458745874587,5.22838283828383,0.471792079207921,0.475372937293729,1.81881188118812,2.37656765676568,0.756026402640264,0.527062706270627,1.62607260726073,2.13828382838284,1.13927392739274,0.494719471947195,0.300990099009901,1.10693069306931,2.4013201320132,7.096699669967
"7","David West","https://www.basketball-reference.com/players/w/westda01.html",355,37.0377464788732,7.77183098591549,15.9315492957746,0.489354929577465,0.0949295774647887,0.289859154929577,0.252504225352113,7.69971830985915,15.6152112676056,0.49376338028169,0.491825352112676,3.98338028169014,4.69183098591549,0.848414084507042,2.20507042253521,5.87380281690141,8.13605633802817,2.44507042253521,0.81943661971831,0.910704225352113,2.07239436619718,2.79971830985916,19.6484507042254
"8","Dwyane Wade","https://www.basketball-reference.com/players/w/wadedw01.html",333,37.915015015015,9.54864864864865,19.6981981981982,0.485063063063063,0.636636636636637,2.25495495495496,0.267627627627628,8.8966966966967,17.4510510510511,0.51009009009009,0.500813813813814,7.62522522522523,9.85615615615616,0.773489489489489,1.19099099099099,3.77507507507508,4.94294294294294,6.9966966966967,1.94804804804805,1.03393393393393,3.6975975975976,2.51951951951952,27.4054054054054
"9","James Jones","https://www.basketball-reference.com/players/j/jonesja02.html",324,19.6947530864198,2.24722222222222,5.57438271604938,0.398530864197531,1.22222222222222,3.03888888888889,0.392098765432099,1.04814814814815,2.53549382716049,0.40637037037037,0.507108024691358,1.05216049382716,1.21666666666667,0.861376543209877,0.510802469135803,2.02901234567901,2.55771604938272,0.680246913580247,0.410802469135802,0.498456790123457,0.475,1.65154320987654,6.73888888888889
"10","Jarvis Hayes","https://www.basketball-reference.com/players/h/hayesja01.html",312,21.8842948717949,3.14711538461538,7.47435897435897,0.420926282051282,0.944871794871795,2.55673076923077,0.367240384615385,2.22852564102564,4.96987179487179,0.450557692307692,0.484980769230769,0.875961538461538,1.08461538461538,0.781897435897436,0.528846153846154,2.52115384615385,3.07628205128205,1.01762820512821,0.689102564102564,0.136538461538462,0.763141025641026,1.95512820512821,8.0849358974359
"11","Jason Kapono","https://www.basketball-reference.com/players/k/kaponja01.html",360,20.2363888888889,3.12638888888889,6.98805555555556,0.451147222222222,1.00361111111111,2.24055555555556,0.448247222222222,2.10055555555556,4.75583333333333,0.451797222222222,0.521838888888889,0.660833333333333,0.738333333333333,0.845044444444444,0.349444444444444,1.58333333333333,1.93277777777778,0.971388888888889,0.395,0.0366666666666667,0.735277777777778,1.73305555555556,7.96416666666667
"12","Josh Howard","https://www.basketball-reference.com/players/h/howarjo01.html",333,33.7672672672673,6.43153153153153,13.9441441441441,0.462615615615616,0.83033033033033,2.39069069069069,0.351174174174174,5.5960960960961,11.5168168168168,0.485504504504504,0.491594594594595,3.27357357357357,4.20750750750751,0.778846846846847,1.81051051051051,4.55135135135135,6.4003003003003,1.78648648648649,1.16156156156156,0.560960960960961,1.58168168168168,2.7039039039039,16.9651651651652
"13","Keith Bogans","https://www.basketball-reference.com/players/b/boganke01.html",291,25.4412371134021,2.99965635738832,7.67697594501718,0.393580756013746,0.872508591065292,2.61649484536082,0.334656357388316,2.15257731958763,5.08556701030928,0.425855670103093,0.452085910652921,1.56907216494845,2.27560137457045,0.680051546391753,1.01305841924399,2.61649484536082,3.60515463917526,1.67353951890034,0.874226804123711,0.111340206185567,1.29690721649485,2.17972508591065,8.40481099656357
"14","Kendrick Perkins","https://www.basketball-reference.com/players/p/perkike01.html",273,26.992673992674,3.27948717948718,5.64725274725275,0.586875457875458,0,0,0,3.27948717948718,5.61868131868132,0.589139194139194,0.586875457875458,1.62271062271062,2.68095238095238,0.595655677655678,2.17252747252747,5.23040293040293,7.37509157509157,1.09267399267399,0.324175824175824,1.6018315018315,1.96373626373626,3.06996336996337,8.18168498168498
"15","Kirk Hinrich","https://www.basketball-reference.com/players/h/hinriki01.html",389,35.173264781491,5.19640102827763,12.5483290488432,0.41298971722365,1.66272493573265,4.36169665809769,0.37633676092545,3.55424164524422,8.20616966580977,0.430228791773779,0.478928020565553,2.37892030848329,2.90282776349614,0.815496143958869,0.439074550128535,3.10179948586118,3.52133676092545,6.35964010282776,1.31928020565553,0.3,2.36015424164524,3.2598971722365,14.394087403599
"16","Kyle Korver","https://www.basketball-reference.com/players/k/korveky01.html",367,30.6111716621253,3.73460490463215,8.01607629427793,0.463901907356948,2.49400544959128,5.49509536784741,0.453098092643052,1.22207084468665,2.52098092643052,0.483299727520436,0.618937329700272,0.940054495912807,1.06239782016349,0.8826621253406,0.22125340599455,3.40735694822888,3.64877384196185,2.24550408719346,0.783651226158038,0.423433242506812,1.18256130790191,1.98637602179837,10.841416893733
"17","Leandro Barbosa","https://www.basketball-reference.com/players/b/barbole01.html",333,27.3900900900901,5.39099099099099,11.478978978979,0.467930930930931,1.73123123123123,4.28348348348348,0.397693693693694,3.65975975975976,7.17087087087087,0.509324324324324,0.542258258258258,2.14564564564565,2.5951951951952,0.835726726726727,0.425525525525526,2.11561561561562,2.54114114114114,2.76216216216216,0.965165165165165,0.175075075075075,1.45645645645646,2.19129129129129,14.6723723723724
"18","LeBron James","https://www.basketball-reference.com/players/j/jamesle01.html",374,38.2040106951872,9.89117647058823,19.1157754010695,0.518687165775401,1.37914438502674,3.8620320855615,0.354390374331551,8.5120320855615,15.253743315508,0.560767379679144,0.55418449197861,6.62272727272727,8.64812834224599,0.76594385026738,1.18850267379679,6.4807486631016,7.64893048128342,7.29679144385027,1.69171122994652,0.883689839572193,3.27433155080214,1.67005347593583,27.7644385026738
"19","Luke Ridnour","https://www.basketball-reference.com/players/r/ridnolu01.html",360,28.27,4.20083333333333,9.31277777777778,0.449738888888889,0.873888888888889,2.47305555555556,0.361805555555556,3.31222222222222,6.83972222222222,0.481294444444444,0.497497222222222,1.71861111111111,1.96138888888889,0.878872222222222,0.439722222222222,2.10944444444444,2.50638888888889,4.56833333333333,1.06555555555556,0.172222222222222,1.71944444444444,2.38194444444444,11.0169444444444
"20","Luke Walton","https://www.basketball-reference.com/players/w/waltolu01.html",329,21.2018237082067,2.51155015197568,5.64954407294833,0.436410334346505,0.413677811550152,1.16139817629179,0.321510638297872,2.11641337386018,4.46565349544073,0.470571428571429,0.470313069908815,0.950759878419453,1.33191489361702,0.725279635258359,1.11854103343465,2.40364741641337,3.52370820668693,2.73039513677812,0.661094224924012,0.236474164133739,1.31306990881459,1.64620060790274,6.32826747720365
