"","pk","Player","Yr","Yrs","allstar","PC1","College","rank","Class","Pos","School","G","MP","TRB","AST","STL","BLK","TOV","PF","PTS","FG.","X2P.","X3P.","FT.","PPG","RPG","APG","SPG","BPG","Year"
"1",2,"Dwyane Wade",2003,16,12,11.34873552,"Marquette","Top 3","JR","G","Marquette",33,1058,209,145,71,43,107,76,710,0.501,0.519,0.318,0.779,21.5,6.3,4.4,2.2,1.3,2003
"2",3,"Carmelo Anthony",2003,17,10,9.736296664,"Syracuse","Top 3","FR","F","Syracuse",35,1274,349,77,55,30,77,77,778,0.453,0.496,0.337,0.706,22.2,10,2.2,1.6,0.9,2003
"3",4,"Chris Bosh",2003,13,11,8.40293914,"Georgia Tech","Top 5","FR","F","Georgia Tech",31,960,278,38,30,67,72,73,485,0.56,0.575,0.478,0.73,15.6,9,1.2,1,2.2,2003
"4",5,"David West",2003,15,2,6.014786044,"Xavier","Top 5","SR","F","Xavier",32,1168,378,102,42,52,85,95,644,0.513,0.524,0.346,0.816,20.1,11.8,3.2,1.3,1.6,2003
"5",6,"Mo Williams",2003,13,1,3.129010014,"Alabama","Top 10","SO","G","Alabama",29,1038,113,112,36,5,86,61,475,0.431,0.539,0.317,0.838,16.4,3.9,3.9,1.2,0.2,2003
"6",7,"Kirk Hinrich",2003,13,0,2.816850804,"Kansas","Top 10","SR","G","Kansas",37,1241,139,130,69,16,83,78,641,0.475,0.532,0.406,0.704,17.3,3.8,3.5,1.9,0.4,2003
"7",8,"Josh Howard",2003,10,1,2.700576934,"Wake Forest","Top 10","SR","F","Wake Forest",31,1002,257,59,64,48,82,89,606,0.477,0.528,0.373,0.833,19.5,8.3,1.9,2.1,1.5,2003
"8",9,"Chris Kaman",2003,13,1,2.186199555,"Central Michigan University","Top 10","JR","C","Central Michigan",31,1055,373,37,19,98,137,99,694,0.622,0.622,0,0.749,22.4,12,1.2,0.6,3.2,2003
"9",11,"Kyle Korver",2003,17,1,1.093897635,"Creighton","Lottery","SR","F","Creighton",34,1082,217,104,50,23,68,89,604,0.468,0.443,0.48,0.908,17.8,6.4,3.1,1.5,0.7,2003
"10",12,"T.J. Ford",2003,8,0,0.912888791,"Texas","Lottery","SO","G","Texas",33,1110,128,254,66,5,107,83,495,0.401,0.429,0.265,0.82,15,3.9,7.7,2,0.2,2003
"11",14,"Luke Ridnour",2003,12,0,0.51954106,"Oregon","Lottery","JR","G","Oregon",33,1169,112,218,63,2,129,77,649,0.432,0.473,0.382,0.88,19.7,3.4,6.6,1.9,0.1,2003
"12",16,"Nick Collison",2003,14,0,-0.414473789,"Kansas","Non-Lottery","SR","F","Kansas",38,1232,380,84,44,74,92,95,702,0.554,0.571,0.342,0.635,18.5,10,2.2,1.2,1.9,2003
"13",18,"Steve Blake",2003,13,0,-1.375544935,"Maryland","Non-Lottery","SR","G","Maryland",31,1009,114,221,50,5,99,54,360,0.415,0.413,0.416,0.819,11.6,3.7,7.1,1.6,0.2,2003
"14",22,"Matt Bonner",2003,12,0,-2.531199689,"Florida","Non-Lottery","SR","F","Florida",33,1037,201,49,35,20,54,70,501,0.51,0.531,0.474,0.733,15.2,6.1,1.5,1.1,0.6,2003
"15",23,"Willie Green",2003,12,0,-2.571170573,"Detroit Mercy","Non-Lottery","SR","G","Detroit Mercy",30,1021,148,75,40,13,68,71,678,0.49,0.519,0.374,0.805,22.6,4.9,2.5,1.3,0.4,2003
"16",24,"Keith Bogans",2003,11,0,-2.706287051,"Kentucky","Non-Lottery","SR","G","Kentucky",36,1068,138,98,42,4,78,60,564,0.456,0.528,0.383,0.738,15.7,3.8,2.7,1.2,0.1,2003
"17",25,"Luke Walton",2003,10,0,-3.306923512,"Arizona","Non-Lottery","SR","F","Arizona",28,772,157,142,26,7,78,56,301,0.42,0.434,0.384,0.678,10.8,5.6,5.1,0.9,0.3,2003
"18",26,"Jarvis Hayes",2003,7,0,-3.380268991,"Georgia","Non-Lottery","JR","F","Georgia",27,872,119,54,31,12,38,64,493,0.503,0.544,0.425,0.784,18.3,4.4,2,1.1,0.4,2003
"19",27,"James Jones",2003,14,0,-3.727100119,"Miami (FL)","Non-Lottery","SR","F","Miami (FL)",28,957,169,49,44,50,69,76,472,0.447,0.466,0.4,0.831,16.9,6,1.8,1.6,1.8,2003
"20",28,"Jason Kapono",2003,9,0,-3.874639771,"UCLA","Non-Lottery","SR","F","UCLA",29,969,151,59,17,0,61,65,487,0.457,0.502,0.398,0.88,16.8,5.2,2,0.6,0,2003
"21",29,"Dahntay Jones",2003,13,0,-4.104737117,"Duke","Non-Lottery","SR","F","Duke",33,1014,180,29,38,18,63,101,583,0.47,0.498,0.398,0.749,17.7,5.5,0.9,1.2,0.5,2003
