"","namePlayerBREF","urlPlayerBioBREF"
"1","Aaron Gordon","https://www.basketball-reference.com/players/g/gordoaa01.html"
"2","Andrew Wiggins","https://www.basketball-reference.com/players/w/wiggian01.html"
"3","Clint Capela","https://www.basketball-reference.com/players/c/capelca01.html"
"4","Dante Exum","https://www.basketball-reference.com/players/e/exumda01.html"
"5","Doug McDermott","https://www.basketball-reference.com/players/m/mcderdo01.html"
"6","Dwight Powell","https://www.basketball-reference.com/players/p/poweldw01.html"
"7","Elfrid Payton","https://www.basketball-reference.com/players/p/paytoel01.html"
"8","Gary Harris","https://www.basketball-reference.com/players/h/harriga01.html"
"9","Jabari Parker","https://www.basketball-reference.com/players/p/parkeja01.html"
"10","Jerami Grant","https://www.basketball-reference.com/players/g/grantje01.html"
"11","Joe Harris","https://www.basketball-reference.com/players/h/harrijo01.html"
"12","Joel Embiid","https://www.basketball-reference.com/players/e/embiijo01.html"
"13","Jordan Clarkson","https://www.basketball-reference.com/players/c/clarkjo01.html"
"14","Julius Randle","https://www.basketball-reference.com/players/r/randlju01.html"
"15","K.J. McDaniels","https://www.basketball-reference.com/players/m/mcdankj01.html"
"16","Kyle Anderson","https://www.basketball-reference.com/players/a/anderky01.html"
"17","Marcus Smart","https://www.basketball-reference.com/players/s/smartma01.html"
"18","Nik Stauskas","https://www.basketball-reference.com/players/s/stausni01.html"
"19","Noah Vonleh","https://www.basketball-reference.com/players/v/vonleno01.html"
"20","Rodney Hood","https://www.basketball-reference.com/players/h/hoodro01.html"
"21","Shabazz Napier","https://www.basketball-reference.com/players/n/napiesh01.html"
"22","Spencer Dinwiddie","https://www.basketball-reference.com/players/d/dinwisp01.html"
"23","T.J. Warren","https://www.basketball-reference.com/players/w/warretj01.html"
"24","Tyler Ennis","https://www.basketball-reference.com/players/e/ennisty01.html"
"25","Zach LaVine","https://www.basketball-reference.com/players/l/lavinza01.html"
