"","pk","Player","Yr","Yrs","allstar","PC1","College","rank","Class","Pos","School","G","MP","TRB","AST","STL","BLK","TOV","PF","PTS","FG.","X2P.","X3P.","FT.","PPG","RPG","APG","SPG","BPG","Year"
"1",1,"Kevin Durant",2007,12,10,12.0198040404107,"Texas","Top 3","FR","F","Texas",35,1255,390,46,66,67,99,71,903,0.473,0.505,0.404,0.816,25.8,11.1,1.3,1.9,1.9,2007
"2",3,"Al Horford",2007,13,5,5.33627640779202,"Florida","Top 3","JR","F","Florida",38,1057,360,82,28,70,68,94,502,0.608,0.612,0,0.644,13.2,9.5,2.2,0.7,1.8,2007
"3",4,"Mike Conley",2007,13,0,4.66639237229098,"Ohio State","Top 5","FR","G","Ohio State",39,1231,134,238,87,10,86,60,441,0.518,0.579,0.304,0.694,11.3,3.4,6.1,2.2,0.3,2007
"4",5,"Thaddeus Young",2007,13,0,3.34125972436695,"Georgia Tech","Top 5","FR","F","Georgia Tech",31,917,151,63,39,12,67,61,445,0.478,0.498,0.419,0.743,14.4,4.9,2,1.3,0.4,2007
"5",6,"Joakim Noah",2007,12,2,3.24266421320147,"Florida","Top 10","JR","C","Florida",40,1034,337,90,45,72,100,90,479,0.607,0.606,1,0.663,12,8.4,2.3,1.1,1.8,2007
"6",7,"Jeff Green",2007,12,0,1.51970612293615,"Georgetown","Top 10","JR","F","Georgetown",37,1232,236,117,30,43,96,92,528,0.513,0.559,0.375,0.775,14.3,6.4,3.2,0.8,1.2,2007
"7",8,"Wilson Chandler",2007,12,0,1.46309423004462,"DePaul","Top 10","SO","F","DePaul",34,1078,235,48,22,47,55,96,497,0.45,0.494,0.333,0.654,14.6,6.9,1.4,0.6,1.4,2007
"8",9,"Rodney Stuckey",2007,10,0,1.27378511662192,"Eastern Washington","Top 10","SO","G","Eastern Washington",29,965,135,160,71,9,98,68,712,0.453,0.541,0.267,0.846,24.6,4.7,5.5,2.4,0.3,2007
"9",10,"Carl Landry",2007,9,0,1.02503645251889,"Purdue","Top 10","JR","F","Purdue",34,1035,249,42,40,32,102,99,643,0.597,0.618,0.211,0.726,18.9,7.3,1.2,1.2,0.9,2007
"10",11,"Arron Afflalo",2007,11,0,0.835372080349065,"UCLA","Lottery","JR","G","UCLA",36,1186,99,70,22,8,64,66,608,0.461,0.549,0.375,0.802,16.9,2.8,1.9,0.6,0.2,2007
"11",12,"Spencer Hawes",2007,10,0,0.541602530279567,"Washington","Lottery","FR","C","Washington",31,896,197,60,16,54,78,70,461,0.532,0.533,0.333,0.755,14.9,6.4,1.9,0.5,1.7,2007
"12",13,"Ramon Sessions",2007,11,0,0.0857494960581295,"Nevada","Lottery","JR","G","Nevada",34,1028,161,159,29,7,85,41,417,0.452,0.465,0.38,0.825,12.3,4.7,4.7,0.9,0.2,2007
"13",14,"Corey Brewer",2007,12,0,-0.574394345517372,"Florida","Lottery","JR","F","Florida",37,1053,173,109,69,15,93,72,490,0.475,0.544,0.336,0.723,13.2,4.7,2.9,1.9,0.4,2007
"14",15,"Jared Dudley",2007,13,0,-0.606614158471928,"Boston College","Non-Lottery","SR","F","Boston College",30,1152,248,90,42,10,78,66,571,0.562,0.602,0.443,0.743,19,8.3,3,1.4,0.3,2007
"15",16,"Aaron Brooks",2007,10,0,-0.686966635909978,"Oregon","Non-Lottery","SR","G","Oregon",35,1289,149,149,48,6,89,88,621,0.46,0.502,0.404,0.846,17.7,4.3,4.3,1.4,0.2,2007
"16",17,"Nick Young",2007,12,0,-1.08460026983468,"USC","Non-Lottery","JR","F","Southern California",37,1227,171,50,27,10,90,92,647,0.525,0.549,0.44,0.786,17.5,4.6,1.4,0.7,0.3,2007
"17",20,"Al Thornton",2007,4,0,-1.21337570816098,"Florida State","Non-Lottery","SR","G","Florida State",35,1092,251,24,53,40,87,95,690,0.53,0.549,0.444,0.79,19.7,7.2,0.7,1.5,1.1,2007
"18",21,"Glen Davis",2007,8,0,-1.43197575173934,"LSU","Non-Lottery","JR","F","Louisiana State",29,1016,303,66,32,28,82,67,512,0.484,0.505,0.347,0.713,17.7,10.4,2.3,1.1,1,2007
"19",22,"Brandan Wright",2007,10,0,-1.60474782037863,"UNC","Non-Lottery","FR","F","North Carolina",37,1013,229,37,36,65,59,55,545,0.646,0.646,0,0.567,14.7,6.2,1,1,1.8,2007
"20",24,"Josh McRoberts",2007,11,0,-2.68770009619397,"Duke","Non-Lottery","SO","F","Duke",33,1164,260,114,39,82,80,83,430,0.502,0.523,0.217,0.664,13,7.9,3.5,1.2,2.5,2007
"21",25,"Jason Smith",2007,11,0,-2.93608102318632,"Colorado State","Non-Lottery","JR","F","Colorado State",30,905,304,58,16,47,102,94,504,0.579,0.585,0,0.77,16.8,10.1,1.9,0.5,1.6,2007
"22",27,"Daequan Cook",2007,6,0,-5.07142252772448,"Ohio State","Non-Lottery","FR","G","Ohio State",39,770,167,40,28,10,56,66,382,0.445,0.465,0.415,0.697,9.8,4.3,1,0.7,0.3,2007
"23",28,"Julian Wright",2007,4,0,-5.79521352648329,"Kansas","Non-Lottery","SO","F","Kansas",38,1048,298,82,55,49,91,94,456,0.549,0.562,0.231,0.613,12,7.8,2.2,1.4,1.3,2007
"24",29,"Aaron Gray",2007,7,0,-5.85394351330632,"Pitt","Non-Lottery","SR","C","Pittsburgh",36,1016,341,61,15,62,55,91,499,0.565,0.565,0,0.548,13.9,9.5,1.7,0.4,1.7,2007
"25",30,"Dominic McGuire",2007,6,0,-6.26779599046266,"Fresno State","Non-Lottery","JR","G","Fresno State",32,1054,314,104,28,114,119,91,432,0.471,0.516,0.299,0.586,13.5,9.8,3.3,0.9,3.6,2007
