"","namePlayerBREF","urlPlayerBioBREF"
"1","Al-Farouq Aminu","https://www.basketball-reference.com/players/a/aminual01.html"
"2","Avery Bradley","https://www.basketball-reference.com/players/b/bradlav01.html"
"3","Cole Aldrich","https://www.basketball-reference.com/players/a/aldrico01.html"
"4","DeMarcus Cousins","https://www.basketball-reference.com/players/c/couside01.html"
"5","Derrick Favors","https://www.basketball-reference.com/players/f/favorde01.html"
"6","Ed Davis","https://www.basketball-reference.com/players/d/davised01.html"
"7","Ekpe Udoh","https://www.basketball-reference.com/players/u/udohek01.html"
"8","Elliot Williams","https://www.basketball-reference.com/players/w/williel01.html"
"9","Eric Bledsoe","https://www.basketball-reference.com/players/b/bledser01.html"
"10","Evan Turner","https://www.basketball-reference.com/players/t/turneev01.html"
"11","Gordon Hayward","https://www.basketball-reference.com/players/h/haywago01.html"
"12","Greg Monroe","https://www.basketball-reference.com/players/m/monrogr01.html"
"13","Greivis Vasquez","https://www.basketball-reference.com/players/v/vasqugr01.html"
"14","Hassan Whiteside","https://www.basketball-reference.com/players/w/whiteha01.html"
"15","James Anderson","https://www.basketball-reference.com/players/a/anderja01.html"
"16","Jeremy Evans","https://www.basketball-reference.com/players/e/evansje01.html"
"17","John Wall","https://www.basketball-reference.com/players/w/walljo01.html"
"18","John Wallace","https://www.basketball-reference.com/players/w/wallajo01.html"
"19","Jordan Crawford","https://www.basketball-reference.com/players/c/crawfjo02.html"
"20","Kevin Seraphin","https://www.basketball-reference.com/players/s/serapke01.html"
"21","Lance Stephenson","https://www.basketball-reference.com/players/s/stephla01.html"
"22","Landry Fields","https://www.basketball-reference.com/players/f/fieldla01.html"
"23","Larry Sanders","https://www.basketball-reference.com/players/s/sandela01.html"
"24","Luke Babbitt","https://www.basketball-reference.com/players/b/babbilu01.html"
"25","Nemanja Bjelica","https://www.basketball-reference.com/players/b/bjeline01.html"
"26","Patrick Patterson","https://www.basketball-reference.com/players/p/pattepa01.html"
"27","Paul George","https://www.basketball-reference.com/players/g/georgpa01.html"
"28","Quincy Pondexter","https://www.basketball-reference.com/players/p/pondequ01.html"
"29","Trevor Booker","https://www.basketball-reference.com/players/b/booketr01.html"
"30","Wesley Johnson","https://www.basketball-reference.com/players/j/johnswe01.html"
"31","Xavier Henry","https://www.basketball-reference.com/players/h/henryxa01.html"
