"","Player","Class","Pos","School","G","MP","TRB","AST","STL","BLK","TOV","PF","PTS","FG.","X2P.","X3P.","FT.","PPG","RPG","APG","SPG","BPG","PER","WS","BPM","Year"
"257","Jarron Collins","FR","F","Stanford","34","0","119","18","17","1","0","0","128","0.53","0.551","0.2","0.609","3.8","3.5","0.5","0.5","0","0","1.6","0",1998
"258","Jason Collins","FR","C","Stanford","1","0","6","0","0","0","0","0","7","0.25","0.25","0","0.714","7","6","0","0","0","0","0","0",1998
"259","Baron Davis","FR","G","UCLA","32","0","129","161","77","12","0","0","373","0.529","0.624","0.308","0.676","11.7","4","5","2.4","0.4","0","3.2","0",1998
"260","Dan Dickau","FR","G","Washington","28","0","24","29","9","0","0","0","105","0.42","0.333","0.533","0.795","3.8","0.9","1","0.3","0","0","0.8","0",1998
"261","Michael Dickerson","SR","F","Arizona","35","988","156","62","38","8","76","79","630","0.51","0.554","0.404","0.758","18","4.5","1.8","1.1","0.2","0","5","0",1998
"262","Francisco Elson","JR","C","University of California","26","0","126","14","19","25","0","0","136","0.431","0.431","0","0.612","5.2","4.8","0.5","0.7","1","0","1.4","0",1998
"263","Eddie House","SO","G","Arizona State","32","955","96","93","64","6","0","0","363","0.432","0.454","0.401","0.759","11.3","3","2.9","2","0.2","0","1.6","0",1998
"264","Mark Madsen","SO","F","Stanford","27","0","220","20","11","11","0","0","315","0.589","0.592","0","0.629","11.7","8.1","0.7","0.4","0.4","0","3.7","0",1998
"265","Jason Terry","JR","G","Arizona","35","797","84","149","61","8","76","55","371","0.422","0.534","0.347","0.827","10.6","2.4","4.3","1.7","0.2","0","3.4","0",1998
"266","Earl Watson","FR","G","UCLA","33","0","122","104","64","12","0","0","191","0.392","0.436","0.323","0.606","5.8","3.7","3.2","1.9","0.4","0","1.1","0",1998
"267","Jumaine Jones","FR","F","Georgia","35","0","299","30","30","19","0","0","515","0.453","0.495","0.355","0.785","14.7","8.5","0.9","0.9","0.5","0","4.4","0",1998
