"","Player","Class","Pos","School","G","MP","TRB","AST","STL","BLK","TOV","PF","PTS","FG.","X2P.","X3P.","FT.","PPG","RPG","APG","SPG","BPG","PER","WS","BPM","Year"
"371","Jamal Crawford","FR","G","Michigan","17","577","47","76","19","16","53","19","283","0.412","0.468","0.327","0.784","16.6","2.8","4.5","1.1","0.9","0","0.9","0",2000
"372","Morris Peterson","SR","F","Michigan State","39","1136","235","49","46","11","84","79","657","0.465","0.494","0.425","0.773","16.8","6","1.3","1.2","0.3","0","7.4","0",2000
"373","Joel Przybilla","SO","C","Minnesota","21","638","176","50","17","81","77","61","299","0.613","0.613","0","0.495","14.2","8.4","2.4","0.8","3.9","0","3.2","0",2000
"374","Michael Redd","JR","G","Ohio State","30","1004","196","62","37","6","62","56","518","0.436","0.474","0.315","0.776","17.3","6.5","2.1","1.2","0.2","0","4","0",2000
"375","Jason Richardson","FR","G","Michigan State","37","582","153","23","20","6","38","56","189","0.503","0.546","0.296","0.548","5.1","4.1","0.6","0.5","0.2","0","2.4","0",2000
"376","Jason Smith","JR","G","Iowa","19","0","6","3","6","0","0","0","11","0.364","0.5","0","0.375","0.6","0.3","0.2","0.3","0","0","0","0",2000
"377","Gilbert Arenas","FR","G","Arizona","34","1093","138","71","71","9","87","83","523","0.453","0.527","0.292","0.75","15.4","4.1","2.1","2.1","0.3","0","4.3","0",2000
"378","Matt Barnes","SO","F","UCLA","28","413","74","29","19","11","36","37","156","0.471","0.566","0.156","0.488","5.6","2.6","1","0.7","0.4","0","1","0",2000
"379","Jarron Collins","JR","F","Stanford","31","850","201","53","19","24","46","76","342","0.485","0.489","0.25","0.72","11","6.5","1.7","0.6","0.8","0","4.4","0",2000
"380","Jason Collins","FR","C","Stanford","31","607","190","2","5","43","50","71","256","0.622","0.627","0","0.662","8.3","6.1","0.1","0.2","1.4","0","4.7","0",2000
"381","Dan Gadzuric","SO","C","UCLA","33","740","136","17","21","52","60","87","319","0.565","0.565","0","0.386","9.7","4.1","0.5","0.6","1.6","0","2.9","0",2000
"382","Eddie House","SR","G","Arizona State","32","1189","175","111","74","2","72","66","736","0.422","0.449","0.365","0.835","23","5.5","3.5","2.3","0.1","0","4.5","0",2000
"383","Casey Jacobsen","FR","G","Stanford","31","883","93","70","14","1","55","40","449","0.466","0.508","0.435","0.713","14.5","3","2.3","0.5","0","0","4.7","0",2000
"384","Richard Jefferson","SO","F","Arizona","21","495","92","58","6","24","55","53","230","0.503","0.528","0.425","0.714","11","4.4","2.8","0.3","1.1","0","2.6","0",2000
"385","Fred Jones","SO","G","Oregon","30","857","177","99","30","21","72","66","291","0.402","0.5","0.271","0.765","9.7","5.9","3.3","1","0.7","0","2.6","0",2000
"386","James Jones","","","Oregon State","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2000
"387","Jason Kapono","FR","F","UCLA","33","1080","144","64","34","2","81","82","529","0.519","0.559","0.474","0.684","16","4.4","1.9","1","0.1","0","5.1","0",2000
"388","Mark Madsen","SR","F","Stanford","23","628","214","25","13","21","34","52","281","0.587","0.587","0","0.575","12.2","9.3","1.1","0.6","0.9","0","4.2","0",2000
"389","Brian Scalabrine","JR","C","Southern California","30","1052","180","85","36","25","110","78","534","0.531","0.556","0.403","0.715","17.8","6","2.8","1.2","0.8","0","4.8","0",2000
"390","Luke Walton","FR","F","Arizona","34","868","138","131","36","21","79","65","193","0.353","0.419","0.2","0.712","5.7","4.1","3.9","1.1","0.6","0","1.9","0",2000
"391","Earl Watson","JR","G","UCLA","33","1146","129","195","60","15","102","92","376","0.451","0.505","0.36","0.649","11.4","3.9","5.9","1.8","0.5","0","3.4","0",2000
"392","Loren Woods","JR","C","Arizona","26","820","194","38","21","102","56","50","405","0.538","0.542","0","0.758","15.6","7.5","1.5","0.8","3.9","0","5.7","0",2000
"393","Keith Bogans","FR","G","Kentucky","33","917","119","57","47","1","80","57","411","0.407","0.514","0.293","0.644","12.5","3.6","1.7","1.4","0","0","3.1","0",2000
"394","Matt Bonner","FR","F","Florida","36","485","115","15","11","9","0","0","174","0.44","0.532","0.286","0.867","4.8","3.2","0.4","0.3","0.3","0","1.6","0",2000
"395","Donnell Harvey","FR","C","Florida","37","746","258","37","27","31","60","101","374","0.507","0.509","0","0.61","10.1","7","1","0.7","0.8","0","4","0",2000
"396","Joe Johnson","FR","F","Arkansas","23","732","132","50","45","12","62","44","368","0.464","0.496","0.368","0.759","16","5.7","2.2","2","0.5","0","3.3","0",2000
"397","Jamaal Magloire","SR","C","Kentucky","33","978","300","18","17","57","95","91","435","0.5","0.5","0","0.685","13.2","9.1","0.5","0.5","1.7","0","5.6","0",2000
"398","Mike Miller","SO","F","Florida","37","1058","243","91","46","15","71","70","521","0.476","0.559","0.338","0.729","14.1","6.6","2.5","1.2","0.4","0","5.4","0",2000
"399","Tayshaun Prince","SO","F","Kentucky","32","1087","192","58","27","41","64","54","426","0.423","0.505","0.307","0.705","13.3","6","1.8","0.8","1.3","0","4.2","0",2000
"400","Stromile Swift","SO","F","Louisiana State","34","1013","279","32","50","95","80","88","550","0.608","0.634","0.28","0.617","16.2","8.2","0.9","1.5","2.8","0","8.5","0",2000
"401","Courtney Alexander","SR","G","Fresno State","27","974","128","94","37","4","67","61","669","0.447","0.499","0.331","0.781","24.8","4.7","3.5","1.4","0.1","0","3","0",2000
"402","Melvin Ely","JR","C","Fresno State","31","1035","216","27","23","92","65","96","411","0.606","0.606","0","0.662","13.3","7","0.9","0.7","3","0","4.5","0",2000
"403","Shane Battier","SR","F","Duke","39","1363","285","72","82","88","60","80","778","0.471","0.536","0.419","0.796","19.9","7.3","1.8","2.1","2.3","0","10.1","0",2001
"404","Steve Blake","SO","G","Maryland","36","1036","108","248","57","7","111","83","248","0.399","0.404","0.394","0.714","6.9","3","6.9","1.6","0.2","0","2.9","0",2001
"405","Carlos Boozer","SO","C","Duke","32","820","208","40","28","28","38","91","425","0.604","0.604","0","0.719","13.3","6.5","1.3","0.9","0.9","0","5.2","0",2001
"406","Juan Dixon","JR","G","Maryland","36","1098","153","93","95","8","86","75","654","0.483","0.517","0.411","0.865","18.2","4.3","2.6","2.6","0.2","0","6","0",2001
"407","Chris Duhon","FR","G","Duke","39","1085","124","174","77","1","61","65","280","0.424","0.505","0.361","0.65","7.2","3.2","4.5","2","0","0","3.4","0",2001
"408","Mike Dunleavy","SO","F","Duke","39","1137","222","103","53","15","80","81","493","0.474","0.54","0.373","0.694","12.6","5.7","2.6","1.4","0.4","0","4.9","0",2001
"409","Brendan Haywood","SR","C","North Carolina","33","901","242","42","18","120","66","97","405","0.592","0.592","0","0.516","12.3","7.3","1.3","0.5","3.6","0","5.4","0",2001
"410","Josh Howard","SO","F","Wake Forest","29","790","171","52","58","32","65","91","393","0.49","0.508","0.391","0.685","13.6","5.9","1.8","2","1.1","0","4.7","0",2001
"411","Roger Mason","SO","","Virginia","29","928","107","72","33","14","66","76","456","0.476","0.491","0.442","0.884","15.7","3.7","2.5","1.1","0.5","0","4.4","0",2001
"412","Darius Songaila","JR","F","Wake Forest","30","766","181","51","26","22","73","98","396","0.5","0.502","0.444","0.816","13.2","6","1.7","0.9","0.7","0","4.2","0",2001
"413","Chris Wilcox","FR","C","Maryland","34","294","73","16","6","18","19","44","122","0.58","0.58","0","0.606","3.6","2.1","0.5","0.2","0.5","0","1.5","0",2001
"414","Nick Collison","SO","F","Kansas","33","892","222","71","36","54","91","113","461","0.597","0.601","0.4","0.625","14","6.7","2.2","1.1","1.6","0","5.7","0",2001
"415","Drew Gooden","SO","F","Kansas","28","761","234","47","15","29","72","76","441","0.516","0.519","0.4","0.648","15.8","8.4","1.7","0.5","1","0","3.8","0",2001
"416","Kirk Hinrich","SO","G","Kansas","33","1079","134","229","43","9","111","107","378","0.5","0.496","0.505","0.843","11.5","4.1","6.9","1.3","0.3","0","5.2","0",2001
"417","Royal Ivey","FR","G","Texas","33","520","54","57","24","5","44","71","94","0.365","0.384","0.25","0.659","2.8","1.6","1.7","0.7","0.2","0","1.1","0",2001
"418","Kareem Rush","SO","F","Missouri","26","796","174","51","34","21","87","63","549","0.442","0.439","0.448","0.8","21.1","6.7","2","1.3","0.8","0","4.1","0",2001
"419","Jamaal Tinsley","SR","G","Iowa State","31","999","117","187","79","19","117","92","443","0.399","0.406","0.381","0.692","14.3","3.8","6","2.5","0.6","0","4","0",2001
"420","Caron Butler","FR","F","Connecticut","29","950","221","89","63","9","70","76","445","0.435","0.455","0.304","0.754","15.3","7.6","3.1","2.2","0.3","0","3.6","0",2001
"421","Samuel Dalembert","SO","C","Seton Hall","29","622","166","9","14","60","55","95","240","0.565","0.565","0","0.556","8.3","5.7","0.3","0.5","2.1","0","2.9","0",2001
"422","Eddie Griffin","FR","F","Seton Hall","30","979","323","49","26","133","67","71","533","0.429","0.469","0.32","0.734","17.8","10.8","1.6","0.9","4.4","0","4.6","0",2001
"423","James Jones","SO","F","Miami (FL)","29","922","170","34","34","46","55","65","345","0.428","0.409","0.471","0.811","11.9","5.9","1.2","1.2","1.6","0","3.8","0",2001
"424","Troy Murphy","JR","F","Notre Dame","30","1090","277","62","27","50","90","96","653","0.471","0.499","0.349","0.766","21.8","9.2","2.1","0.9","1.7","0","5.5","0",2001
"425","John Salmons","JR","G","Miami (FL)","29","928","173","115","57","18","83","77","387","0.474","0.514","0.352","0.793","13.3","6","4","2","0.6","0","4.4","0",2001
"426","Travis Best","JR","G","Purdue","20","84","12","9","0","0","7","2","14","0.182","0","0.333","0.615","0.7","0.6","0.5","0","0","0","0","0",2001
"427","Jared Jeffries","FR","F","Indiana","34","1108","234","82","31","42","100","100","469","0.442","0.472","0.245","0.62","13.8","6.9","2.4","0.9","1.2","0","3.9","0",2001
"428","Zach Randolph","FR","C","Michigan State","33","654","221","34","24","22","53","60","356","0.587","0.59","0","0.635","10.8","6.7","1","0.7","0.7","0","5.1","0",2001
"429","Jason Richardson","SO","G","Michigan State","33","940","195","73","38","28","42","74","486","0.503","0.554","0.402","0.689","14.7","5.9","2.2","1.2","0.8","0","6.3","0",2001
"430","Bernard Robinson","FR","F","Michigan","28","813","136","63","33","4","93","67","404","0.467","0.509","0.346","0.802","14.4","4.9","2.3","1.2","0.1","0","2","0",2001
"431","Jason Smith","SR","G","Iowa","19","0","16","6","2","0","5","7","28","0.545","0.5","0.667","0.778","1.5","0.8","0.3","0.1","0","0","0.4","0",2001
"432","Steven Hunter","SO","C","DePaul","30","808","169","15","5","72","44","70","343","0.592","0.592","0","0.536","11.4","5.6","0.5","0.2","2.4","0","3.5","0",2001
"433","Bobby Simmons","JR","F","DePaul","29","981","248","72","23","4","60","97","483","0.447","0.524","0.37","0.8","16.7","8.6","2.5","0.8","0.1","0","3.9","0",2001
"434","Rodney White","FR","F","Charlotte","28","865","182","41","34","20","82","73","523","0.487","0.533","0.347","0.713","18.7","6.5","1.5","1.2","0.7","0","4.4","0",2001
"435","Trenton Hassell","SR","F","Austin Peay","32","1213","249","144","39","15","121","67","693","0.485","0.52","0.39","0.796","21.7","7.8","4.5","1.2","0.5","0","4.5","0",2001
"436","Ryan Kelly","FR","F","Eastern Illinois","29","0","41","10","5","7","12","57","40","0.519","0.538","0","0.522","1.4","1.4","0.3","0.2","0.2","0","0.3","0",2001
"437","Gilbert Arenas","SO","G","Arizona","36","1044","131","84","65","7","101","82","582","0.479","0.519","0.416","0.724","16.2","3.6","2.3","1.8","0.2","0","5.5","0",2001
"438","Matt Barnes","JR","F","UCLA","32","971","232","85","51","19","87","103","372","0.478","0.511","0.12","0.574","11.6","7.3","2.7","1.6","0.6","0","2.9","0",2001
"439","Sterling Brown","FR","G","Washington","18","0","13","6","0","0","5","7","27","0.37","0.368","0.375","0.444","1.5","0.7","0.3","0","0","0","0","0",2001
"440","Jarron Collins","SR","F","Stanford","34","963","229","47","21","19","50","86","435","0.558","0.563","0.333","0.687","12.8","6.7","1.4","0.6","0.6","0","4.8","0",2001
"441","Jason Collins","JR","C","Stanford","34","895","265","51","28","43","53","79","493","0.62","0.637","0.462","0.784","14.5","7.8","1.5","0.8","1.3","0","7.5","0",2001
"442","Dan Gadzuric","JR","C","UCLA","32","861","275","18","22","60","66","98","375","0.534","0.534","0","0.453","11.7","8.6","0.6","0.7","1.9","0","3.7","0",2001
"443","Casey Jacobsen","SO","G","Stanford","34","1079","136","78","18","3","65","38","616","0.508","0.536","0.472","0.813","18.1","4","2.3","0.5","0.1","0","6","0",2001
"444","Richard Jefferson","JR","F","Arizona","35","961","190","94","27","28","104","98","397","0.479","0.535","0.344","0.655","11.3","5.4","2.7","0.8","0.8","0","4.4","0",2001
"445","Fred Jones","JR","G","Oregon","28","892","157","95","32","13","83","81","413","0.472","0.572","0.306","0.806","14.8","5.6","3.4","1.1","0.5","0","3.1","0",2001
"446","Jason Kapono","SO","F","UCLA","32","1122","183","72","38","4","81","82","551","0.441","0.426","0.457","0.869","17.2","5.7","2.3","1.2","0.1","0","4.8","0",2001
"447","Luke Ridnour","FR","G","Oregon","28","848","70","106","29","4","67","59","208","0.339","0.4","0.293","0.792","7.4","2.5","3.8","1","0.1","0","0.9","0",2001
"448","Brian Scalabrine","SR","C","Southern California","34","1116","202","96","30","31","104","89","499","0.478","0.517","0.303","0.801","14.7","5.9","2.8","0.9","0.9","0","4.3","0",2001
"449","Luke Walton","SO","F","Arizona","36","736","140","115","39","11","61","54","198","0.42","0.481","0.22","0.672","5.5","3.9","3.2","1.1","0.3","0","2.4","0",2001
"450","Earl Watson","SR","G","UCLA","32","1115","117","166","62","11","108","100","471","0.493","0.556","0.352","0.636","14.7","3.7","5.2","1.9","0.3","0","4","0",2001
"451","Loren Woods","SR","C","Arizona","29","879","189","62","19","84","59","64","384","0.504","0.506","0.333","0.83","13.2","6.5","2.1","0.7","2.9","0","6.1","0",2001
"452","Keith Bogans","SO","G","Kentucky","34","1050","158","80","34","8","89","76","577","0.473","0.569","0.361","0.697","17","4.6","2.4","1","0.2","0","4.4","0",2001
"453","Matt Bonner","SO","F","Florida","31","883","238","46","25","13","51","66","411","0.514","0.588","0.381","0.664","13.3","7.7","1.5","0.8","0.4","0","4.3","0",2001
"454","Joe Johnson","SO","F","Arkansas","30","873","193","77","43","12","70","46","427","0.468","0.476","0.443","0.747","14.2","6.4","2.6","1.4","0.4","0","4.1","0",2001
"455","Tayshaun Prince","JR","F","Kentucky","34","1117","221","99","24","37","58","56","575","0.495","0.598","0.358","0.843","16.9","6.5","2.9","0.7","1.1","0","5.9","0",2001
"456","Gerald Wallace","FR","","Alabama","36","824","216","55","42","37","86","87","351","0.438","0.511","0.175","0.568","9.8","6","1.5","1.2","1","0","3.5","0",2001
"457","Steve Blake","JR","G","Maryland","36","1153","137","286","56","16","116","72","287","0.382","0.427","0.344","0.824","8","3.8","7.9","1.6","0.4","0","3.5","0",2002
"458","Carlos Boozer","JR","C","Duke","35","993","303","38","31","21","65","107","638","0.665","0.667","0","0.754","18.2","8.7","1.1","0.9","0.6","0","8.5","0",2002
"459","Juan Dixon","SR","G","Maryland","36","1209","166","104","92","7","89","72","735","0.469","0.525","0.397","0.898","20.4","4.6","2.9","2.6","0.2","0","6.8","0",2002
"460","Chris Duhon","SO","G","Duke","35","1229","109","208","81","3","92","68","313","0.41","0.541","0.34","0.711","8.9","3.1","5.9","2.3","0.1","0","3.9","0",2002
"461","Mike Dunleavy","JR","F","Duke","35","1133","251","72","80","26","61","79","605","0.483","0.596","0.378","0.681","17.3","7.2","2.1","2.3","0.7","0","7.2","0",2002
"462","Josh Howard","JR","F","Wake Forest","31","848","240","64","49","30","67","90","431","0.504","0.558","0.329","0.657","13.9","7.7","2.1","1.6","1","0","3.3","0",2002
"463","Dahntay Jones","JR","F","Duke","35","1011","146","40","29","17","58","101","392","0.505","0.562","0.231","0.725","11.2","4.2","1.1","0.8","0.5","0","3.7","0",2002
"464","Roger Mason","JR","","Virginia","29","1046","93","119","27","12","86","64","538","0.409","0.463","0.367","0.881","18.6","3.2","4.1","0.9","0.4","0","3.9","0",2002
"465","Darius Songaila","SR","F","Wake Forest","34","1036","276","89","45","27","119","104","607","0.523","0.529","0.375","0.854","17.9","8.1","2.6","1.3","0.8","0","5.2","0",2002
"466","Chris Wilcox","SO","C","Maryland","36","866","257","53","28","53","53","97","432","0.504","0.507","0","0.585","12","7.1","1.5","0.8","1.5","0","4","0",2002
"467","Rasual Butler","SR","F","La Salle","32","1252","283","44","41","43","84","55","670","0.434","0.464","0.361","0.855","20.9","8.8","1.4","1.3","1.3","0","5.5","0",2002
"468","Jameer Nelson","SO","G","Saint Joseph's","30","1064","144","188","40","1","89","67","432","0.438","0.497","0.359","0.762","14.4","4.8","6.3","1.3","0","0","3.3","0",2002
"469","Jason Smith","SR","F","George Washington","28","899","218","19","26","62","52","87","267","0.464","0.464","0","0.676","9.5","7.8","0.7","0.9","2.2","0","1.8","0",2002
"470","David West","JR","F","Xavier","32","1094","313","50","38","80","99","85","586","0.536","0.553","0.321","0.768","18.3","9.8","1.6","1.2","2.5","0","8.8","0",2002
"471","Delonte West","FR","G","Saint Joseph's","31","526","92","36","25","4","29","50","182","0.469","0.51","0.118","0.667","5.9","3","1.2","0.8","0.1","0","1.1","0",2002
"472","Eric Williams","SR","F","Massachusetts","29","532","137","28","16","4","54","52","166","0.455","0.494","0.388","0.781","5.7","4.7","1","0.6","0.1","0","1.7","0",2002
"473","Nick Collison","JR","F","Kansas","37","990","307","64","39","83","93","108","577","0.592","0.596","0.375","0.575","15.6","8.3","1.7","1.1","2.2","0","6.6","0",2002
"474","T.J. Ford","FR","G","Texas","33","1068","125","273","72","4","131","91","358","0.413","0.445","0.152","0.775","10.8","3.8","8.3","2.2","0.1","0","3.1","0",2002
"475","Drew Gooden","JR","F","Kansas","37","1119","423","73","65","53","108","91","734","0.504","0.519","0.278","0.755","19.8","11.4","2","1.8","1.4","0","6.6","0",2002
"476","Kirk Hinrich","JR","G","Kansas","37","1142","177","186","59","15","99","95","546","0.541","0.579","0.478","0.808","14.8","4.8","5","1.6","0.4","0","6.1","0",2002
"477","Royal Ivey","SO","G","Texas","34","962","120","48","28","8","56","105","370","0.475","0.507","0.377","0.78","10.9","3.5","1.4","0.8","0.2","0","2.9","0",2002
"478","Kareem Rush","JR","F","Missouri","36","1149","188","89","39","22","103","76","712","0.426","0.444","0.405","0.769","19.8","5.2","2.5","1.1","0.6","0","4.7","0",2002
"479","Caron Butler","SO","F","Connecticut","34","1223","256","101","71","13","98","75","691","0.486","0.5","0.4","0.779","20.3","7.5","3","2.1","0.4","0","5.7","0",2002
"480","Ryan Gomes","FR","F","Providence","24","756","188","37","33","16","37","63","332","0.559","0.567","0","0.613","13.8","7.8","1.5","1.4","0.7","0","3.6","0",2002
"481","Ben Gordon","FR","G","Connecticut","34","844","93","105","34","6","81","80","427","0.444","0.473","0.413","0.726","12.6","2.7","3.1","1","0.2","0","3.5","0",2002
"482","James Jones","JR","F","Miami (FL)","32","1048","203","48","43","78","52","78","410","0.401","0.441","0.314","0.841","12.8","6.3","1.5","1.3","2.4","0","4.3","0",2002
"483","Emeka Okafor","FR","C","Connecticut","34","1021","306","27","26","138","47","88","267","0.59","0.59","0","0.62","7.9","9","0.8","0.8","4.1","0","5.3","0",2002
"484","John Salmons","SR","G","Miami (FL)","32","1077","191","195","57","20","119","75","419","0.461","0.509","0.31","0.842","13.1","6","6.1","1.8","0.6","0","4.9","0",2002
"485","Hakim Warrick","FR","F","Syracuse","35","609","168","18","20","22","40","71","214","0.552","0.553","0.5","0.383","6.1","4.8","0.5","0.6","0.6","0","2.4","0",2002
"486","Devin Harris","FR","G","Wisconsin","32","1094","105","56","43","18","53","68","394","0.413","0.475","0.366","0.777","12.3","3.3","1.8","1.3","0.6","0","3.8","0",2002
"487","Luther Head","FR","G","Illinois","35","581","67","59","34","5","43","55","156","0.508","0.681","0.291","0.56","4.5","1.9","1.7","1","0.1","0","1.7","0",2002
"488","Jared Jeffries","SO","F","Indiana","36","1175","273","74","54","46","102","88","539","0.457","0.472","0.38","0.667","15","7.6","2.1","1.5","1.3","0","5","0",2002
"489","Bernard Robinson","SO","F","Michigan","29","825","132","71","34","14","64","77","351","0.409","0.437","0.245","0.855","12.1","4.6","2.4","1.2","0.5","0","1","0",2002
"490","Jason Maxiell","FR","F","Cincinnati","35","732","237","3","24","52","26","91","282","0.552","0.552","0","0.585","8.1","6.8","0.1","0.7","1.5","0","6","0",2002
"491","Dwyane Wade","SO","G","Marquette","32","935","211","110","79","36","96","80","571","0.487","0.505","0.346","0.69","17.8","6.6","3.4","2.5","1.1","0","6.8","0",2002
"492","Dajuan Wagner","FR","G","Memphis","36","1146","89","128","43","20","105","101","762","0.41","0.453","0.317","0.722","21.2","2.5","3.6","1.2","0.6","0","4.1","0",2002
"493","Matt Barnes","SR","F","UCLA","31","953","192","108","35","10","87","75","420","0.471","0.495","0.417","0.619","13.5","6.2","3.5","1.1","0.3","0","3","0",2002
"494","Sterling Brown","SO","G","Washington","14","68","11","7","4","0","3","16","27","0.526","0.7","0.333","0.667","1.9","0.8","0.5","0.3","0","0","0.2","0",2002
"495","Josh Childress","FR","F","Stanford","30","645","144","24","18","12","34","55","235","0.402","0.468","0.275","0.694","7.8","4.8","0.8","0.6","0.4","0","1.3","0",2002
"496","Channing Frye","FR","C","Arizona","34","814","214","25","16","50","47","99","324","0.595","0.595","0","0.727","9.5","6.3","0.7","0.5","1.5","0","3.7","0",2002
"497","Dan Gadzuric","SR","C","UCLA","33","865","255","23","18","42","52","89","386","0.554","0.556","0","0.472","11.7","7.7","0.7","0.5","1.3","0","3","0",2002
"498","Casey Jacobsen","JR","G","Stanford","30","1058","135","106","18","3","73","55","658","0.441","0.481","0.372","0.776","21.9","4.5","3.5","0.6","0.1","0","4.4","0",2002
"499","Fred Jones","SR","G","Oregon","35","1103","189","111","63","18","82","94","650","0.521","0.594","0.372","0.871","18.6","5.4","3.2","1.8","0.5","0","6.6","0",2002
"500","Jason Kapono","JR","F","UCLA","33","1142","169","70","19","2","63","65","528","0.459","0.466","0.453","0.856","16","5.1","2.1","0.6","0.1","0","4.3","0",2002
"501","Luke Ridnour","SO","G","Oregon","35","1209","103","176","58","4","107","62","542","0.468","0.507","0.441","0.867","15.5","2.9","5","1.7","0.1","0","5.3","0",2002
"502","Luke Walton","JR","F","Arizona","31","1138","227","194","50","19","118","61","487","0.47","0.506","0.283","0.682","15.7","7.3","6.3","1.6","0.6","0","3.4","0",2002
"503","Keith Bogans","JR","G","Kentucky","32","878","137","79","31","2","57","71","371","0.394","0.475","0.315","0.67","11.6","4.3","2.5","1","0.1","0","2.4","0",2002
"504","Matt Bonner","JR","F","Florida","31","876","224","48","23","22","49","59","484","0.513","0.589","0.371","0.796","15.6","7.2","1.5","0.7","0.7","0","5.4","0",2002
"505","Jarvis Hayes","SO","F","Georgia","29","980","152","45","34","14","60","52","538","0.451","0.509","0.327","0.765","18.6","5.2","1.6","1.2","0.5","0","3.2","0",2002
"506","David Lee","FR","F","Florida","31","557","145","32","20","21","53","46","218","0.579","0.579","0","0.549","7","4.7","1","0.6","0.7","0","3","0",2002
"507","Tayshaun Prince","SR","F","Kentucky","32","1067","202","52","34","43","64","51","560","0.467","0.564","0.34","0.703","17.5","6.3","1.6","1.1","1.3","0","5.7","0",2002
"508","Mo Williams","FR","G","Alabama","35","1121","137","159","59","4","103","91","363","0.376","0.448","0.262","0.857","10.4","3.9","4.5","1.7","0.1","0","3.1","0",2002
"509","Melvin Ely","SR","C","Fresno State","28","999","254","50","19","88","73","67","653","0.563","0.564","0","0.735","23.3","9.1","1.8","0.7","3.1","0","6.7","0",2002
"510","Kirk Snyder","SO","G","Nevada","18","494","83","26","12","15","50","42","246","0.377","0.411","0.297","0.625","13.7","4.6","1.4","0.7","0.8","0","1.1","0",2002
"511","Eric Washington","SO","F","San Jose State","8","99","13","3","2","0","9","15","10","0.2","0.25","0","1","1.3","1.6","0.4","0.3","0","0","-0.2","0",2002
"512","Dan Dickau","SR","G","Gonzaga","32","1110","95","149","26","4","92","61","672","0.441","0.419","0.457","0.864","21","3","4.7","0.8","0.1","0","6.5","0",2002
"513","Ronny Turiaf","FR","F","Gonzaga","32","624","161","16","12","26","54","92","235","0.525","0.533","0","0.695","7.3","5","0.5","0.4","0.8","0","3.3","0",2002
"514","Steve Blake","SR","G","Maryland","31","1009","114","221","50","5","99","54","360","0.415","0.413","0.416","0.819","11.6","3.7","7.1","1.6","0.2","0","4.1","0",2003
"515","Chris Bosh","FR","F","Georgia Tech","31","960","278","38","30","67","72","73","485","0.56","0.575","0.478","0.73","15.6","9","1.2","1","2.2","0","6.4","0",2003
"516","Chris Duhon","JR","G","Duke","33","1188","106","212","62","5","98","59","305","0.386","0.493","0.273","0.688","9.2","3.2","6.4","1.9","0.2","0","2.9","0",2003
"517","Raymond Felton","FR","G","North Carolina","35","1240","143","236","56","9","130","92","450","0.398","0.441","0.358","0.693","12.9","4.1","6.7","1.6","0.3","0","3","0",2003
"518","Josh Howard","SR","F","Wake Forest","31","1002","257","59","64","48","82","89","606","0.477","0.528","0.373","0.833","19.5","8.3","1.9","2.1","1.5","0","7","0",2003
"519","Jarrett Jack","FR","G","Georgia Tech","31","984","110","185","51","3","106","67","294","0.455","0.523","0.283","0.703","9.5","3.5","6","1.6","0.1","0","3","0",2003
"520","Dahntay Jones","SR","F","Duke","33","1014","180","29","38","18","63","101","583","0.47","0.498","0.398","0.749","17.7","5.5","0.9","1.2","0.5","0","4.8","0",2003
"521","J.J. Redick","FR","G","Duke","33","1013","81","67","38","2","54","57","495","0.413","0.439","0.399","0.919","15","2.5","2","1.2","0.1","0","4.2","0",2003
"522","Eric Williams","FR","C","Wake Forest","31","624","127","20","23","18","57","96","269","0.547","0.547","0","0.621","8.7","4.1","0.6","0.7","0.6","0","2.7","0",2003
"523","Shelden Williams","FR","F","Duke","33","633","195","15","23","52","60","102","270","0.516","0.519","0","0.645","8.2","5.9","0.5","0.7","1.6","0","3.7","0",2003
"524","Tony Allen","JR","G","Oklahoma State","32","998","173","87","62","24","90","92","461","0.447","0.46","0.395","0.691","14.4","5.4","2.7","1.9","0.8","0","4.5","0",2003
"525","Nick Collison","SR","F","Kansas","38","1232","380","84","44","74","92","95","702","0.554","0.571","0.342","0.635","18.5","10","2.2","1.2","1.9","0","9.1","0",2003
"526","T.J. Ford","SO","G","Texas","33","1110","128","254","66","5","107","83","495","0.401","0.429","0.265","0.82","15","3.9","7.7","2","0.2","0","4.3","0",2003
"527","Kirk Hinrich","SR","G","Kansas","37","1241","139","130","69","16","83","78","641","0.475","0.532","0.406","0.704","17.3","3.8","3.5","1.9","0.4","0","6.3","0",2003
"528","Royal Ivey","JR","G","Texas","33","826","99","54","31","4","44","94","261","0.474","0.537","0.267","0.774","7.9","3","1.6","0.9","0.1","0","2.6","0",2003
"529","Carmelo Anthony","FR","F","Syracuse","35","1274","349","77","55","30","77","77","778","0.453","0.496","0.337","0.706","22.2","10","2.2","1.6","0.9","0","5.8","0",2003
"530","Hilton Armstrong","FR","C","Connecticut","32","346","90","22","8","24","30","61","88","0.545","0.545","0","0.5","2.8","2.8","0.7","0.3","0.8","0","1.3","0",2003
"531","Randy Foye","FR","G","Villanova","31","830","110","90","30","7","110","101","318","0.362","0.389","0.302","0.831","10.3","3.5","2.9","1","0.2","0","1.2","0",2003
"532","Ryan Gomes","SO","F","Providence","32","1152","311","66","55","25","78","70","589","0.537","0.541","0","0.84","18.4","9.7","2.1","1.7","0.8","0","6.3","0",2003
"533","Ben Gordon","SO","G","Connecticut","33","1101","138","156","38","7","113","72","645","0.443","0.46","0.419","0.808","19.5","4.2","4.7","1.2","0.2","0","5.2","0",2003
