,pk,Player,Yr,Yrs,allstar,PC1,College,rank,Class,Pos,School,G,MP,TRB,AST,STL,BLK,TOV,PF,PTS,FG.,X2P.,X3P.,FT.,PPG,RPG,APG,SPG,BPG,Year
1,1,James Harden,2009,11,8,15.3206531,Arizona State,Top 3,SO,G,Arizona State,35,1254,195,148,59,11,118,99,704,0.489,0.564,0.356,0.756,20.1,5.6,4.2,1.7,0.3,2009
2,2,Stephen Curry,2009,11,6,11.0356475,Davidson,Top 3,JR,G,Davidson,34,1145,151,189,86,8,126,81,974,0.454,0.519,0.387,0.876,28.6,4.4,5.6,2.5,0.2,2009
3,3,Blake Griffin,2009,10,6,8.933622648,Oklahoma,Top 3,SO,F,Oklahoma,35,1165,504,80,39,41,116,89,794,0.654,0.659,0.375,0.59,22.7,14.4,2.3,1.1,1.2,2009
4,4,DeMar DeRozan,2009,11,4,7.853115114,USC,Top 5,FR,F,Southern California,35,1168,201,51,31,13,73,73,485,0.523,0.562,0.167,0.646,13.9,5.7,1.5,0.9,0.4,2009
5,5,Jrue Holiday,2009,11,1,5.744894783,UCLA,Top 5,FR,G,UCLA,35,950,132,129,55,18,75,75,296,0.45,0.528,0.307,0.726,8.5,3.8,3.7,1.6,0.5,2009
6,6,Jeff Teague,2009,11,1,4.080920724,Wake Forest,Top 10,SO,G,Wake Forest,31,991,102,110,58,20,104,68,584,0.485,0.502,0.441,0.817,18.8,3.3,3.5,1.9,0.6,2009
7,7,Tyreke Evans,2009,10,0,4.020105793,Memphis,Top 10,FR,G,Memphis,37,1072,198,143,77,29,133,89,632,0.455,0.514,0.274,0.711,17.1,5.4,3.9,2.1,0.8,2009
8,8,Ty Lawson,2009,8,0,3.241276806,UNC,Top 10,JR,G,North Carolina,35,1048,104,230,75,5,66,59,581,0.532,0.56,0.472,0.798,16.6,3,6.6,2.1,0.1,2009
9,11,Darren Collison,2009,10,0,2.445432203,UCLA,Lottery,SR,G,UCLA,35,1103,84,166,57,5,87,53,504,0.509,0.558,0.394,0.897,14.4,2.4,4.7,1.6,0.1,2009
10,12,Taj Gibson,2009,11,0,1.166664943,USC,Lottery,JR,F,Southern California,35,1179,316,44,34,100,72,103,500,0.601,0.601,0,0.659,14.3,9,1.3,1,2.9,2009
11,13,Gerald Henderson,2009,8,0,-0.271711478,Duke,Lottery,JR,G,Duke,37,1098,183,91,46,28,80,63,610,0.45,0.49,0.336,0.761,16.5,4.9,2.5,1.2,0.8,2009
12,14,Patrick Beverley,2009,8,0,-0.357922633,Arkansas,Lottery,SO,G,Arkansas,35,1183,231,84,44,16,69,85,422,0.412,0.449,0.378,0.644,12.1,6.6,2.4,1.3,0.5,2009
13,15,Danny Green,2009,11,0,-0.368168896,UNC,Non-Lottery,SR,F,North Carolina,38,1040,178,104,67,51,63,84,497,0.471,0.517,0.418,0.852,13.1,4.7,2.7,1.8,1.3,2009
14,16,DeMarre Carroll,2009,11,0,-0.385907172,Missouri,Non-Lottery,SR,F,Missouri,38,1064,273,82,59,25,56,84,629,0.558,0.579,0.364,0.634,16.6,7.2,2.2,1.6,0.7,2009
15,17,Marcus Thornton,2009,8,0,-0.393295165,LSU,Non-Lottery,SR,G,Louisiana State,35,1116,192,75,56,13,64,72,739,0.472,0.522,0.388,0.745,21.1,5.5,2.1,1.6,0.4,2009
16,18,James Johnson,2009,11,0,-0.91845834,Wake Forest,Non-Lottery,SO,F,Wake Forest,31,946,264,62,44,48,74,91,465,0.542,0.598,0.319,0.697,15,8.5,2,1.4,1.5,2009
17,19,Patty Mills,2009,11,0,-1.684821509,Saint Mary's,Non-Lottery,SO,G,Saint Mary's (CA),26,867,62,101,57,6,75,43,478,0.402,0.464,0.338,0.859,18.4,2.4,3.9,2.2,0.2,2009
18,20,Jodie Meeks,2009,10,0,-2.023313213,Kentucky,Non-Lottery,JR,G,Kentucky,36,1237,122,63,48,5,96,69,854,0.463,0.521,0.406,0.902,23.7,3.4,1.8,1.3,0.1,2009
19,21,Jordan Hill,2009,8,0,-2.033541094,Arizona,Non-Lottery,JR,F,Arizona,34,1213,375,50,30,58,97,102,621,0.537,0.537,0,0.654,18.3,11,1.5,0.9,1.7,2009
20,23,DeJuan Blair,2009,7,0,-2.63913911,Pitt,Non-Lottery,SO,F,Pittsburgh,35,955,432,42,54,34,44,95,550,0.593,0.593,0,0.605,15.7,12.3,1.2,1.5,1,2009
21,24,Wayne Ellington,2009,11,0,-2.779527219,UNC,Non-Lottery,JR,G,North Carolina,38,1155,186,101,36,6,62,57,602,0.483,0.539,0.417,0.777,15.8,4.9,2.7,0.9,0.2,2009
22,26,Dante Cunningham,2009,10,0,-3.135505878,Villanova,Non-Lottery,SR,F,Villanova,38,1199,284,47,47,47,82,103,612,0.525,0.527,0,0.697,16.1,7.5,1.2,1.2,1.2,2009
23,27,Tyler Hansbrough,2009,7,0,-3.31018582,UNC,Non-Lottery,SR,F,North Carolina,34,1029,276,34,42,12,63,77,704,0.514,0.521,0.391,0.841,20.7,8.1,1,1.2,0.4,2009
24,28,Toney Douglas,2009,8,0,-3.409908167,Florida State,Non-Lottery,SR,G,Florida State,35,1279,137,102,63,15,87,76,751,0.446,0.489,0.385,0.81,21.5,3.9,2.9,1.8,0.4,2009
25,29,Chase Budinger,2009,7,0,-3.474305287,Arizona,Non-Lottery,JR,F,Arizona,35,1317,217,118,50,16,85,65,630,0.48,0.528,0.399,0.801,18,6.2,3.4,1.4,0.5,2009
26,30,Austin Daye,2009,6,0,-5.88209417,Gonzaga,Non-Lottery,SO,F,Gonzaga,34,895,232,37,24,70,73,97,431,0.477,0.494,0.429,0.706,12.7,6.8,1.1,0.7,2.1,2009
