"","pk","Player","Yr","Yrs","allstar","PC1","College","rank","Class","Pos","School","G","MP","TRB","AST","STL","BLK","TOV","PF","PTS","FG.","X2P.","X3P.","FT.","PPG","RPG","APG","SPG","BPG","Year"
"1",2,"Gilbert Arenas",2001,11,3,7.54977544060352,"Arizona","Top 3","SO","G","Arizona",36,1044,131,84,65,7,101,82,582,0.479,0.519,0.416,0.724,16.2,3.6,2.3,1.8,0.2,2001
"2",3,"Zach Randolph",2001,17,2,6.97199909365219,"Michigan State","Top 3","FR","C","Michigan State",33,654,221,34,24,22,53,60,356,0.587,0.59,0,0.635,10.8,6.7,1,0.7,0.7,2001
"3",4,"Joe Johnson",2001,17,7,6.81314582405594,"Arkansas","Top 5","SO","F","Arkansas",30,873,193,77,43,12,70,46,427,0.468,0.476,0.443,0.747,14.2,6.4,2.6,1.4,0.4,2001
"4",6,"Richard Jefferson",2001,17,0,5.19905190430984,"Arizona","Top 10","JR","F","Arizona",35,961,190,94,27,28,104,98,397,0.479,0.535,0.344,0.655,11.3,5.4,2.7,0.8,0.8,2001
"5",7,"Jason Richardson",2001,13,0,5.13586073373509,"Michigan State","Top 10","SO","G","Michigan State",33,940,195,73,38,28,42,74,486,0.503,0.554,0.402,0.689,14.7,5.9,2.2,1.2,0.8,2001
"6",8,"Gerald Wallace",2001,14,1,4.95047734182112,"Alabama","Top 10","FR","","Alabama",36,824,216,55,42,37,86,87,351,0.438,0.511,0.175,0.568,9.8,6,1.5,1.2,1,2001
"7",12,"Troy Murphy",2001,12,0,2.11031261316911,"Notre Dame","Lottery","JR","F","Notre Dame",30,1090,277,62,27,50,90,96,653,0.471,0.499,0.349,0.766,21.8,9.2,2.1,0.9,1.7,2001
"8",13,"Shane Battier",2001,13,0,1.655205289404,"Duke","Lottery","SR","F","Duke",39,1363,285,72,82,88,60,80,778,0.471,0.536,0.419,0.796,19.9,7.3,1.8,2.1,2.3,2001
"9",14,"Samuel Dalembert",2001,13,0,0.73640950755656,"Seton Hall","Lottery","SO","C","Seton Hall",29,622,166,9,14,60,55,95,240,0.565,0.565,0,0.556,8.3,5.7,0.3,0.5,2.1,2001
"10",15,"Jamaal Tinsley",2001,11,0,0.336940076844792,"Iowa State","Non-Lottery","SR","G","Iowa State",31,999,117,187,79,19,117,92,443,0.399,0.406,0.381,0.692,14.3,3.8,6,2.5,0.6,2001
"11",16,"Bobby Simmons",2001,10,0,-0.913186824892673,"DePaul","Non-Lottery","JR","F","DePaul",29,981,248,72,23,4,60,97,483,0.447,0.524,0.37,0.8,16.7,8.6,2.5,0.8,0.1,2001
"12",18,"Earl Watson",2001,13,0,-0.963374398460273,"UCLA","Non-Lottery","SR","G","UCLA",32,1115,117,166,62,11,108,100,471,0.493,0.556,0.352,0.636,14.7,3.7,5.2,1.9,0.3,2001
"13",19,"Brendan Haywood",2001,13,0,-1.77079267633687,"UNC","Non-Lottery","SR","C","North Carolina",33,901,242,42,18,120,66,97,405,0.592,0.592,0,0.516,12.3,7.3,1.3,0.5,3.6,2001
"14",21,"Trenton Hassell",2001,9,0,-3.06018994957101,"Austin Peay State University","Non-Lottery","SR","F","Austin Peay",32,1213,249,144,39,15,121,67,693,0.485,0.52,0.39,0.796,21.7,7.8,4.5,1.2,0.5,2001
"15",22,"Eddie Griffin",2001,5,0,-3.34728467335636,"Seton Hall","Non-Lottery","FR","F","Seton Hall",30,979,323,49,26,133,67,71,533,0.429,0.469,0.32,0.734,17.8,10.8,1.6,0.9,4.4,2001
"16",23,"Jason Collins",2001,13,0,-3.65079955588887,"Stanford","Non-Lottery","JR","C","Stanford",34,895,265,51,28,43,53,79,493,0.62,0.637,0.462,0.784,14.5,7.8,1.5,0.8,1.3,2001
"17",25,"Jarron Collins",2001,10,0,-4.37951027241134,"Stanford","Non-Lottery","SR","F","Stanford",34,963,229,47,21,19,50,86,435,0.558,0.563,0.333,0.687,12.8,6.7,1.4,0.6,0.6,2001
"18",26,"Rodney White",2001,4,0,-4.96423947456651,"UNC Charlotte","Non-Lottery","FR","F","Charlotte",28,865,182,41,34,20,82,73,523,0.487,0.533,0.347,0.713,18.7,6.5,1.5,1.2,0.7,2001
"19",27,"Steven Hunter",2001,8,0,-5.1557931636892,"DePaul","Non-Lottery","SO","C","DePaul",30,808,169,15,5,72,44,70,343,0.592,0.592,0,0.536,11.4,5.6,0.5,0.2,2.4,2001
"20",29,"Brian Scalabrine",2001,11,0,-5.85721497728428,"USC","Non-Lottery","SR","C","Southern California",34,1116,202,96,30,31,104,89,499,0.478,0.517,0.303,0.801,14.7,5.9,2.8,0.9,0.9,2001
"21",30,"Loren Woods",2001,6,0,-7.18035403165697,"Arizona","Non-Lottery","SR","C","Arizona",29,879,189,62,19,84,59,64,384,0.504,0.506,0.333,0.83,13.2,6.5,2.1,0.7,2.9,2001
