"","pk","Player","Yr","Yrs","allstar","PC1","College","rank","Class","Pos","School","G","MP","TRB","AST","STL","BLK","TOV","PF","PTS","FG.","X2P.","X3P.","FT.","PPG","RPG","APG","SPG","BPG","Year"
"1",1,"Donovan Mitchell",2017,3,1,8.25194666014929,"Louisville","Top 3","SO","G","Louisville",34,1098,165,93,70,17,56,88,529,0.408,0.463,0.354,0.806,15.6,4.9,2.7,2.1,0.5,2017
"2",2,"John Collins",2017,3,0,7.28537582505016,"Wake Forest","Top 3","SO","F","Wake Forest",33,878,324,17,21,52,60,98,632,0.622,0.624,0,0.745,19.2,9.8,0.5,0.6,1.6,2017
"3",3,"Jayson Tatum",2017,3,1,6.17465540327415,"Duke","Top 3","FR","F","Duke",29,966,213,62,39,33,76,86,488,0.452,0.504,0.342,0.849,16.8,7.3,2.1,1.3,1.1,2017
"4",4,"Bam Adebayo",2017,3,1,5.20288338950089,"Kentucky","Top 5","FR","F","Kentucky",38,1145,304,32,26,57,64,99,494,0.599,0.599,0,0.653,13,8,0.8,0.7,1.5,2017
"5",5,"De'Aaron Fox",2017,3,0,5.19968070025344,"Kentucky","Top 5","FR","G","Kentucky",36,1064,143,165,53,7,87,90,601,0.479,0.521,0.246,0.736,16.7,4,4.6,1.5,0.2,2017
"6",6,"Jarrett Allen",2017,3,0,4.47072980597177,"Texas","Top 10","FR","F","Texas",33,1061,278,27,19,51,84,68,442,0.566,0.579,0,0.564,13.4,8.4,0.8,0.6,1.5,2017
"7",7,"Lauri Markkanen",2017,3,0,4.36207337378642,"Arizona","Top 10","FR","F","Arizona",37,1140,266,32,15,19,40,73,576,0.492,0.545,0.423,0.835,15.6,7.2,0.9,0.4,0.5,2017
"8",8,"Kyle Kuzma",2017,3,0,3.73525408174512,"Utah","Top 10","JR","F","Utah",29,894,271,71,18,14,62,46,476,0.504,0.56,0.321,0.669,16.4,9.3,2.4,0.6,0.5,2017
"9",9,"Lonzo Ball",2017,3,0,3.16307268861838,"UCLA","Top 10","FR","G","UCLA",36,1263,216,274,66,28,89,65,524,0.551,0.732,0.412,0.673,14.6,6,7.6,1.8,0.8,2017
"10",10,"Thomas Bryant",2017,3,0,1.80472798771711,"Indiana","Top 10","SO","C","Indiana",34,954,226,50,26,52,78,104,427,0.519,0.556,0.383,0.73,12.6,6.6,1.5,0.8,1.5,2017
"11",11,"Dennis Smith Jr.",2017,3,0,1.13393174496355,"NC State","Lottery","FR","G","North Carolina State",32,1114,146,197,62,14,108,67,580,0.455,0.509,0.359,0.715,18.1,4.6,6.2,1.9,0.4,2017
