"","namePlayerBREF","urlPlayerBioBREF"
"1","Adam Morrison","https://www.basketball-reference.com/players/m/morriad01.html"
"2","Andrea Bargnani","https://www.basketball-reference.com/players/b/bargnan01.html"
"3","Brandon Roy","https://www.basketball-reference.com/players/r/roybr01.html"
"4","Craig Smith","https://www.basketball-reference.com/players/s/smithcr01.html"
"5","Daniel Gibson","https://www.basketball-reference.com/players/g/gibsoda01.html"
"6","Hilton Armstrong","https://www.basketball-reference.com/players/a/armsthi01.html"
"7","J.J. Redick","https://www.basketball-reference.com/players/r/redicjj01.html"
"8","Kyle Lowry","https://www.basketball-reference.com/players/l/lowryky01.html"
"9","LaMarcus Aldridge","https://www.basketball-reference.com/players/a/aldrila01.html"
"10","Leon Powe","https://www.basketball-reference.com/players/p/powele01.html"
"11","Marcus Williams","https://www.basketball-reference.com/players/w/willima04.html"
"12","Marcus Williams","https://www.basketball-reference.com/players/w/willima03.html"
"13","Mardy Collins","https://www.basketball-reference.com/players/c/collima01.html"
"14","P.J. Tucker","https://www.basketball-reference.com/players/t/tuckepj01.html"
"15","Paul Millsap","https://www.basketball-reference.com/players/m/millspa01.html"
"16","Rajon Rondo","https://www.basketball-reference.com/players/r/rondora01.html"
"17","Randy Foye","https://www.basketball-reference.com/players/f/foyera01.html"
"18","Renaldo Balkman","https://www.basketball-reference.com/players/b/balkmre01.html"
"19","Rodney Carney","https://www.basketball-reference.com/players/c/carnero01.html"
"20","Ronnie Brewer","https://www.basketball-reference.com/players/b/brewero02.html"
"21","Rudy Gay","https://www.basketball-reference.com/players/g/gayru01.html"
"22","Ryan Hollins","https://www.basketball-reference.com/players/h/holliry01.html"
"23","Sergio Rodriguez","https://www.basketball-reference.com/players/r/rodrise01.html"
"24","Shannon Brown","https://www.basketball-reference.com/players/b/brownsh01.html"
"25","Shawne Williams","https://www.basketball-reference.com/players/w/willish03.html"
"26","Shelden Williams","https://www.basketball-reference.com/players/w/willish02.html"
"27","Solomon Jones","https://www.basketball-reference.com/players/j/jonesso01.html"
"28","Steve Novak","https://www.basketball-reference.com/players/n/novakst01.html"
"29","Thabo Sefolosha","https://www.basketball-reference.com/players/s/sefolth01.html"
"30","Tyrus Thomas","https://www.basketball-reference.com/players/t/thomaty01.html"
