,pk,Player,Yr,Yrs,allstar,PC1,College,rank,Class,Pos,School,G,MP,TRB,AST,STL,BLK,TOV,PF,PTS,FG.,X2P.,X3P.,FT.,PPG,RPG,APG,SPG,BPG,Year
1,1,Zion Williamson,2019,1,0,7.962239179,Duke,Top 3,FR,F,Duke,33,990,293,68,70,59,78,68,746,0.68,0.747,0.338,0.64,22.6,8.9,2.1,2.1,1.8,2019
2,2,Ja Morant,2019,1,0,4.529382635,Murray State,Top 3,SO,G,Murray State,33,1207,188,331,58,27,170,48,808,0.499,0.556,0.363,0.813,24.5,5.7,10,1.8,0.8,2019
3,3,Brandon Clarke,2019,1,0,2.515680955,Gonzaga,Top 3,JR,F,Gonzaga,37,1040,317,70,43,117,57,79,627,0.687,0.705,0.267,0.694,16.9,8.6,1.9,1.2,3.2,2019
4,4,Eric Paschall,2019,1,0,1.507286306,Villanova,Top 5,SR,F,Villanova,36,1301,221,77,26,17,82,77,595,0.447,0.532,0.348,0.746,16.5,6.1,2.1,0.7,0.5,2019
5,5,Rui Hachimura,2019,1,0,1.502660833,Gonzaga,Top 5,JR,F,Gonzaga,37,1117,240,56,35,27,68,74,729,0.591,0.606,0.417,0.739,19.7,6.5,1.5,0.9,0.7,2019
6,6,RJ Barrett,2019,1,0,1.215378013,Duke,Top 10,FR,F,Duke,38,1341,288,164,34,16,123,70,860,0.454,0.529,0.308,0.665,22.6,7.6,4.3,0.9,0.4,2019
7,7,P.J. Washington,2019,1,0,1.132163889,Kentucky,Top 10,SO,F,Kentucky,35,1024,264,63,29,43,69,86,531,0.522,0.549,0.423,0.663,15.2,7.5,1.8,0.8,1.2,2019
8,8,Jaxson Hayes,2019,1,0,-0.116009379,Texas,Top 10,FR,F,Texas,32,747,160,9,19,71,29,107,320,0.728,0.728,0,0.74,10,5,0.3,0.6,2.2,2019
9,9,De'Andre Hunter,2019,1,0,-0.175382556,Virginia,Top 10,SO,G,Virginia,38,1234,193,75,22,22,52,76,579,0.52,0.55,0.438,0.783,15.2,5.1,2,0.6,0.6,2019
10,10,Coby White,2019,1,0,-0.401814478,UNC,Top 10,FR,G,North Carolina,35,999,124,143,38,11,93,68,562,0.423,0.5,0.353,0.8,16.1,3.5,4.1,1.1,0.3,2019
11,11,Tyler Herro,2019,1,0,-0.705181251,Kentucky,Lottery,FR,G,Kentucky,37,1207,166,91,40,12,60,47,519,0.462,0.538,0.355,0.935,14,4.5,2.5,1.1,0.3,2019
12,12,Darius Garland,2019,1,0,-1.242802579,Vanderbilt,Lottery,FR,G,Vanderbilt,5,139,19,13,4,2,15,7,81,0.537,0.581,0.478,0.75,16.2,3.8,2.6,0.8,0.4,2019
13,13,Kevin Porter Jr.,2019,1,0,-1.422714284,USC,Lottery,FR,G,Southern California,21,464,84,30,17,11,39,44,200,0.471,0.517,0.412,0.522,9.5,4,1.4,0.8,0.5,2019
14,14,Cam Reddish,2019,1,0,-1.457644941,Duke,Lottery,FR,F,Duke,36,1069,133,70,56,21,96,86,485,0.356,0.394,0.333,0.772,13.5,3.7,1.9,1.6,0.6,2019
15,15,Jarrett Culver,2019,1,0,-2.22758476,Texas Tech,Non-Lottery,SO,G,Texas Tech,38,1234,243,142,57,21,103,73,704,0.461,0.526,0.304,0.707,18.5,6.4,3.7,1.5,0.6,2019
16,16,Cameron Johnson,2019,1,0,-2.991848445,UNC,Non-Lottery,SR,G,North Carolina,36,1076,208,86,43,10,54,53,608,0.506,0.556,0.457,0.818,16.9,5.8,2.4,1.2,0.3,2019
17,17,Jalen McDaniels,2019,1,0,-3.506838255,San Diego State,Non-Lottery,SO,F,San Diego State,34,1055,281,72,38,16,82,100,541,0.466,0.495,0.32,0.732,15.9,8.3,2.1,1.1,0.5,2019
18,18,Cody Martin,2019,1,0,-3.74284548,Nevada,Non-Lottery,SR,F,Nevada,34,1171,152,167,46,23,64,86,410,0.505,0.574,0.358,0.763,12.1,4.5,4.9,1.4,0.7,2019
19,19,Jordan Poole,2019,1,0,-3.976431984,Michigan,Non-Lottery,SO,G,Michigan,37,1224,110,80,40,8,57,74,472,0.436,0.518,0.369,0.833,12.8,3,2.2,1.1,0.2,2019
20,20,Matisse Thybulle,2019,1,0,-4.141187729,Washington,Non-Lottery,SR,G,Washington,36,1118,111,77,126,82,66,100,327,0.415,0.555,0.305,0.851,9.1,3.1,2.1,3.5,2.3,2019
21,21,Bruno Fernando,2019,1,0,-4.264680835,Maryland,Non-Lottery,SO,F,Maryland,34,1021,362,68,22,64,95,92,462,0.607,0.618,0.3,0.779,13.6,10.6,2,0.6,1.9,2019
22,23,Grant Williams,2019,1,0,-4.874902842,Tennessee,Non-Lottery,JR,F,Tennessee,37,1181,278,117,42,55,83,110,696,0.564,0.593,0.326,0.819,18.8,7.5,3.2,1.1,1.5,2019
23,25,Nassir Little,2019,1,0,-5.881302047,UNC,Non-Lottery,FR,F,North Carolina,36,656,166,24,19,19,48,59,353,0.478,0.527,0.269,0.77,9.8,4.6,0.7,0.5,0.5,2019
