,pk,Player,Yr,Yrs,allstar,PC1,College,rank,Class,Pos,School,G,MP,TRB,AST,STL,BLK,TOV,PF,PTS,FG.,X2P.,X3P.,FT.,PPG,RPG,APG,SPG,BPG,Year
1,1,LaMarcus Aldridge,2006,14,7,8.046173862,Texas,Top 3,SO,F,Texas,37,1247,339,20,50,73,59,92,555,0.569,0.569,0,0.646,15,9.2,0.5,1.4,2,2006
2,2,Kyle Lowry,2006,14,6,6.366760781,Villanova,Top 3,SO,G,Villanova,33,967,143,122,77,8,70,94,363,0.466,0.468,0.444,0.786,11,4.3,3.7,2.3,0.2,2006
3,3,Paul Millsap,2006,14,4,5.844561855,Louisiana Tech,Top 3,JR,F,Louisiana Tech,33,1126,438,36,62,76,83,101,648,0.571,0.578,0.357,0.623,19.6,13.3,1.1,1.9,2.3,2006
4,4,Rudy Gay,2006,14,0,5.508516703,UConn,Top 5,SO,F,Connecticut,33,1015,210,68,58,52,82,75,503,0.461,0.5,0.318,0.732,15.2,6.4,2.1,1.8,1.6,2006
5,5,Rajon Rondo,2006,14,4,4.301346572,Kentucky,Top 5,SO,G,Kentucky,34,1054,209,167,69,5,79,70,380,0.482,0.54,0.273,0.571,11.2,6.1,4.9,2,0.1,2006
6,6,Brandon Roy,2006,6,3,3.893083002,Washington,Top 10,SR,G,Washington,33,1046,186,135,46,26,75,81,666,0.508,0.537,0.402,0.81,20.2,5.6,4.1,1.4,0.8,2006
7,7,J.J. Redick,2006,14,0,1.878052792,Duke,Top 10,SR,G,Duke,36,1336,71,95,52,2,90,54,964,0.47,0.521,0.421,0.863,26.8,2,2.6,1.4,0.1,2006
8,9,Randy Foye,2006,11,0,-0.576065121,Villanova,Top 10,SR,G,Villanova,33,1145,190,100,46,21,71,71,677,0.411,0.463,0.35,0.791,20.5,5.8,3,1.4,0.6,2006
9,10,P.J. Tucker,2006,9,0,-0.627097193,Texas,Top 10,JR,F,Texas,37,1276,353,106,66,13,115,105,594,0.515,0.514,0.667,0.747,16.1,9.5,2.9,1.8,0.4,2006
10,11,Ronnie Brewer,2006,8,0,-0.842707739,Arkansas,Lottery,JR,G,Arkansas,32,1112,154,104,83,15,70,46,589,0.441,0.493,0.338,0.75,18.4,4.8,3.3,2.6,0.5,2006
11,12,Tyrus Thomas,2006,8,0,-1.349734035,LSU,Lottery,FR,F,Louisiana State,32,829,295,42,33,99,59,82,395,0.608,0.606,1,0.657,12.3,9.2,1.3,1,3.1,2006
12,14,Craig Smith,2006,6,0,-2.447859668,Boston College,Lottery,SR,F,Boston College,36,1305,339,109,44,29,89,107,633,0.573,0.587,0.083,0.643,17.6,9.4,3,1.2,0.8,2006
13,15,Jordan Farmar,2006,10,0,-2.584932857,UCLA,Non-Lottery,SO,G,UCLA,37,1125,95,189,41,9,135,63,498,0.41,0.472,0.333,0.717,13.5,2.6,5.1,1.1,0.2,2006
14,16,Daniel Gibson,2006,7,0,-2.955378335,Texas,Non-Lottery,SO,G,Texas,37,1228,133,116,49,12,70,88,496,0.405,0.456,0.38,0.726,13.4,3.6,3.1,1.3,0.3,2006
15,17,Shannon Brown,2006,9,0,-3.306364277,Michigan State,Non-Lottery,JR,G,Michigan State,34,1196,150,93,50,5,85,78,585,0.467,0.513,0.39,0.83,17.2,4.4,2.7,1.5,0.1,2006
16,18,Leon Powe,2006,5,0,-3.837935332,California,Non-Lottery,SO,F,University of California,27,953,273,38,24,15,66,67,553,0.496,0.5,0.333,0.719,20.5,10.1,1.4,0.9,0.6,2006
17,20,Steve Novak,2006,11,0,-4.743440091,Marquette,Non-Lottery,SR,F,Marquette,31,1047,183,39,18,4,32,64,541,0.477,0.5,0.467,0.974,17.5,5.9,1.3,0.6,0.1,2006
18,21,Shawne Williams,2006,7,0,-4.755510665,Memphis,Non-Lottery,FR,F,Memphis,36,1002,222,67,50,49,81,105,474,0.416,0.489,0.312,0.786,13.2,6.2,1.9,1.4,1.4,2006
19,22,Shelden Williams,2006,6,0,-4.76915751,Duke,Non-Lottery,SR,F,Duke,36,1198,384,39,60,137,89,114,677,0.578,0.582,0.333,0.744,18.8,10.7,1.1,1.7,3.8,2006
