"","pk","Player","Yr","Yrs","allstar","PC1","College","rank","Class","Pos","School","G","MP","TRB","AST","STL","BLK","TOV","PF","PTS","FG.","X2P.","X3P.","FT.","PPG","RPG","APG","SPG","BPG","Year"
"1",1,"Shawn Marion",1999,16,4,8.502067048,"UNLV","Top 3","JR","F","Nevada-Las Vegas",29,954,269,36,73,54,41,60,543,0.529,0.573,0.299,0.73,18.7,9.3,1.2,2.5,1.9,1999
"2",2,"Elton Brand",1999,17,2,8.272922143,"Duke","Top 3","SO","C","Duke",39,1141,382,41,49,86,67,97,691,0.62,0.62,0,0.707,17.7,9.8,1.1,1.3,2.2,1999
"3",3,"Steve Francis",1999,9,3,6.491748352,"Maryland","Top 3","JR","G","Maryland",34,1044,154,152,95,6,102,95,579,0.523,0.58,0.388,0.79,17,4.5,4.5,2.8,0.2,1999
"4",4,"Baron Davis",1999,13,2,6.342061398,"UCLA","Top 5","SO","G","UCLA",27,828,97,138,68,10,89,94,429,0.481,0.548,0.343,0.599,15.9,3.6,5.1,2.5,0.4,1999
"5",5,"Andre Miller",1999,17,0,6.03915321,"Utah","Top 5","SR","G","Utah",33,1092,178,186,84,15,94,59,520,0.491,0.553,0.265,0.69,15.8,5.4,5.6,2.5,0.5,1999
"6",6,"Lamar Odom",1999,14,0,5.842278591,"Rhode Island","Top 10","SO","F","Rhode Island",32,1116,302,122,27,49,110,92,564,0.482,0.53,0.33,0.687,17.6,9.4,3.8,0.8,1.5,1999
"7",7,"Jason Terry",1999,19,0,5.566939122,"Arizona","Top 10","SR","G","Arizona",29,1107,97,159,80,6,120,40,635,0.443,0.473,0.398,0.839,21.9,3.3,5.5,2.8,0.2,1999
"8",9,"Corey Maggette",1999,14,0,4.878762324,"Duke","Top 10","FR","F","Duke",39,691,151,59,29,15,80,99,414,0.525,0.61,0.345,0.716,10.6,3.9,1.5,0.7,0.4,1999
"9",10,"Metta World Peace",1999,17,1,4.611704608,"St. John's","Top 10","SO","G","St. John's (NY)",37,1265,232,156,76,44,105,85,535,0.469,0.525,0.374,0.644,14.5,6.3,4.2,2.1,1.2,1999
"10",11,"Richard Hamilton",1999,14,3,4.379572606,"UConn","Lottery","JR","G","Connecticut",34,1091,163,91,40,9,82,56,732,0.443,0.496,0.347,0.833,21.5,4.8,2.7,1.2,0.3,1999
"11",13,"Wally Szczerbiak",1999,10,1,2.730164863,"Miami University","Lottery","SR","F","Miami (OH)",32,1081,272,93,39,32,101,98,775,0.522,0.609,0.356,0.831,24.2,8.5,2.9,1.2,1,1999
"12",14,"James Posey",1999,12,0,1.080159026,"Xavier","Lottery","SR","F","Xavier",36,1268,322,84,102,34,118,123,609,0.488,0.55,0.366,0.814,16.9,8.9,2.3,2.8,0.9,1999
"13",15,"Kenny Thomas",1999,11,0,1.045871718,"New Mexico","Non-Lottery","SR","F","New Mexico",26,903,259,51,41,62,68,66,464,0.545,0.603,0.37,0.734,17.8,10,2,1.6,2.4,1999
"14",16,"Jeff Foster",1999,13,0,-1.071712268,"Texas State University","Non-Lottery","SR","C","Texas State",28,787,316,43,30,27,57,28,397,0.498,0.498,0,0.693,14.2,11.3,1.5,1.1,1,1999
"15",18,"Jumaine Jones",1999,8,0,-2.674401571,"Georgia","Non-Lottery","SO","F","Georgia",30,1032,284,35,32,21,76,73,564,0.445,0.489,0.348,0.726,18.8,9.5,1.2,1.1,0.7,1999
"16",21,"Lee Nailon",1999,6,0,-3.52826365,"TCU","Non-Lottery","SR","F","Texas Christian",31,990,288,79,38,29,100,111,707,0.508,0.515,0.267,0.715,22.8,9.3,2.5,1.2,0.9,1999
"17",22,"Vonteego Cummings",1999,3,0,-4.655735949,"Pitt","Non-Lottery","SR","G","Pittsburgh",26,923,106,112,69,11,84,76,419,0.411,0.452,0.331,0.699,16.1,4.1,4.3,2.7,0.4,1999
"18",23,"Calvin Booth",1999,10,0,-4.671920943,"Penn State","Non-Lottery","SR","C","Penn State",27,942,236,24,17,95,62,59,414,0.513,0.523,0,0.775,15.3,8.7,0.9,0.6,3.5,1999
"19",24,"Scott Padgett",1999,8,0,-4.67568469,"Kentucky","Non-Lottery","SR","F","Kentucky",37,1075,217,96,47,24,66,84,467,0.466,0.543,0.381,0.681,12.6,5.9,2.6,1.3,0.6,1999
"20",25,"Francisco Elson",1999,9,0,-4.865989237,"California","Non-Lottery","SR","C","University of California",32,632,162,16,26,42,36,84,181,0.513,0.513,0,0.412,5.7,5.1,0.5,0.8,1.3,1999
"21",27,"Rodney Buford",1999,5,0,-5.446409092,"Creighton","Non-Lottery","SR","F","Creighton",31,1011,222,68,59,8,72,56,576,0.469,0.481,0.44,0.82,18.6,7.2,2.2,1.9,0.3,1999
"22",28,"Trajan Langdon",1999,3,0,-5.523397749,"Duke","Non-Lottery","SR","G","Duke",36,1117,123,69,52,3,64,84,622,0.462,0.497,0.441,0.842,17.3,3.4,1.9,1.4,0.1,1999
"23",29,"Michael Ruffin",1999,9,0,-7.257998488,"Tulsa","Non-Lottery","SR","F","Tulsa",33,1063,342,45,61,86,88,98,383,0.527,0.537,0,0.603,11.6,10.4,1.4,1.8,2.6,1999
"24",30,"Quincy Lewis",1999,4,0,-7.493511043,"Minnesota","Non-Lottery","SR","F","Minnesota",27,913,160,38,50,16,56,78,625,0.457,0.478,0.398,0.811,23.1,5.9,1.4,1.9,0.6,1999
