"","pk","Player","Yr","Yrs","allstar","PC1","College","rank","Class","Pos","School","G","MP","TRB","AST","STL","BLK","TOV","PF","PTS","FG.","X2P.","X3P.","FT.","PPG","RPG","APG","SPG","BPG","Year"
"1",2,"Carlos Boozer",2002,13,2,6.70356856124435,"Duke","Top 3","JR","C","Duke",35,993,303,38,31,21,65,107,638,0.665,0.667,0,0.754,18.2,8.7,1.1,0.9,0.6,2002
"2",4,"Caron Butler",2002,14,2,4.72745717082231,"UConn","Top 5","SO","F","Connecticut",34,1223,256,101,71,13,98,75,691,0.486,0.5,0.4,0.779,20.3,7.5,3,2.1,0.4,2002
"3",7,"Mike Dunleavy",2002,15,0,2.57409468742981,"Duke","Top 10","JR","F","Duke",35,1133,251,72,80,26,61,79,605,0.483,0.596,0.378,0.681,17.3,7.2,2.1,2.3,0.7,2002
"4",8,"Tayshaun Prince",2002,14,0,2.44227953013672,"Kentucky","Top 10","SR","F","Kentucky",32,1067,202,52,34,43,64,51,560,0.467,0.564,0.34,0.703,17.5,6.3,1.6,1.1,1.3,2002
"5",9,"John Salmons",2002,13,0,1.57466454518894,"Miami (FL)","Top 10","SR","G","Miami (FL)",32,1077,191,195,57,20,119,75,419,0.461,0.509,0.31,0.842,13.1,6,6.1,1.8,0.6,2002
"6",10,"Drew Gooden",2002,14,0,1.42775048548903,"Kansas","Top 10","JR","F","Kansas",37,1119,423,73,65,53,108,91,734,0.504,0.519,0.278,0.755,19.8,11.4,2,1.8,1.4,2002
"7",11,"Matt Barnes",2002,14,0,-0.00125808065343939,"UCLA","Lottery","SR","F","UCLA",31,953,192,108,35,10,87,75,420,0.471,0.495,0.417,0.619,13.5,6.2,3.5,1.1,0.3,2002
"8",12,"Chris Wilcox",2002,11,0,-0.624807835923313,"Maryland","Lottery","SO","C","Maryland",36,866,257,53,28,53,53,97,432,0.504,0.507,0,0.585,12,7.1,1.5,0.8,1.5,2002
"9",15,"Rasual Butler",2002,13,0,-2.45732560310426,"La Salle","Non-Lottery","SR","F","La Salle",32,1252,283,44,41,43,84,55,670,0.434,0.464,0.361,0.855,20.9,8.8,1.4,1.3,1.3,2002
"10",16,"Darius Songaila",2002,8,0,-2.69703117011365,"Wake Forest","Non-Lottery","SR","F","Wake Forest",34,1036,276,89,45,27,119,104,607,0.523,0.529,0.375,0.854,17.9,8.1,2.6,1.3,0.8,2002
"11",17,"Juan Dixon",2002,7,0,-2.84551781469904,"Maryland","Non-Lottery","SR","G","Maryland",36,1209,166,104,92,7,89,72,735,0.469,0.525,0.397,0.898,20.4,4.6,2.9,2.6,0.2,2002
"12",18,"Fred Jones",2002,7,0,-2.85795315527767,"Oregon","Non-Lottery","SR","G","Oregon",35,1103,189,111,63,18,82,94,650,0.521,0.594,0.372,0.871,18.6,5.4,3.2,1.8,0.5,2002
"13",19,"Dan Dickau",2002,6,0,-3.23414928736458,"Gonzaga","Non-Lottery","SR","G","Gonzaga",32,1110,95,149,26,4,92,61,672,0.441,0.419,0.457,0.864,21,3,4.7,0.8,0.1,2002
"14",21,"Jared Jeffries",2002,11,0,-3.68748130181985,"Indiana","Non-Lottery","SO","F","Indiana",36,1175,273,74,54,46,102,88,539,0.457,0.472,0.38,0.667,15,7.6,2.1,1.5,1.3,2002
"15",22,"Roger Mason",2002,10,0,-3.76061324759439,"Virginia","Non-Lottery","JR","","Virginia",29,1046,93,119,27,12,86,64,538,0.409,0.463,0.367,0.881,18.6,3.2,4.1,0.9,0.4,2002
"16",23,"Dan Gadzuric",2002,10,0,-3.93169480423325,"UCLA","Non-Lottery","SR","C","UCLA",33,865,255,23,18,42,52,89,386,0.554,0.556,0,0.472,11.7,7.7,0.7,0.5,1.3,2002
"17",26,"Melvin Ely",2002,9,0,-4.78138676921695,"Fresno State","Non-Lottery","SR","C","Fresno State",28,999,254,50,19,88,73,67,653,0.563,0.564,0,0.735,23.3,9.1,1.8,0.7,3.1,2002
"18",27,"Kareem Rush",2002,7,0,-4.81471116351605,"Missouri","Non-Lottery","JR","F","Missouri",36,1149,188,89,39,22,103,76,712,0.426,0.444,0.405,0.769,19.8,5.2,2.5,1.1,0.6,2002
"19",28,"Dajuan Wagner",2002,4,0,-4.92471883338921,"Memphis","Non-Lottery","FR","G","Memphis",36,1146,89,128,43,20,105,101,762,0.41,0.453,0.317,0.722,21.2,2.5,3.6,1.2,0.6,2002
"20",29,"Casey Jacobsen",2002,4,0,-4.99970102077058,"Stanford","Non-Lottery","JR","G","Stanford",30,1058,135,106,18,3,73,55,658,0.441,0.481,0.372,0.776,21.9,4.5,3.5,0.6,0.1,2002
