"","pk","Player","Yr","Yrs","allstar","PC1","College","rank","Class","Pos","School","G","MP","TRB","AST","STL","BLK","TOV","PF","PTS","FG.","X2P.","X3P.","FT.","PPG","RPG","APG","SPG","BPG","Year"
"1",1,"Kawhi Leonard",2011,9,4,8.17619630838759,"San Diego State","Top 3","SO","F","San Diego State",36,1172,380,91,51,21,76,89,557,0.444,0.478,0.291,0.759,15.5,10.6,2.5,1.4,0.6,2011
"2",2,"Kyrie Irving",2011,9,6,7.42440087744154,"Duke","Top 3","FR","G","Duke",11,303,37,47,16,6,27,23,192,0.529,0.569,0.462,0.901,17.5,3.4,4.3,1.5,0.5,2011
"3",3,"Jimmy Butler",2011,9,5,7.10262197600703,"Marquette","Top 3","SR","G","Marquette",37,1282,225,86,53,13,54,49,582,0.49,0.515,0.345,0.783,15.7,6.1,2.3,1.4,0.4,2011
"4",4,"Kemba Walker",2011,9,4,6.755572688959,"UConn","Top 5","JR","G","Connecticut",41,1543,223,184,77,7,93,56,965,0.428,0.471,0.33,0.819,23.5,5.4,4.5,1.9,0.2,2011
"5",5,"Nikola Vucevic",2011,9,1,5.57675052315781,"USC","Top 5","JR","F","Southern California",34,1187,350,54,18,47,58,96,582,0.505,0.542,0.349,0.755,17.1,10.3,1.6,0.5,1.4,2011
"6",6,"Isaiah Thomas",2011,9,2,4.7640098843556,"Washington","Top 10","JR","G","Washington",35,1115,123,213,47,2,104,75,587,0.445,0.512,0.349,0.719,16.8,3.5,6.1,1.3,0.1,2011
"7",7,"Tobias Harris",2011,9,0,4.43036747558079,"Tennessee","Top 10","FR","F","Tennessee",34,993,247,44,24,29,62,70,521,0.46,0.497,0.303,0.753,15.3,7.3,1.3,0.7,0.9,2011
"8",8,"Klay Thompson",2011,8,5,4.40203898775599,"Washington State","Top 10","JR","G","Washington State",34,1179,178,127,56,32,115,99,733,0.436,0.466,0.398,0.838,21.6,5.2,3.7,1.6,0.9,2011
"9",11,"Reggie Jackson",2011,9,0,1.96364046154842,"Boston College","Lottery","JR","G","Boston College",34,1161,146,152,36,18,81,58,618,0.503,0.556,0.42,0.796,18.2,4.3,4.5,1.1,0.5,2011
"10",12,"Brandon Knight",2011,8,0,1.85498917460502,"Kentucky","Lottery","FR","G","Kentucky",38,1363,153,159,25,8,120,83,657,0.423,0.461,0.377,0.795,17.3,4,4.2,0.7,0.2,2011
