,pk,Player,Yr,Yrs,allstar,PC1,College,rank,Class,Pos,School,G,MP,TRB,AST,STL,BLK,TOV,PF,PTS,FG.,X2P.,X3P.,FT.,PPG,RPG,APG,SPG,BPG,Year
1,2,Andre Iguodala,2004,16,1,6.379576331,Arizona,Top 3,SO,F,Arizona,30,962,253,147,48,11,83,75,388,0.45,0.493,0.315,0.788,12.9,8.4,4.9,1.6,0.4,2004
2,5,Luol Deng,2004,15,2,4.529796981,Duke,Top 5,FR,F,Duke,37,1149,255,68,49,39,83,82,558,0.476,0.515,0.36,0.71,15.1,6.9,1.8,1.3,1.1,2004
3,6,Kevin Martin,2004,12,0,4.525218672,Western Carolina University,Top 10,JR,G,Western Carolina,27,843,130,47,50,8,84,52,673,0.474,0.547,0.336,0.817,24.9,4.8,1.7,1.9,0.3,2004
4,7,Devin Harris,2004,15,1,3.427800868,Wisconsin,Top 10,JR,G,Wisconsin,32,1162,139,141,56,4,66,62,624,0.459,0.54,0.373,0.792,19.5,4.3,4.4,1.8,0.1,2004
5,8,Emeka Okafor,2004,10,0,2.793863059,UConn,Top 10,JR,C,Connecticut,36,1166,415,36,36,147,84,85,635,0.599,0.599,0,0.518,17.6,11.5,1,1,4.1,2004
6,9,Ben Gordon,2004,11,0,2.546435238,UConn,Top 10,JR,G,Connecticut,39,1346,184,176,53,6,108,91,723,0.434,0.434,0.433,0.829,18.5,4.7,4.5,1.4,0.2,2004
7,10,Trevor Ariza,2004,16,0,2.302790733,UCLA,Top 10,FR,F,UCLA,25,789,162,52,42,11,81,69,289,0.426,0.509,0.237,0.504,11.6,6.5,2.1,1.7,0.4,2004
8,11,Jameer Nelson,2004,14,1,2.083737435,Saint Joseph's,Lottery,SR,G,Saint Joseph's,32,1085,150,170,89,1,91,59,659,0.475,0.526,0.39,0.792,20.6,4.7,5.3,2.8,0,2004
9,16,Josh Childress,2004,8,0,-0.212752229,Stanford,Non-Lottery,JR,F,Stanford,23,685,173,61,20,37,51,54,360,0.488,0.536,0.395,0.821,15.7,7.5,2.7,0.9,1.6,2004
10,17,Delonte West,2004,8,0,-0.471255028,Saint Joseph's,Non-Lottery,JR,G,Saint Joseph's,32,1073,172,151,55,6,82,60,604,0.51,0.557,0.412,0.892,18.9,5.4,4.7,1.7,0.2,2004
11,18,Tony Allen,2004,14,0,-0.490891446,Oklahoma State,Non-Lottery,SR,G,Oklahoma State,35,1107,193,109,72,30,98,105,561,0.504,0.55,0.297,0.675,16,5.5,3.1,2.1,0.9,2004
12,19,Kris Humphries,2004,13,0,-0.918903774,Minnesota,Non-Lottery,FR,F,Minnesota,29,990,294,20,27,33,82,65,629,0.444,0.455,0.34,0.742,21.7,10.1,0.7,0.9,1.1,2004
13,21,Chris Duhon,2004,9,0,-1.645038412,Duke,Non-Lottery,SR,G,Duke,37,1311,150,225,80,7,104,76,370,0.448,0.514,0.302,0.722,10,4.1,6.1,2.2,0.2,2004
14,25,Kirk Snyder,2004,4,0,-4.352820525,Nevada,Non-Lottery,JR,G,Nevada,34,1079,195,117,35,22,119,72,638,0.431,0.47,0.348,0.731,18.8,5.7,3.4,1,0.6,2004
15,28,Bernard Robinson,2004,3,0,-6.337897754,Michigan,Non-Lottery,SR,F,Michigan,34,1095,194,130,64,10,93,84,411,0.432,0.477,0.25,0.77,12.1,5.7,3.8,1.9,0.3,2004
16,29,Royal Ivey,2004,10,0,-6.382350923,Texas,Non-Lottery,SR,G,Texas,33,979,133,141,41,8,51,83,311,0.448,0.456,0.387,0.626,9.4,4,4.3,1.2,0.2,2004
17,30,Rafael Araujo,2004,3,0,-8.085938924,BYU,Non-Lottery,SR,C,Brigham Young,30,895,303,37,43,25,87,94,552,0.573,0.601,0.267,0.722,18.4,10.1,1.2,1.4,0.8,2004
