"","pk","Player","Yr","Yrs","allstar","PC1","College","rank","Class","Pos","School","G","MP","TRB","AST","STL","BLK","TOV","PF","PTS","FG.","X2P.","X3P.","FT.","PPG","RPG","APG","SPG","BPG","Year"
"1",8,"Wendell Carter Jr.",2018,2,0,2.929665617,"Duke","Top 10","FR","F","Duke",37,997,335,74,30,76,75,105,501,0.561,0.586,0.413,0.738,13.5,9.1,2,0.8,2.1,2018
"2",17,"Troy Brown Jr.",2018,2,0,-1.952198066,"Oregon","Non-Lottery","FR","F","Oregon",35,1093,217,111,55,7,86,78,396,0.444,0.524,0.291,0.743,11.3,6.2,3.2,1.6,0.2,2018
"3",2,"Trae Young",2018,2,1,8.695624802,"Oklahoma","Top 3","FR","G","Oklahoma",32,1133,125,279,54,8,167,57,876,0.422,0.493,0.36,0.861,27.4,3.9,8.7,1.7,0.3,2018
"4",29,"Sviatoslav Mykhailiuk",2018,2,0,-5.388096043,"Kansas","Non-Lottery","SR","G","Kansas",39,1346,153,107,46,12,65,97,570,0.434,0.423,0.444,0.804,14.6,3.9,2.7,1.2,0.3,2018
"8",4,"Shai Gilgeous-Alexander",2018,2,0,3.619207557,"Kentucky","Top 5","FR","G","Kentucky",37,1248,153,189,61,18,100,62,532,0.485,0.5,0.404,0.817,14.4,4.1,5.1,1.6,0.5,2018
"9",22,"Omari Spellman",2018,2,0,-2.534991819,"Villanova","Non-Lottery","FR","F","Villanova",40,1125,321,30,26,59,40,92,434,0.476,0.511,0.433,0.7,10.9,8,0.8,0.7,1.5,2018
"10",16,"Mo Bamba",2018,2,0,-1.795185214,"Texas","Non-Lottery","FR","F","Texas",30,906,316,15,23,111,46,76,387,0.541,0.603,0.275,0.681,12.9,10.5,0.5,0.8,3.7,2018
"11",12,"Miles Bridges",2018,2,0,-0.121101937,"Michigan State","Lottery","SO","G","Michigan State",34,1067,237,92,21,26,67,53,582,0.457,0.527,0.364,0.853,17.1,7,2.7,0.6,0.8,2018
"13",10,"Mikal Bridges",2018,2,0,0.207174525,"Villanova","Top 10","JR","G","Villanova",40,1285,212,77,61,43,54,86,706,0.514,0.593,0.435,0.851,17.7,5.3,1.9,1.5,1.1,2018
"16",6,"Marvin Bagley III",2018,2,0,3.450630979,"Duke","Top 10","FR","F","Duke",33,1118,366,50,27,29,75,60,694,0.614,0.647,0.397,0.627,21,11.1,1.5,0.8,0.9,2018
