,pk,Player,Yr,Yrs,allstar,PC1,College,rank,Class,Pos,School,G,MP,TRB,AST,STL,BLK,TOV,PF,PTS,FG.,X2P.,X3P.,FT.,PPG,RPG,APG,SPG,BPG,Year
1,2,Allen Iverson,1996,14,11,10.92767052,Georgetown,Top 3,SO,G,Georgetown,37,1213,141,173,124,16,139,88,926,0.48,0.546,0.366,0.678,25,3.8,4.7,3.4,0.4,1996
2,3,Ray Allen,1996,18,10,8.872348434,UConn,Top 3,JR,G,Connecticut,35,1098,228,117,60,18,82,46,818,0.472,0.477,0.466,0.81,23.4,6.5,3.3,1.7,0.5,1996
3,4,Steve Nash,1996,18,8,7.780545152,Santa Clara,Top 5,SR,G,Santa Clara,29,979,103,174,39,0,103,43,492,0.43,0.51,0.344,0.894,17,3.6,6,1.3,0,1996
4,5,Shareef Abdur-Rahim,1996,12,1,7.163979075,California,Top 5,FR,F,University of California,28,972,236,29,52,35,87,58,590,0.518,0.525,0.381,0.683,21.1,8.4,1,1.9,1.3,1996
5,6,Stephon Marbury,1996,13,2,7.075224369,Georgia Tech,Top 10,FR,G,Georgia Tech,36,1345,113,161,63,4,115,82,679,0.457,0.533,0.37,0.738,18.9,3.1,4.5,1.8,0.1,1996
6,7,Antoine Walker,1996,12,3,6.661576524,Kentucky,Top 10,SO,F,Kentucky,36,971,302,104,61,25,89,85,547,0.463,0.493,0.188,0.631,15.2,8.4,2.9,1.7,0.7,1996
7,10,Marcus Camby,1996,17,0,3.9418059,UMass,Top 10,JR,C,Massachusetts,33,1011,271,58,32,128,83,87,675,0.477,0.484,0,0.7,20.5,8.2,1.8,1,3.9,1996
8,12,Kerry Kittles,1996,8,0,1.934982776,Villanova,Lottery,SR,G,Villanova,30,1059,213,105,72,11,55,45,613,0.455,0.489,0.404,0.71,20.4,7.1,3.5,2.4,0.4,1996
9,13,Derek Fisher,1996,18,0,0.89372953,Little Rock,Lottery,SR,G,Little Rock,30,1080,155,154,56,2,81,64,435,0.41,0.429,0.385,0.746,14.5,5.2,5.1,1.9,0.1,1996
10,14,Erick Dampier,1996,16,0,0.473881573,Mississippi State,Lottery,JR,C,Mississippi State,34,1112,317,77,16,106,93,86,494,0.551,0.551,0,0.612,14.5,9.3,2.3,0.5,3.1,1996
11,15,Lorenzen Wright,1996,13,0,-0.305900461,Memphis,Non-Lottery,SO,C,Memphis,30,1058,313,35,40,59,56,78,523,0.542,0.543,0,0.645,17.4,10.4,1.2,1.3,2,1996
12,16,Jeff McInnis,1996,11,0,-0.775595127,UNC,Non-Lottery,JR,G,North Carolina,31,1067,81,170,38,0,78,72,511,0.435,0.466,0.392,0.8,16.5,2.6,5.5,1.2,0,1996
13,17,Jerome Williams,1996,9,0,-1.068832523,Georgetown,Non-Lottery,SR,F,Georgetown,37,1016,324,51,70,16,72,67,380,0.588,0.601,0.143,0.639,10.3,8.8,1.4,1.9,0.4,1996
14,18,Othella Harrington,1996,12,0,-1.561530926,Georgetown,Non-Lottery,SR,C,Georgetown,37,983,257,44,29,58,65,91,451,0.559,0.563,0,0.741,12.2,6.9,1.2,0.8,1.6,1996
15,19,Shandon Anderson,1996,10,0,-1.595208885,Georgia,Non-Lottery,SR,F,Georgia,31,891,171,83,56,15,78,73,462,0.538,0.582,0.308,0.657,14.9,5.5,2.7,1.8,0.5,1996
16,20,Malik Rose,1996,13,0,-1.735360957,Drexel,Non-Lottery,SR,C,Drexel,31,972,409,53,35,30,87,83,627,0.595,0.611,0.333,0.714,20.2,13.2,1.7,1.1,1,1996
17,21,Tony Delk,1996,10,0,-1.889090498,Kentucky,Non-Lottery,SR,G,Kentucky,36,947,150,64,67,13,64,72,639,0.494,0.535,0.443,0.8,17.8,4.2,1.8,1.9,0.4,1996
18,22,Vitaly Potapenko,1996,11,0,-2.195292457,Wright State University,Non-Lottery,JR,C,Wright State,26,807,193,36,11,17,102,97,538,0.604,0.612,0.167,0.716,20.7,7.4,1.4,0.4,0.7,1996
19,23,Jamie Feick,1996,5,0,-3.08226577,Michigan State,Non-Lottery,SR,C,Michigan State,32,986,303,75,24,14,69,73,323,0.433,0.473,0.308,0.617,10.1,9.5,2.3,0.8,0.4,1996
20,24,John Wallace,1996,7,0,-3.760545948,Syracuse,Non-Lottery,SR,F,Syracuse,38,1379,329,90,44,63,122,94,845,0.489,0.501,0.42,0.763,22.2,8.7,2.4,1.2,1.7,1996
21,25,Samaki Walker,1996,10,0,-3.893614183,Louisville,Non-Lottery,SO,C,Louisville,21,634,157,23,17,43,49,53,318,0.599,0.602,0,0.614,15.1,7.5,1.1,0.8,2,1996
22,27,Walter McCarty,1996,10,0,-4.551924597,Kentucky,Non-Lottery,SR,F,Kentucky,36,888,206,92,44,51,81,117,407,0.543,0.564,0.467,0.721,11.3,5.7,2.6,1.2,1.4,1996
23,28,Travis Knight,1996,7,0,-5.742240521,UConn,Non-Lottery,SR,C,Connecticut,34,854,317,71,24,68,77,81,311,0.521,0.521,0,0.694,9.1,9.3,2.1,0.7,2,1996
24,29,Randy Livingston,1996,11,0,-6.167122979,LSU,Non-Lottery,SO,G,Louisiana State,13,318,30,69,27,2,37,23,79,0.289,0.365,0.05,0.789,6.1,2.3,5.3,2.1,0.2,1996
25,30,Todd Fuller,1996,5,0,-7.237532658,NC State,Non-Lottery,SR,C,North Carolina State,31,1044,308,39,10,56,72,48,649,0.506,0.52,0.372,0.799,20.9,9.9,1.3,0.3,1.8,1996
