,pk,Player,Yr,Yrs,allstar,PC1,College,rank,Class,Pos,School,G,MP,TRB,AST,STL,BLK,TOV,PF,PTS,FG.,X2P.,X3P.,FT.,PPG,RPG,APG,SPG,BPG,Year
1,2,Michael Finley,1995,15,2,6.455794208,Wisconsin,Top 3,SR,F,Wisconsin,27,1000,141,108,52,15,80,73,554,0.379,0.451,0.284,0.773,20.5,5.2,4,1.9,0.6,1995
2,3,Rasheed Wallace,1995,16,4,5.974870046,UNC,Top 3,SO,F,North Carolina,34,1030,279,35,17,93,52,95,566,0.654,0.657,0.333,0.631,16.6,8.2,1,0.5,2.7,1995
3,4,Jerry Stackhouse,1995,18,2,5.788371359,UNC,Top 5,SO,F,North Carolina,34,1170,280,93,50,59,111,74,652,0.517,0.546,0.411,0.712,19.2,8.2,2.7,1.5,1.7,1995
4,5,Damon Stoudamire,1995,13,0,5.070531018,Arizona,Top 5,SR,G,Arizona,30,1092,128,220,52,1,139,61,684,0.476,0.489,0.465,0.826,22.8,4.3,7.3,1.7,0,1995
5,6,Antonio McDyess,1995,15,1,4.570796134,Alabama,Top 10,SO,C,Alabama,33,861,337,21,28,66,78,109,458,0.512,0.514,0,0.667,13.9,10.2,0.6,0.8,2,1995
6,7,Joe Smith,1995,16,0,2.96822709,Maryland,Top 10,SO,C,Maryland,34,1110,362,40,51,97,72,103,708,0.578,0.586,0.429,0.741,20.8,10.6,1.2,1.5,2.9,1995
7,8,Kurt Thomas,1995,18,0,2.52507393,TCU,Top 10,SR,C,Texas Christian,27,872,393,32,51,66,77,106,781,0.548,0.554,0.25,0.714,28.9,14.6,1.2,1.9,2.4,1995
8,9,Brent Barry,1995,14,0,2.285100352,Oregon State,Top 10,SR,F,Oregon State,27,1012,159,104,72,12,86,71,567,0.514,0.586,0.394,0.823,21,5.9,3.9,2.7,0.4,1995
9,10,Theo Ratliff,1995,16,1,1.202038055,Wyoming,Top 10,SR,F,Wyoming,28,912,211,31,16,144,69,95,404,0.544,0.551,0.2,0.633,14.4,7.5,1.1,0.6,5.1,1995
10,11,Eric Snow,1995,13,0,1.033175054,Michigan State,Lottery,SR,G,Michigan State,28,916,92,217,52,4,86,77,303,0.52,0.547,0.292,0.608,10.8,3.3,7.8,1.9,0.1,1995
11,12,Bryant Reeves,1995,6,0,0.360339651,Oklahoma State,Lottery,SR,C,Oklahoma State,37,1288,350,30,18,60,109,118,797,0.586,0.592,0,0.706,21.5,9.5,0.8,0.5,1.6,1995
12,13,Corliss Williamson,1995,12,0,0.338103684,Arkansas,Lottery,JR,F,Arkansas,39,1208,293,89,67,33,92,106,770,0.55,0.554,0.167,0.668,19.7,7.5,2.3,1.7,0.8,1995
13,14,Gary Trent,1995,9,0,-0.398069096,Ohio University,Lottery,JR,F,Ohio,33,1134,423,79,20,26,115,75,757,0.527,0.547,0.229,0.642,22.9,12.8,2.4,0.6,0.8,1995
14,15,Bob Sura,1995,10,0,-0.503760223,Florida State,Non-Lottery,SR,G,Florida State,27,981,186,146,49,5,92,76,502,0.417,0.481,0.323,0.687,18.6,6.9,5.4,1.8,0.2,1995
15,16,Alan Henderson,1995,12,0,-0.579585394,Indiana,Non-Lottery,SR,F,Indiana,31,1093,302,54,42,64,89,97,729,0.597,0.605,0.2,0.633,23.5,9.7,1.7,1.4,2.1,1995
16,17,Travis Best,1995,10,0,-0.925344753,Georgia Tech,Non-Lottery,SR,G,Georgia Tech,30,1115,95,151,60,6,69,71,607,0.446,0.491,0.38,0.847,20.2,3.2,5,2,0.2,1995
17,18,Eric Williams,1995,12,0,-1.601545257,Providence,Non-Lottery,SR,F,Providence,30,1041,201,75,60,10,79,95,531,0.413,0.422,0.372,0.687,17.7,6.7,2.5,2,0.3,1995
18,19,Greg Ostertag,1995,11,0,-2.449017704,Kansas,Non-Lottery,SR,C,Kansas,31,603,233,13,11,91,50,73,299,0.596,0.596,0,0.553,9.6,7.5,0.4,0.4,2.9,1995
19,20,Jason Caffey,1995,8,0,-2.683713803,Alabama,Non-Lottery,SR,F,Alabama,31,933,249,51,18,16,85,78,375,0.509,0.516,0,0.545,12.1,8,1.6,0.6,0.5,1995
20,21,Fred Hoiberg,1995,10,0,-2.828319898,Iowa State,Non-Lottery,SR,G,Iowa State,34,1252,192,75,39,5,63,44,677,0.438,0.459,0.412,0.861,19.9,5.6,2.2,1.1,0.1,1995
