"","Player","p.G","p.MP","p.FG","p.FGA","p.FG.","p.X3P","p.X3PA","p.X3P.","p.X2P","p.X2PA","p.X2P.","p.eFG.","p.FT","p.FTA","p.FT.","p.ORB","p.DRB","p.TRB","p.AST","p.STL","p.BLK","p.TOV","p.PF","p.PTS","p.PER"
"1","Alan Henderson",292,28.177397260274,4.64246575342466,10.0482876712329,0.46138698630137,0,0.0517123287671233,0.146232876712329,4.61883561643836,9.99657534246575,0.462890410958904,0.462140410958904,2.725,4.16404109589041,0.650965753424658,2.71164383561644,3.38493150684932,6.13767123287671,0.860958904109589,0.786643835616438,0.500342465753425,1.57842465753425,2.49897260273973,12.0157534246575,14.3960904129901
"2","Andrew DeClercq",257,21.6093385214008,2.5863813229572,5.19649805447471,0.501373540856031,0,0,0,2.5863813229572,5.19649805447471,0.502003891050584,0.501373540856031,1.46653696498054,2.39961089494163,0.62315953307393,2.11517509727626,3.11089494163424,5.21322957198444,0.68715953307393,0.961867704280156,0.663813229571985,1.14669260700389,3.39805447470817,6.70233463035019,12.9586799013252
"3","Antonio McDyess",362,32.9232044198895,6.85939226519337,13.9624309392265,0.494903314917127,0.0204419889502762,0.150828729281768,0.0502872928176796,6.85939226519337,13.8234806629834,0.498024861878453,0.495516574585635,3.3975138121547,5.02348066298343,0.679193370165746,2.73701657458564,5.40165745856354,8.14723756906077,1.45552486187845,0.987569060773481,1.74088397790055,2.3878453038674,3.61077348066298,17.1348066298343,18.4183704837979
"4","Bob Sura",339,24.9985250737463,3.3811209439528,8.10560471976401,0.417648967551622,0.773746312684366,2.33982300884956,0.310569321533923,2.61474926253687,5.71238938053097,0.455592920353982,0.460893805309735,2.40176991150442,3.36017699115044,0.718946902654867,1.04542772861357,2.69498525073746,3.72566371681416,3.56784660766962,0.986430678466077,0.189085545722714,1.84100294985251,2.25781710914454,9.96224188790561,14.6218718980471
"5","Brent Barry",362,32.6765193370166,3.89198895027624,8.01685082872928,0.484453038674033,1.84889502762431,4.3171270718232,0.43096408839779,2.00220994475138,3.73812154696133,0.544696132596685,0.601116022099447,1.72790055248619,2.11325966850829,0.81860773480663,0.571270718232044,3.64502762430939,4.21988950276243,4.61270718232044,1.45110497237569,0.327624309392265,1.8707182320442,2.38646408839779,11.3527624309392,16.1213889964409
"6","Bryant Reeves",320,31.9703125,5.4425,11.41875,0.473134375,0,0.068125,0.021328125,5.4425,11.371875,0.476034375,0.473134375,2.603125,3.770625,0.68928125,2.238125,4.905,7.1646875,1.690625,0.500625,0.7865625,2.0209375,3.516875,13.529375,13.7253939201408
"7","Cherokee Parks",261,18.6295019157088,2.17892720306513,4.52183908045977,0.481961685823755,0,0.024904214559387,0,2.17892720306513,4.49693486590038,0.486015325670498,0.481961685823755,0.789272030651341,1.2272030651341,0.647264367816092,1.37739463601533,2.98965517241379,4.3367816091954,0.686973180076628,0.493486590038314,0.804214559386973,0.722605363984674,2.34789272030651,5.13409961685824,12.0327781296917
"8","Chris Carr",177,16.9757062146893,2.87966101694915,7.25988700564972,0.406062146892655,0.607909604519774,1.75706214689266,0.351813559322034,2.3,5.50282485875706,0.42074011299435,0.45238418079096,1.61073446327684,1.95028248587571,0.812785310734463,0.636723163841808,1.87401129943503,2.53446327683616,1.10508474576271,0.39774011299435,0.205084745762712,1.56666666666667,1.73898305084746,7.97796610169492,10.711355609545
"9","Corliss Williamson",353,27.1379603399433,5.2070821529745,10.5014164305949,0.496699716713881,0,0.0365439093484419,0.028328611898017,5.2070821529745,10.4229461756374,0.49871671388102,0.496841359773371,2.49773371104816,3.77507082152974,0.675631728045326,1.77082152974504,2.76232294617564,4.48838526912181,1.60396600566572,0.732294617563739,0.420113314447592,1.83371104815864,2.86062322946176,12.9118980169972,14.9169791225195
"10","Cory Alexander",236,20.4542372881356,2.68135593220339,6.56271186440678,0.40725,1.08177966101695,3.00847457627119,0.354533898305085,1.63347457627119,3.56271186440678,0.449300847457627,0.489076271186441,1.23347457627119,1.58728813559322,0.765533898305085,0.31271186440678,1.80847457627119,2.06186440677966,3.36059322033898,1.10127118644068,0.178813559322034,1.85974576271186,1.78559322033898,7.68347457627119,13.481724560822
"11","Damon Stoudamire",293,40.459385665529,6.63720136518771,16.1098976109215,0.410631399317406,1.68464163822526,4.91535836177474,0.337723549488055,4.95255972696246,11.1668941979522,0.441726962457338,0.462153583617747,3.59112627986348,4.32935153583618,0.819051194539249,1.08600682593857,3.03447098976109,4.12047781569966,8.61194539249147,1.51706484641638,0.17542662116041,3.40716723549488,2.14744027303754,18.4911262798635,17.1407103824676
"12","Don Reid",191,15.3141361256544,1.65287958115183,2.99842931937173,0.535801047120419,0,0,0,1.65287958115183,2.99842931937173,0.535801047120419,0.535801047120419,0.732460732984293,1.12879581151832,0.662439790575916,1.05078534031414,1.79476439790576,2.88115183246073,0.427748691099476,0.529319371727749,0.829319371727749,0.575916230366492,3.00366492146597,4.01361256544503,11.5207098119658
"13","Ed O'Bannon",192,14.9484375,1.7875,5.02083333333333,0.350369791666667,0.2703125,1.02083333333333,0.221557291666667,1.55052083333333,4,0.380515625,0.376005208333333,0.719791666666667,0.909895833333333,0.827651041666667,0.860416666666667,1.546875,2.40729166666667,0.733333333333333,0.546875,0.190104166666667,0.533333333333333,1.49739583333333,4.521875,9.03792083899517
