,pk,Player,Yr,Yrs,allstar,PC1,College,rank,Class,Pos,School,G,MP,TRB,AST,STL,BLK,TOV,PF,PTS,FG.,X2P.,X3P.,FT.,PPG,RPG,APG,SPG,BPG,Year
1,1,Tim Duncan,1997,19,15,12.97509426,Wake Forest,Top 3,SR,C,Wake Forest,31,1137,457,98,22,102,99,69,645,0.608,0.628,0.273,0.636,20.8,14.7,3.2,0.7,3.3,1997
2,3,Chauncey Billups,1997,17,5,5.919053695,Colorado,Top 3,SO,G,Colorado,29,947,141,139,62,4,84,53,555,0.413,0.425,0.401,0.854,19.1,4.9,4.8,2.1,0.1,1997
3,5,Keith Van Horn,1997,9,0,3.694870169,Utah,Top 5,SR,F,Utah,32,1008,303,45,22,37,79,61,705,0.492,0.537,0.387,0.904,22,9.5,1.4,0.7,1.2,1997
4,6,Derek Anderson,1997,11,0,1.639451365,Kentucky,Top 10,SR,F,Kentucky,19,481,77,67,37,2,32,39,337,0.491,0.553,0.404,0.811,17.7,4.1,3.5,1.9,0.1,1997
5,7,Ron Mercer,1997,8,0,0.992941939,Kentucky,Top 10,SO,F,Kentucky,40,1299,210,97,66,10,68,95,725,0.493,0.537,0.348,0.781,18.1,5.3,2.4,1.7,0.3,1997
6,8,Tim Thomas,1997,13,0,0.827888981,Villanova,Top 10,FR,F,Villanova,32,1005,193,66,56,33,91,88,542,0.45,0.507,0.336,0.796,16.9,6,2.1,1.8,1,1997
7,9,Brevin Knight,1997,12,0,0.023811189,Stanford,Top 10,SR,G,Stanford,30,960,111,234,83,4,103,85,489,0.408,0.407,0.409,0.834,16.3,3.7,7.8,2.8,0.1,1997
8,10,Bobby Jackson,1997,12,0,-0.0820215,Minnesota,Top 10,SR,G,Minnesota,35,1101,213,139,74,8,81,106,534,0.441,0.476,0.32,0.786,15.3,6.1,4,2.1,0.2,1997
9,11,Danny Fortson,1997,10,0,-0.535652338,Cincinnati,Lottery,JR,F,Cincinnati,33,986,299,36,19,15,100,108,703,0.62,0.621,0,0.772,21.3,9.1,1.1,0.6,0.5,1997
10,12,Maurice Taylor,1997,9,0,-0.702677283,Michigan,Lottery,JR,F,Michigan,35,1055,218,40,26,31,70,95,431,0.507,0.512,0.2,0.718,12.3,6.2,1.1,0.7,0.9,1997
11,13,Antonio Daniels,1997,13,0,-0.797410888,Bowling Green,Lottery,SR,G,Bowling Green State,32,1161,90,216,73,10,103,51,767,0.547,0.576,0.433,0.777,24,2.8,6.8,2.3,0.3,1997
12,14,Mark Blount,1997,9,0,-0.810350459,Pitt,Lottery,SO,C,Pittsburgh,29,760,120,30,20,78,88,94,264,0.488,0.488,0.5,0.508,9.1,4.1,1,0.7,2.7,1997
13,15,Alvin Williams,1997,9,0,-0.839558211,Villanova,Non-Lottery,SR,G,Villanova,34,1163,169,129,60,12,91,86,580,0.481,0.56,0.368,0.742,17.1,5,3.8,1.8,0.4,1997
14,16,Anthony Parker,1997,9,0,-0.93441374,Bradley,Non-Lottery,SR,G,Bradley,21,715,112,72,37,10,57,36,348,0.424,0.51,0.29,0.721,16.6,5.3,3.4,1.8,0.5,1997
15,17,Tony Battie,1997,14,0,-1.680757786,Texas Tech,Non-Lottery,JR,C,Texas Tech,28,978,329,23,26,71,77,85,525,0.579,0.588,0.375,0.656,18.8,11.8,0.8,0.9,2.5,1997
16,18,Kelvin Cato,1997,10,0,-2.275893361,Iowa State,Non-Lottery,SR,C,Iowa State,28,801,235,15,26,118,48,81,317,0.408,0.409,0,0.54,11.3,8.4,0.5,0.9,4.2,1997
17,19,Austin Croshere,1997,12,0,-2.284271004,Providence,Non-Lottery,SR,C,Providence,36,1192,270,54,38,25,95,92,643,0.455,0.525,0.349,0.888,17.9,7.5,1.5,1.1,0.7,1997
18,20,Scot Pollard,1997,11,0,-2.719535846,Kansas,Non-Lottery,SR,C,Kansas,28,702,232,19,35,73,42,68,288,0.528,0.525,1,0.707,10.3,8.3,0.7,1.3,2.6,1997
