,pk,Player,Yr,Yrs,allstar,PC1,College,rank,Class,Pos,School,G,MP,TRB,AST,STL,BLK,TOV,PF,PTS,FG.,X2P.,X3P.,FT.,PPG,RPG,APG,SPG,BPG,Year
1,1,Joel Embiid,2014,4,3,7.28443933,Kansas,Top 3,FR,C,Kansas,28,647,227,38,25,72,66,94,313,0.626,0.639,0.2,0.685,11.2,8.1,1.4,0.9,2.6,2014
2,3,Andrew Wiggins,2014,6,0,3.18731857,Kansas,Top 3,FR,G,Kansas,35,1148,205,54,41,34,80,94,597,0.448,0.493,0.341,0.775,17.1,5.9,1.5,1.2,1,2014
3,4,Julius Randle,2014,6,0,3.13979095,Kentucky,Top 5,FR,F,Kentucky,40,1233,416,57,20,31,101,91,599,0.501,0.517,0.167,0.706,15,10.4,1.4,0.5,0.8,2014
4,5,Zach LaVine,2014,6,0,2.449184577,UCLA,Top 5,FR,G,UCLA,37,904,94,66,33,6,42,73,349,0.441,0.494,0.375,0.691,9.4,2.5,1.8,0.9,0.2,2014
5,7,Aaron Gordon,2014,6,0,0.974566257,Arizona,Top 10,FR,F,Arizona,38,1187,303,75,34,39,55,90,470,0.495,0.513,0.356,0.422,12.4,8,2,0.9,1,2014
6,8,Elfrid Payton,2014,6,0,0.944831784,LA-Lafayette,Top 10,JR,G,Louisiana,35,1258,210,208,80,21,127,83,672,0.509,0.541,0.259,0.609,19.2,6,5.9,2.3,0.6,2014
7,9,T.J. Warren,2014,6,0,0.936995347,NC State,Top 10,SO,F,North Carolina State,35,1238,250,40,63,21,83,97,871,0.525,0.58,0.267,0.69,24.9,7.1,1.1,1.8,0.6,2014
8,11,Jabari Parker,2014,6,0,0.783613991,Duke,Lottery,FR,F,Duke,35,1074,306,41,37,43,81,83,670,0.473,0.504,0.358,0.748,19.1,8.7,1.2,1.1,1.2,2014
9,12,Spencer Dinwiddie,2014,6,0,0.305456964,Colorado,Lottery,JR,G,Colorado,17,529,52,64,26,4,30,32,250,0.466,0.515,0.413,0.857,14.7,3.1,3.8,1.5,0.2,2014
10,13,Jordan Clarkson,2014,6,0,-0.091344964,Missouri,Lottery,JR,G,Missouri,35,1228,134,118,38,6,93,76,612,0.448,0.501,0.281,0.831,17.5,3.8,3.4,1.1,0.2,2014
11,14,Gary Harris,2014,6,0,-0.369412364,Michigan State,Lottery,SO,G,Michigan State,35,1131,140,94,63,15,60,73,586,0.429,0.507,0.352,0.81,16.7,4,2.7,1.8,0.4,2014
12,15,Marcus Smart,2014,6,0,-0.492464247,Oklahoma State,Non-Lottery,SO,G,Oklahoma State,31,1014,183,148,89,18,82,91,557,0.422,0.514,0.299,0.728,18,5.9,4.8,2.9,0.6,2014
13,17,Rodney Hood,2014,6,0,-0.840981195,Duke,Non-Lottery,SO,F,Duke,35,1150,138,75,25,9,54,91,562,0.464,0.494,0.42,0.807,16.1,3.9,2.1,0.7,0.3,2014
14,19,Dwight Powell,2014,6,0,-1.649072615,Stanford,Non-Lottery,SR,F,Stanford,36,1167,247,112,47,30,104,113,505,0.462,0.485,0.256,0.687,14,6.9,3.1,1.3,0.8,2014
15,20,Jerami Grant,2014,6,0,-1.937667325,Syracuse,Non-Lottery,SO,F,Syracuse,32,1005,217,44,26,18,37,75,386,0.496,0.506,0,0.674,12.1,6.8,1.4,0.8,0.6,2014
16,21,Joe Harris,2014,6,0,-1.95486624,Virginia,Non-Lottery,SR,G,Virginia,37,1066,109,84,35,8,48,88,443,0.441,0.487,0.4,0.64,12,2.9,2.3,0.9,0.2,2014
17,22,Shabazz Napier,2014,6,0,-3.08685391,UConn,Non-Lottery,SR,G,Connecticut,40,1404,234,195,73,13,114,84,720,0.429,0.448,0.405,0.87,18,5.9,4.9,1.8,0.3,2014
18,23,Kyle Anderson,2014,6,0,-3.161357631,UCLA,Non-Lottery,SO,G,UCLA,36,1196,315,233,64,27,110,60,527,0.48,0.48,0.483,0.737,14.6,8.8,6.5,1.8,0.8,2014
19,24,Doug McDermott,2014,6,0,-4.146495138,Creighton,Non-Lottery,SR,F,Creighton,35,1181,244,55,8,5,62,67,934,0.526,0.567,0.449,0.864,26.7,7,1.6,0.2,0.1,2014
20,25,Glenn Robinson III,2014,6,0,-4.151852657,Michigan,Non-Lottery,SO,F,Michigan,37,1194,164,44,35,11,46,55,484,0.488,0.562,0.306,0.757,13.1,4.4,1.2,0.9,0.3,2014
21,26,Noah Vonleh,2014,6,0,-4.434005834,Indiana,Non-Lottery,FR,F,Indiana,30,794,269,18,26,41,64,81,338,0.523,0.53,0.485,0.716,11.3,9,0.6,0.9,1.4,2014
22,27,Nik Stauskas,2014,5,0,-5.170743851,Michigan,Non-Lottery,SO,G,Michigan,36,1281,105,118,20,11,67,47,630,0.47,0.5,0.442,0.824,17.5,2.9,3.3,0.6,0.3,2014
23,29,K.J. McDaniels,2014,3,0,-6.170452187,Clemson,Non-Lottery,JR,F,Clemson,36,1212,255,57,41,100,83,80,614,0.459,0.527,0.304,0.842,17.1,7.1,1.6,1.1,2.8,2014
24,30,Tyler Ennis,2014,4,0,-7.165279722,Syracuse,Non-Lottery,FR,G,Syracuse,34,1215,115,187,71,6,58,69,440,0.411,0.429,0.353,0.765,12.9,3.4,5.5,2.1,0.2,2014
