"","conf","Yr","count","link"
"142","big-12",2010,5,"https://www.sports-reference.com/cbb/conferences/big-12/2010-stats.html"
"143","big-east",2010,4,"https://www.sports-reference.com/cbb/conferences/big-east/2010-stats.html"
"144","big-ten",2010,2,"https://www.sports-reference.com/cbb/conferences/big-ten/2010-stats.html"
"145","cusa",2010,3,"https://www.sports-reference.com/cbb/conferences/cusa/2010-stats.html"
"146","mwc",2010,1,"https://www.sports-reference.com/cbb/conferences/mwc/2010-stats.html"
"147","pac-10",2010,2,"https://www.sports-reference.com/cbb/conferences/pac-10/2010-stats.html"
"148","sec",2010,4,"https://www.sports-reference.com/cbb/conferences/sec/2010-stats.html"
"149","wac",2010,1,"https://www.sports-reference.com/cbb/conferences/wac/2010-stats.html"
"150","acc",2011,4,"https://www.sports-reference.com/cbb/conferences/acc/2011-stats.html"
"151","atlantic-10",2011,1,"https://www.sports-reference.com/cbb/conferences/atlantic-10/2011-stats.html"
"152","big-12",2011,4,"https://www.sports-reference.com/cbb/conferences/big-12/2011-stats.html"
"153","big-east",2011,3,"https://www.sports-reference.com/cbb/conferences/big-east/2011-stats.html"
"154","big-ten",2011,2,"https://www.sports-reference.com/cbb/conferences/big-ten/2011-stats.html"
"155","horizon",2011,1,"https://www.sports-reference.com/cbb/conferences/horizon/2011-stats.html"
"156","mwc",2011,1,"https://www.sports-reference.com/cbb/conferences/mwc/2011-stats.html"
"157","ovc",2011,1,"https://www.sports-reference.com/cbb/conferences/ovc/2011-stats.html"
"158","pac-10",2011,5,"https://www.sports-reference.com/cbb/conferences/pac-10/2011-stats.html"
"159","sec",2011,3,"https://www.sports-reference.com/cbb/conferences/sec/2011-stats.html"
"160","acc",2012,7,"https://www.sports-reference.com/cbb/conferences/acc/2012-stats.html"
"161","atlantic-10",2012,1,"https://www.sports-reference.com/cbb/conferences/atlantic-10/2012-stats.html"
"162","big-12",2012,2,"https://www.sports-reference.com/cbb/conferences/big-12/2012-stats.html"
"163","big-east",2012,4,"https://www.sports-reference.com/cbb/conferences/big-east/2012-stats.html"
"164","big-sky",2012,1,"https://www.sports-reference.com/cbb/conferences/big-sky/2012-stats.html"
"165","big-ten",2012,3,"https://www.sports-reference.com/cbb/conferences/big-ten/2012-stats.html"
"166","cusa",2012,1,"https://www.sports-reference.com/cbb/conferences/cusa/2012-stats.html"
"167","meac",2012,1,"https://www.sports-reference.com/cbb/conferences/meac/2012-stats.html"
"168","pac-12",2012,2,"https://www.sports-reference.com/cbb/conferences/pac-12/2012-stats.html"
"169","sec",2012,6,"https://www.sports-reference.com/cbb/conferences/sec/2012-stats.html"
"170","acc",2013,7,"https://www.sports-reference.com/cbb/conferences/acc/2013-stats.html"
"171","big-12",2013,1,"https://www.sports-reference.com/cbb/conferences/big-12/2013-stats.html"
"172","big-east",2013,1,"https://www.sports-reference.com/cbb/conferences/big-east/2013-stats.html"
"173","big-ten",2013,5,"https://www.sports-reference.com/cbb/conferences/big-ten/2013-stats.html"
"174","big-west",2013,1,"https://www.sports-reference.com/cbb/conferences/big-west/2013-stats.html"
"175","mwc",2013,1,"https://www.sports-reference.com/cbb/conferences/mwc/2013-stats.html"
"176","ovc",2013,1,"https://www.sports-reference.com/cbb/conferences/ovc/2013-stats.html"
"177","pac-12",2013,4,"https://www.sports-reference.com/cbb/conferences/pac-12/2013-stats.html"
"178","patriot",2013,2,"https://www.sports-reference.com/cbb/conferences/patriot/2013-stats.html"
"179","sec",2013,2,"https://www.sports-reference.com/cbb/conferences/sec/2013-stats.html"
"180","wcc",2013,1,"https://www.sports-reference.com/cbb/conferences/wcc/2013-stats.html"
"181","aac",2014,1,"https://www.sports-reference.com/cbb/conferences/aac/2014-stats.html"
"182","acc",2014,7,"https://www.sports-reference.com/cbb/conferences/acc/2014-stats.html"
"183","big-12",2014,3,"https://www.sports-reference.com/cbb/conferences/big-12/2014-stats.html"
"184","big-east",2014,1,"https://www.sports-reference.com/cbb/conferences/big-east/2014-stats.html"
"185","big-ten",2014,4,"https://www.sports-reference.com/cbb/conferences/big-ten/2014-stats.html"
