"","namePlayerBREF","urlPlayerBioBREF"
"1","Alan Henderson","https://www.basketball-reference.com/players/h/hendeal01.html"
"2","Andrew DeClercq","https://www.basketball-reference.com/players/d/declean01.html"
"3","Antonio McDyess","https://www.basketball-reference.com/players/m/mcdyean01.html"
"4","Bob Sura","https://www.basketball-reference.com/players/s/surabo01.html"
"5","Brent Barry","https://www.basketball-reference.com/players/b/barrybr01.html"
"6","Bryant Reeves","https://www.basketball-reference.com/players/r/reevebr01.html"
"7","Cherokee Parks","https://www.basketball-reference.com/players/p/parksch02.html"
"8","Chris Carr","https://www.basketball-reference.com/players/c/carrch01.html"
"9","Corliss Williamson","https://www.basketball-reference.com/players/w/willico02.html"
"10","Cory Alexander","https://www.basketball-reference.com/players/a/alexaco01.html"
"11","Damon Stoudamire","https://www.basketball-reference.com/players/s/stoudda01.html"
"12","Don Reid","https://www.basketball-reference.com/players/r/reiddo01.html"
"13","Ed O'Bannon","https://www.basketball-reference.com/players/o/obanned01.html"
"14","Eric Snow","https://www.basketball-reference.com/players/s/snower01.html"
"15","Eric Williams","https://www.basketball-reference.com/players/w/willier01.html"
"16","Fred Hoiberg","https://www.basketball-reference.com/players/h/hoibefr01.html"
"17","Gary Trent","https://www.basketball-reference.com/players/t/trentga01.html"
"18","Gary Trent Jr.","https://www.basketball-reference.com/players/t/trentga02.html"
"19","Greg Ostertag","https://www.basketball-reference.com/players/o/ostergr01.html"
"20","Jason Caffey","https://www.basketball-reference.com/players/c/caffeja01.html"
"21","Jerry Stackhouse","https://www.basketball-reference.com/players/s/stackje01.html"
"22","Joe Smith","https://www.basketball-reference.com/players/s/smithjo02.html"
"23","Kevin Garnett","https://www.basketball-reference.com/players/g/garneke01.html"
"24","Kurt Thomas","https://www.basketball-reference.com/players/t/thomaku01.html"
"25","Mark Davis","https://www.basketball-reference.com/players/d/davisma02.html"
"26","Mark Davis","https://www.basketball-reference.com/players/d/davisma01.html"
"27","Michael Finley","https://www.basketball-reference.com/players/f/finlemi01.html"
"28","Rasheed Wallace","https://www.basketball-reference.com/players/w/wallara01.html"
"29","Shawn Respert","https://www.basketball-reference.com/players/r/respesh01.html"
"30","Theo Ratliff","https://www.basketball-reference.com/players/r/ratlith01.html"
"31","Travis Best","https://www.basketball-reference.com/players/b/besttr01.html"
"32","Tyus Edney","https://www.basketball-reference.com/players/e/edneyty01.html"
